MetricName,Eigengene1,Eigengene2,Eigengene3,Eigengene4
Phase,0.31854278,-0.7072963,-0.029833982,-0.028950656
Error,-0.07395981,0.066371836,0.072005965,-0.06600317
Magnitude,-0.026137348,-0.21368733,0.09648006,0.18190564
ProjectionX,0.7436392,-0.08310303,0.6459655,0.02959803
ProjectionY,-0.17580672,0.9502692,0.20477636,0.010687261
Inner_Error,-0.11146623,0.062157255,0.09251528,-0.05788806
Circular_Error,0.004294047,-0.18385659,0.12974319,0.21072827
Modified_Inner_Error,-0.11960458,-0.1987287,0.065072276,0.20105782
Modified_Error,-0.12686525,-0.1917017,0.077967264,0.19416137
Out_of_Plane_Error,-0.07885309,-0.19403055,0.062075406,0.21206813
Out_of_Plane_Reconstruction_Error,-0.09204104,-0.19960499,0.06736207,0.20593873
Input_Magnitude,-0.12883188,0.3568486,0.18212892,0.06305938
Dense_Input_Magnitude,-0.26594386,-0.8152146,-0.287266,-0.034377385
Decoding_Dense_Output_Magnitude,-0.13735081,-0.7877833,-0.46080852,-0.0791322
Model_Output_Magnitude,-0.12993562,0.7680463,0.18348616,0.08112946
Modified_Decoding_Dense_Output_Magnitude,-0.14241822,-0.6200775,-0.21040337,0.11088508
Modified_Model_Output_Magnitude,-0.13761288,-0.03145735,0.10336139,0.18709788
