Item ID	Item value	Change in Kuiper test statistic when item removed
JAGN1	0.432529431343529	1.1102230246251565E-16
COX7B	0.785125932326637	1.1102230246251565E-16
NDUFB7	1.55225811872582	1.1102230246251565E-16
GPX4	1.32430241255108	1.1102230246251565E-16
GADD45A	-1.57503829654578	-0.03797438725610758
VEGFB	0.929463812897964	1.1102230246251565E-16
CHCHD10	0.424811043371741	1.1102230246251565E-16
UQCR11	0.571190641818054	1.1102230246251565E-16
UQCR10	0.752547754323741	1.1102230246251565E-16
DDT	0.58212127531524	1.1102230246251565E-16
UQCRQ	0.554393190752608	1.1102230246251565E-16
DNAJB9	0.656498863718575	1.1102230246251565E-16
CYC1	0.80806816843667	1.1102230246251565E-16
CD302	0.11974340922241	1.1102230246251565E-16
