Item ID	Item value	Change in Kuiper test statistic when item removed
XBP1	-3.67620096485396	-2.5586544895439545E-4
GABARAPL1	0.284575523962405	-2.5586544895439545E-4
CD83	7.07681560142613	-2.5586544895439545E-4
P4HA1	3.48274802550124	-2.5586544895439545E-4
BHLHE40	-0.864032740817682	-2.5586544895439545E-4
PIM1	-2.1904602172278	-2.5586544895439545E-4
ENPP1	18.3161941780321	-4.440892098500626E-16
MAP3K8	5.37752274087844	-2.5586544895439545E-4
RORA	20.5733904122183	-4.440892098500626E-16
IKZF2	3.783361037703	-2.5586544895439545E-4
HOPX	-0.0964837132273544	-2.5586544895439545E-4
