Item ID	Item value	Change in Kuiper test statistic when item removed
ATP6V1A	11.3990222608767	-0.00952380952380949
JUN	12.1121030107426	-0.00952380952380949
ATP6V1G1	11.8195736345794	-0.00952380952380949
ATP6V0B	12.6637676101798	0.007003256693736359
ATP6V1G2	11.5183403421261	-0.00952380952380949
ATP6AP1	11.6209591813145	-0.00952380952380949
NFKB1	23.2746834015843	0.040476190476190554
NFKBIA	17.0306903107205	0.040476190476190554
TJP1	22.5732397598821	0.040476190476190554
ATP6V1B2	11.7393850282102	-0.00952380952380949
RAC1	11.6169403469816	-0.00952380952380949
IKBKG	11.1047424827106	-0.007693618181259465
ATP6V0D1	11.443355041098	-0.00952380952380949
ATP6V0E2	11.1486670749318	-0.00952380952380949
ATP6V1E1	11.3246228435321	-0.00952380952380949
ATP6V1D	11.255739937063	-0.00952380952380949
ATP6V0C	11.8236865986459	-0.00952380952380949
GIT1	12.2671180209587	-0.00952380952380949
ATP6V1C1	11.6756027332207	-0.00952380952380949
JAM3	23.4524709275238	0.040476190476190554
ATP6V1F	12.0143477205555	-0.00952380952380949
