Item ID	Item value	Change in Kuiper test statistic when item removed
IDI1	12.7539126848855	-0.010198156569360961
STARD4	17.3835602077408	-0.009366901374015968
HMGCS1	15.5966199009363	-0.011029411764705954
CYP51A1	13.3832164082842	-0.011029411764705954
HMGCR	15.2773103183987	-0.011029411764705954
TMEM97	16.1165110153589	-0.011029411764705954
LSS	17.2898778381822	-0.011029411764705954
ACAT2	16.1413244545585	-0.011029411764705954
ACTG1	10.7865651433153	0.051470588235294046
SQLE	14.8371797560654	-0.011029411764705954
EBP	12.8645991303443	-0.011029411764705954
SCD	15.8012686712166	-0.011029411764705954
ALDOC	10.2979350589861	0.051470588235294046
DHCR7	14.5835225914214	-0.011029411764705954
ATF5	10.6060838318426	0.051470588235294046
LDLR	17.3392053828605	-0.011029411764705954
FDFT1	15.7511285411693	-0.011029411764705954
