Item ID	Item value	Change in Kuiper test statistic when item removed
IDI1	12.7539126848855	0.0
STARD4	17.3835602077408	0.0018481177033458085
HMGCS1	15.5966199009363	0.0
CYP51A1	13.3832164082842	0.0
HMGCR	15.2773103183987	0.0
TMEM97	16.1165110153589	0.0
LSS	17.2898778381822	0.0
ACAT2	16.1413244545585	0.0
ACTG1	10.7865651433153	0.0
SQLE	14.8371797560654	0.0
EBP	12.8645991303443	0.0
SCD	15.8012686712166	0.0
ALDOC	10.2979350589861	0.01283953220235412
DHCR7	14.5835225914214	0.0
ATF5	10.6060838318426	0.0
LDLR	17.3392053828605	0.0
FDFT1	15.7511285411693	0.0
