Item ID	Item value	Change in Kuiper test statistic when item removed
CDKN1B	0.981703345878736	-6.661338147750939E-16
HHIP	-0.236919304462489	-6.661338147750939E-16
TCF7	0.586123487122258	-6.661338147750939E-16
PLD1	-21.3507142933074	-6.661338147750939E-16
FGF1	-1.73180584581754	-6.661338147750939E-16
ETS1	0.260468889268662	-6.661338147750939E-16
GLI3	-1.22247814194346	-6.661338147750939E-16
FGF9	-0.510244807461746	-6.661338147750939E-16
ELOB	1.93066867649826	-6.661338147750939E-16
HRAS	0.269453440647385	-6.661338147750939E-16
RXRG	-0.253154868716677	-6.661338147750939E-16
JUN	-0.995588490336022	-6.661338147750939E-16
HSP90AA1	2.25679105824177	-6.661338147750939E-16
TGFB1	0.656456814513218	-6.661338147750939E-16
WNT5B	-0.684188441600214	-6.661338147750939E-16
CDKN2A	-1.67223851173109	-6.661338147750939E-16
DAPK2	-0.438725030405755	-6.661338147750939E-16
FN1	-0.0291085813901387	-6.661338147750939E-16
VEGFB	0.547859104504086	-6.661338147750939E-16
IGF1	-0.208048501690182	-6.661338147750939E-16
RUNX1	-3.03891674474773	-6.661338147750939E-16
KIT	-0.274963658291464	-6.661338147750939E-16
BAX	0.38179710425314	-6.661338147750939E-16
CYCS	0.929678203326307	-6.661338147750939E-16
FGFR2	-21.7727886445384	-6.661338147750939E-16
