Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_ANGIOGENESIS	1	NA	NA	NA	NA	NA	NA
HALLMARK_NOTCH_SIGNALING	2	NA	NA	NA	NA	NA	NA
HALLMARK_TGF_BETA_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_HEDGEHOG_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_SURFACE	5	0.8	0.92	0.0	0.0	0.8725370609468509	23.39553863767393
HALLMARK_PANCREAS_BETA_CELLS	5	1.0	1.0	0.0	0.0	0.9680613776350223	0.5095684028764483
HALLMARK_PI3K_AKT_MTOR_SIGNALING	5	0.2	0.38923076923076927	0.0	0.0	0.9938659505160145	0.4619716899935977
HALLMARK_COAGULATION	6	0.3	0.4672066666666667	0.0	0.0	0.6921589640936111	0.4289702006830115
HALLMARK_PROTEIN_SECRETION	6	0.1	0.28750000000000003	0.0	0.0	0.9922011836151805	0.33566516659912304
HALLMARK_KRAS_SIGNALING_DN	8	0.22	0.38923076923076927	0.0	0.0	0.9271389732985079	1.099849564116804
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	8	0.523	0.7075882352941177	0.0	0.0	0.9805446234734817	0.7403312637001066
HALLMARK_APICAL_JUNCTION	8	0.216	0.38923076923076927	0.0	0.0	0.9887788760556548	0.2572391617424005
HALLMARK_PEROXISOME	8	0.09	0.28750000000000003	0.0	0.0	0.9909865248118648	0.4020841348693587
HALLMARK_SPERMATOGENESIS	9	1.0	1.0	0.0	0.0	0.9476096390332391	0.2357224553878794
HALLMARK_IL6_JAK_STAT3_SIGNALING	9	0.1	0.28750000000000003	0.0	0.0	0.9208043835585342	23.804000180910016
HALLMARK_BILE_ACID_METABOLISM	9	0.5	0.7075882352941177	0.0	0.0	0.9725126156186858	0.04954187896314953
HALLMARK_INFLAMMATORY_RESPONSE	9	0.7	0.8473684210526315	0.0	0.0	0.964592471463444	0.5453539768412536
HALLMARK_MITOTIC_SPINDLE	10	0.7	0.8473684210526315	0.0	0.0	0.9577753475913392	0.2695680989141228
HALLMARK_INTERFERON_ALPHA_RESPONSE	10	0.1	0.28750000000000003	0.0	0.0	0.9639208755197101	23.89658733544638
HALLMARK_MYC_TARGETS_V2	11	1.0	1.0	0.0	0.0	0.9467189073256519	0.4589497889685033
HALLMARK_E2F_TARGETS	12	0.8	0.92	0.0	0.0	0.9116735711934513	0.6027046682589329
