Item ID	Item value	Change in Kuiper test statistic when item removed
IFITM3	1.49629448458769	1.1102230246251565E-16
JUN	-0.995588490336022	1.1102230246251565E-16
CDKN1B	0.981703345878736	1.1102230246251565E-16
GPX4	1.84077275753234	1.1102230246251565E-16
GADD45A	0.659458123426716	1.1102230246251565E-16
F2R	0.746647032055721	1.1102230246251565E-16
PSEN2	-0.488179906756051	1.1102230246251565E-16
PPP2R5B	1.48459388031236	1.1102230246251565E-16
HSPB1	0.404728883810109	1.1102230246251565E-16
NEDD9	-0.980717660581153	1.1102230246251565E-16
PLAT	-0.991782098473088	1.1102230246251565E-16
DCN	2.52687314402421	1.1102230246251565E-16
TGFBR3	-0.219490769799375	1.1102230246251565E-16
DNAJA1	2.31155343702544	1.1102230246251565E-16
EBP	-1.80556690938021	1.1102230246251565E-16
CASP6	4.30041324926952	1.1102230246251565E-16
DDIT3	0.78241930465689	1.1102230246251565E-16
DPYD	-1.58295179306728	1.1102230246251565E-16
TIMP2	0.645190461262678	1.1102230246251565E-16
PPT1	0.532968645429595	1.1102230246251565E-16
BAX	0.38179710425314	1.1102230246251565E-16
TIMP3	-0.0381898331126378	1.1102230246251565E-16
SC5D	0.901658953714166	1.1102230246251565E-16
