"List","Num_genes"
"TMM name","../normed_counts/ExcSubtypes3and5_FiltByExprDefault_TMM.csv"
"Using batch in Regression","TRUE"
"isCyclingBHQCutoff","0.1"
"Blunting_Percentile","0.025"
"CTL_cyclers_AR20BHQ1","5138"
"CTL_cyclers_AR33BHQ1","1625"
"AD_cyclers_AR20BHQ1","5439"
"AD_cyclers_AR33BHQ1","2038"
"AD_CTL_mthd2_cyclers_AR20BHQ1","6086"
"DR_cyclers_AR1BHQ3","98"
"DR_cyclers_AR20BHQ3","267"
"DR_cyclers_AR33BHQ3","388"
"DR_cyclers_mthd2_AR1_DRBHQ3","98"
"DR_cyclers_mthd2_AR20_DRBHQ3","267"
"DR_lostAmpAD_AR1BHQ3","68"
"DR_lostAmpAD_AR20BHQ3","196"
"DR_lostAmpAD_AR33BHQ3","298"
"DR_mthd2_lostAmpAD_AR1BHQ3","68"
"DR_mthd2_lostAmpAD_AR20BHQ3","196"
"DR_gainAmpAD_AR1BHQ3","30"
"DR_gainAmpAD_AR20BHQ3","71"
"DR_gainAmpAD_AR33BHQ3","90"
"DR_mthd2_gainAmpAD_AR1BHQ3","30"
"DR_mthd2_gainAmpAD_AR20BHQ3","71"
