"Ensembl","Gene_Symbols"
"ENSG00000188290","HES4"
"ENSG00000241563","CORT"
"ENSG00000177954","RPS27"
"ENSG00000248485","PCP4L1"
"ENSG00000116194","ANGPTL1"
"ENSG00000143333","RGS16"
"ENSG00000181218","HIST3H2A"
"ENSG00000115226","FNDC4"
"ENSG00000143947","RPS27A"
"ENSG00000163932","PRKCD"
"ENSG00000174944","P2RY14"
"ENSG00000152580","IGSF10"
"ENSG00000163888","CAMK2N2"
"ENSG00000157005","SST"
"ENSG00000270170","NCBP2AS2"
"ENSG00000145248","SLC10A4"
"ENSG00000269893","SNHG8"
"ENSG00000138741","TRPC3"
"ENSG00000164106","SCRG1"
"ENSG00000145741","BTF3"
"ENSG00000113578","FGF1"
"ENSG00000234745","HLA-B"
"ENSG00000204387","SNHG32"
"ENSG00000198755","RPL10A"
"ENSG00000112667","DNPH1"
"ENSG00000146386","ABRACL"
"ENSG00000146469","VIP"
"ENSG00000062582","MRPS24"
"ENSG00000232956","SNHG15"
"ENSG00000164776","PHKG1"
"ENSG00000230358","SPDYE21P"
"ENSG00000128564","VGF"
"ENSG00000205238","SPDYE2"
"ENSG00000120875","DUSP4"
"ENSG00000176907","TCIM"
"ENSG00000147571","CRH"
"ENSG00000136999","CCN3"
"ENSG00000175768","TOMM5"
"ENSG00000171314","PGAM1"
"ENSG00000134575","ACP2"
"ENSG00000134809","TIMM10"
"ENSG00000111652","COPS7A"
"ENSG00000197728","RPS26"
"ENSG00000175197","DDIT3"
"ENSG00000281344","HELLPAR"
"ENSG00000165502","RPL36AL"
"ENSG00000174446","SNAPC5"
"ENSG00000260260","SNHG19"
"ENSG00000134419","RPS15A"
"ENSG00000168701","TMEM208"
"ENSG00000127774","EMC6"
"ENSG00000161970","RPL26"
"ENSG00000204237","OXLD1"
"ENSG00000089199","CHGB"
"ENSG00000125869","LAMP5"
"ENSG00000232388","SMIM26"
"ENSG00000101438","SLC32A1"
"ENSG00000054803","CBLN4"
"ENSG00000099977","DDT"
"ENSG00000187051","RPS19BP1"
"ENSG00000128285","MCHR1"
"ENSG00000147123","NDUFB11"
"ENSG00000180964","TCEAL8"
"ENSG00000182916","TCEAL7"
