Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,8.987995786171271e-07,2.014239601628294,28.042658194814628,"['ISCA1', 'COX6A1', 'PHB2', 'TOMM22', 'PMPCA', 'ATP6V1E1', 'ATP6V1G1', 'ATP1B1', 'COX6B1', 'UQCRC1', 'VDAC3', 'VDAC2', 'VDAC1', 'ISCU', 'RETSAT', 'UQCRB', 'COX17', 'ATP5MC2', 'ATP5MC3', 'HTRA2', 'COX7A2', 'UQCRH', 'ATP5MC1', 'PRDX3', 'LDHB', 'LDHA', 'CYB5R3', 'GRPEL1', 'CYC1', 'NDUFV1', 'ATP6V1D', 'ATP6V1C1', 'ATP5MF', 'COX10', 'ATP6V1F', 'ATP5ME', 'SURF1', 'GOT2', 'ALDH6A1', 'UQCRQ', 'CYCS', 'COX7B', 'SLC25A3', 'COX4I1', 'MRPS12', 'HCCS', 'ETFB', 'MRPL34', 'COX7C', 'MRPL35', 'IDH3B', 'TIMM17A', 'UQCRFS1', 'IDH3A', 'COX8A', 'TOMM70', 'BCKDHA', 'ATP6V0B', 'ATP6AP1', 'GPX4', 'NDUFC2', 'NDUFC1', 'NDUFS6', 'NDUFS3', 'NDUFS2', 'SLC25A5', 'ATP6V0C', 'SLC25A11', 'SLC25A4', 'SLC25A6', 'NDUFB8', 'ECHS1', 'OAT', 'NDUFB7', 'NDUFB5', 'NDUFB4', 'NDUFB3', 'TIMM13', 'NDUFB2', 'NDUFB1', 'UQCR11', 'UQCR10', 'TIMM10', 'MRPS30', 'PDHB', 'COX5B', 'COX5A', 'ATP5F1A', 'ATP5F1B', 'MFN2', 'SLC25A20', 'TIMM8B', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'MDH1', 'NDUFA5', 'ATP5PB', 'MDH2', 'NDUFA4', 'IDH3G', 'NDUFA3', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'PDP1', 'NDUFAB1', 'ATP5PO', 'BAX']",4.493997893085635e-05,0,0,113
2,Myc Targets V1,5.504389021178194e-06,1.9286072917386399,23.355366377620285,"['HDDC2', 'RPL34', 'PHB2', 'RPL6', 'RRP9', 'PSMD8', 'EEF1B2', 'FBL', 'PSMD7', 'SNRPD2', 'SNRPD1', 'RUVBL2', 'PSMD3', 'KPNA2', 'RPS10', 'STARD7', 'EIF1AX', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'ILF2', 'TUFM', 'VDAC3', 'SRSF2', 'SNRPG', 'NHP2', 'SRSF3', 'VDAC1', 'ERH', 'PPIA', 'SRSF7', 'SET', 'NOLC1', 'PHB', 'PRDX3', 'LDHA', 'PRDX4', 'PCBP1', 'PGK1', 'CYC1', 'XRCC6', 'NOP16', 'CBX3', 'GOT2', 'PA2G4', 'MRPL23', 'LSM2', 'AIMP2', 'LSM7', 'EIF4G2', 'YWHAE', 'SLC25A3', 'HSP90AB1', 'RPLP0', 'SYNCRIP', 'YWHAQ', 'C1QBP', 'RACK1', 'MRPL9', 'ACP1', 'TOMM70', 'CCT2', 'VBP1', 'NCBP2', 'NME1', 'GNL3', 'CANX', 'TCP1', 'MCM4', 'PCNA', 'ODC1', 'DDX21', 'COX5A', 'HSPD1', 'SRM', 'POLD2', 'RPS3', 'USP1', 'RPL14', 'EIF4H', 'SNRPB2', 'RPS2', 'BUB3', 'RPL18', 'CCT7', 'HNRNPA1', 'CCT5', 'CCT4', 'RANBP1', 'NPM1', 'SF3A1', 'HNRNPA3', 'SSB', 'PTGES3', 'DEK', 'HSPE1', 'RSL1D1', 'APEX1', 'IMPDH2', 'SERBP1', 'NDUFAB1', 'POLE3', 'HDGF', 'EIF3D', 'RAN', 'MAD2L1']",0.00013760972552945484,0,0,107
3,UV Response Up,1.8936132329744564e-05,2.139705882352941,23.268100448357586,"['FEN1', 'BTG2', 'BTG1', 'AMD1', 'CLTB', 'ENO2', 'SPR', 'UROD', 'HYAL2', 'BSG', 'PRKACA', 'JUNB', 'GPX3', 'IGFBP2', 'PRKCD', 'SIGMAR1', 'TAP1', 'FOS', 'HLA-F', 'MAPK8IP2', 'TUBA4A', 'RHOB', 'OLFM1', 'CDC34', 'SELENOW', 'PPIF', 'TYRO3', 'TMBIM6', 'NPTXR', 'IL6ST', 'FKBP4', 'ALDOA', 'SLC25A4', 'ABCB1', 'CNP', 'RPN1', 'DDX21', 'FURIN', 'CLCN2', 'HSPA13', 'RXRB', 'CYB5R1', 'STIP1', 'DNAJB1', 'BCL2L11', 'GRPEL1', 'EPCAM', 'AP2S1', 'MSX1', 'NPTX2', 'YKT6', 'ATP6V1C1', 'ATP6V1F', 'KLHDC3', 'PLCL1', 'RAB27A', 'PDAP1', 'CCK', 'MRPL23', 'SOD2', 'NFKBIA', 'PTPRD', 'DNAJA1', 'NR4A1', 'SLC6A8', 'EIF2S3', 'EIF5', 'PSMC3', 'STK25', 'DLG4', 'POLE3', 'PPT1', 'FOSB', 'GRINA']",0.00031560220549574277,0,0,74
4,Reactive Oxygen Species Pathway,0.0003577593719149953,2.9385703648548027,23.31946574848923,"['SRXN1', 'NDUFB4', 'MGST1', 'GLRX', 'TXN', 'PTPA', 'PRDX2', 'PRDX4', 'PRDX1', 'JUNB', 'CDKN2D', 'PRNP', 'G6PD', 'ABCC1', 'EGLN2', 'NDUFA6', 'GPX4', 'GPX3', 'GLRX2', 'SOD2', 'PRDX6', 'ATOX1', 'SOD1', 'MSRA', 'SELENOS', 'FES', 'STK25', 'NDUFS2', 'FTL', 'LAMTOR5']",0.004232700298525621,0,0,30
5,TNF-alpha Signaling via NF-kB,0.00042327002985256205,1.8223821685628048,14.155353884561398,"['BTG2', 'CDKN1A', 'TNFAIP8', 'BTG1', 'CD83', 'SLC2A3', 'ETS2', 'IFIT2', 'PMEPA1', 'MAP3K8', 'CCN1', 'PHLDA2', 'JUNB', 'IER5', 'IER3', 'DUSP4', 'KLF10', 'TGIF1', 'IL15RA', 'DUSP5', 'DUSP2', 'DUSP1', 'IL18', 'TAP1', 'FOS', 'TRAF1', 'RHOB', 'TUBB2A', 'NINJ1', 'IL6ST', 'FJX1', 'PPP1R15A', 'CEBPB', 'PTGS2', 'TANK', 'RELB', 'SNN', 'DRAM1', 'NFIL3', 'DNAJB4', 'MCL1', 'EGR1', 'JUN', 'EGR2', 'EGR3', 'JAG1', 'GADD45B', 'LAMB3', 'GADD45A', 'PLK2', 'CFLAR', 'SOD2', 'NFKB1', 'PNRC1', 'FOSL2', 'EIF1', 'EHD1', 'NFKBIA', 'NR4A2', 'EFNA1', 'NR4A1', 'YRDC', 'PTPRE', 'KLF6', 'MARCKS', 'NR4A3', 'TNIP1', 'ID2', 'BHLHE40', 'KLF9', 'TNFSF9', 'FOSB', 'NFKBIE']",0.004232700298525621,0,0,73
6,Hypoxia,0.003436082080055717,1.6013071895424837,9.084893658740766,"['SRPX', 'CDKN1A', 'BTG1', 'CDKN1B', 'CITED2', 'GBE1', 'NCAN', 'SLC2A1', 'RORA', 'SLC2A3', 'ENO1', 'ENO2', 'GYS1', 'CSRP2', 'CASP6', 'STBD1', 'KIF5A', 'PIM1', 'IDS', 'CCN1', 'LARGE1', 'SLC37A4', 'IER3', 'TPI1', 'DUSP1', 'IGFBP3', 'MIF', 'FOS', 'BCAN', 'PPP1R3C', 'ILVBL', 'DDIT3', 'DDIT4', 'ALDOC', 'ALDOB', 'ALDOA', 'GAPDH', 'CHST2', 'PPP1R15A', 'LXN', 'SDC3', 'PDGFB', 'GLRX', 'NDRG1', 'LDHA', 'PRDX5', 'NFIL3', 'PHKG1', 'HAS1', 'PGK1', 'JUN', 'DTNA', 'MAP3K1', 'HSPA5', 'TGFB3', 'TPBG', 'B3GALT6', 'GCK', 'PNRC1', 'HS3ST1', 'FOSL2', 'EXT1', 'EFNA1', 'SLC6A6', 'GRHPR', 'EFNA3', 'PFKL', 'KLF6', 'P4HA1', 'P4HA2', 'CCNG2', 'BHLHE40', 'BCL2', 'INHA']",0.026362436173129538,0,0,74
7,Pancreas Beta Cells,0.004170176739387752,3.667161685539261,20.0953010914496,"['PCSK2', 'CHGA', 'PCSK1', 'ABCC8', 'SYT13', 'ELP4', 'SRP14', 'GCK', 'SRP9', 'NEUROD1', 'DPP4', 'SPCS1', 'DCX', 'SRPRB', 'INSM1']",0.026362436173129538,0,0,15
8,Myc Targets V2,0.004217989787700726,2.1360419840866767,11.680724761796814,"['NIP7', 'PPAN', 'NOLC1', 'NOC4L', 'TMEM97', 'PHB', 'RRP9', 'SRM', 'HSPD1', 'UNG', 'EXOSC5', 'PES1', 'PLK4', 'DUSP2', 'NPM1', 'NOP16', 'CBX3', 'PRMT3', 'WDR74', 'IMP4', 'PA2G4', 'HSPE1', 'GNL3', 'BYSL', 'AIMP2', 'MYBBP1A', 'GRWD1', 'NDUFAF4', 'MRTO4', 'MCM4', 'FARSA', 'DCTPP1']",0.026362436173129538,0,0,32
9,Coagulation,0.005451733408229051,1.9247216436524468,10.031305960174306,"['ARF4', 'CPB2', 'SPARC', 'WDR1', 'GDA', 'PEF1', 'PROS1', 'USP11', 'HPN', 'PDGFB', 'FURIN', 'CRIP2', 'CLU', 'PRSS23', 'C2', 'DUSP14', 'DPP4', 'CTSO', 'CAPN5', 'TIMP3', 'RAC1', 'A2M', 'SH2B2', 'CTSB', 'GSN', 'VWF', 'F12', 'FN1', 'APOA1', 'DUSP6', 'TF', 'MMP15', 'GNB2', 'SERPING1', 'KLKB1', 'ISCU', 'LGMN', 'FBN1']",0.030287407823494726,0,0,38
10,mTORC1 Signaling,0.008274976859006966,1.454863768802358,6.975372206300035,"['CDKN1A', 'BTG2', 'GBE1', 'ARPC5L', 'SLC2A1', 'ATP2A2', 'PLOD2', 'SLC2A3', 'TMEM97', 'ENO1', 'RRP9', 'SERP1', 'FDXR', 'SLC37A4', 'ACTR2', 'G6PD', 'TPI1', 'IGFBP5', 'HMGCS1', 'ELOVL6', 'CACYBP', 'ACSL3', 'TUBG1', 'TUBA4A', 'SLC7A5', 'ACLY', 'PPA1', 'DDIT3', 'PSME3', 'DDIT4', 'CANX', 'MCM4', 'ALDOA', 'PPIA', 'GAPDH', 'PPP1R15A', 'IDI1', 'PSMD12', 'FKBP2', 'TOMM40', 'SHMT2', 'INSIG1', 'RPN1', 'PIK3R3', 'GLRX', 'HMGCR', 'ADD3', 'CORO1A', 'ACACA', 'UNG', 'HSP90B1', 'ATP5MC1', 'HSPD1', 'STIP1', 'LDHA', 'PSMB5', 'NFIL3', 'PRDX1', 'PGK1', 'SC5D', 'ABCF2', 'YKT6', 'ATP6V1D', 'XBP1', 'EGLN3', 'SDF2L1', 'RRM2', 'HSPA5', 'GOT1', 'HSPA4', 'CYP51A1', 'M6PR', 'PDAP1', 'DHCR24', 'HSPE1', 'MLLT11', 'CCT6A', 'QDPR', 'SQLE', 'SLC6A6', 'PFKL', 'P4HA1', 'CCNG1', 'BHLHE40', 'CALR', 'DHCR7', 'GLA', 'LGMN']",0.04137488429503483,0,0,88
