Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-423-5p,0.0009338562600065745,1.6706180421431827,11.654545586276612,"['MIDN', 'CCNI', 'ARL6IP1', 'CD81', 'GDE1', 'MRPL34', 'ACTG1', 'RPL18A', 'ARHGDIA', 'PEA15', 'TIMP3', 'ATP6V1E1', 'RPS10', 'RPS9', 'TSPYL1', 'PGAM1', 'ATG9A', 'NME2', 'SLC39A11', 'DDX54', 'KCTD2', 'COPZ1', 'EPN1', 'PKM', 'ALDOC', 'FKBP4', 'PTMA', 'GAPDH', 'KCTD15', 'CSTB', 'CEBPB', 'RPL10', 'WBP2', 'NOLC1', 'COPS7A', 'CCDC106', 'NDRG1', 'RPS15A', 'RPS2', 'RABAC1', 'CDKN2A', 'SPRY4', 'C20ORF27', 'RPL23A', 'PNMA8B', 'PNRC1', 'EIF1', 'DRAP1', 'NECAP1', 'APEX1', 'UST', 'CALM3', 'POLR3H', 'RNF187']",0.9999902549643362,0,0,54
2,hsa-miR-486-3p,0.001109471215938473,1.8812514770847346,12.799793796892518,"['COL18A1', 'DAZAP2', 'CDKN1A', 'CEBPB', 'RPL10', 'GDE1', 'ARHGAP18', 'ATXN7L3B', 'THY1', 'CCDC106', 'MRPL34', 'PTMS', 'TUBB8', 'UBL5', 'RPL18A', 'PEA15', 'CFL1', 'ATP6V1E1', 'IER5', 'PLXNA4', 'ATP6AP1', 'PGAM1', 'PRKCD', 'HMGA1', 'C20ORF27', 'POU3F1', 'COPZ1', 'TUBB2A', 'UST', 'MYADM', 'CALM3', 'MAFK', 'CALR', 'PTGES', 'LY6E', 'RNF187']",0.9999902549643362,0,0,36
3,hsa-miR-877-5p,0.0021597443150650607,1.75045759609518,10.743898132155595,"['CSTB', 'ZNF174', 'CDKN1B', 'RNASEK', 'TMEM167A', 'NDUFB11', 'RPLP1', 'RAB1B', 'ACTG1', 'AFF2', 'UBL5', 'PGRMC1', 'TMEM147', 'ARHGDIA', 'UBC', 'LEPR', 'RPL35', 'DNAJB9', 'THEM6', 'MEF2D', 'SLC39A1', 'SERF2', 'HNRNPA0', 'HSPA8', 'EIF1AX', 'NCBP2', 'HMGA1', 'TBCC', 'RPL23A', 'MARCKS', 'RPS27', 'MRPL51', 'C1ORF115', 'NACA', 'VDAC1', 'PHPT1', 'SLC25A5', 'RPS24', 'BCL2L2']",0.9999902549643362,0,0,39
4,hsa-miR-6876-5p,0.0026292650448613668,1.7873882118787512,10.618964384992685,"['MIDN', 'SET', 'NDUFA11', 'WBP2', 'NXN', 'NOLC1', 'SNU13', 'PURB', 'SPRED3', 'C10ORF95', 'CFL1', 'EIF4H', 'LONRF3', 'PABPC1L2A', 'TRIM67', 'TIMM8A', 'TSPYL1', 'TPI1', 'DGAT2', 'IGFBP4', 'RPL13A', 'RPL35A', 'ATOX1', 'MLLT11', 'CDCP1', 'C1ORF115', 'REEP5', 'TFDP2', 'PPIF', 'ZNF436', 'CALR', 'FARSA', 'ALDOA', 'FKBP4', 'CTXN1']",0.9999902549643362,0,0,35
5,hsa-miR-4476,0.0026292650448613668,1.7873882118787512,10.618964384992685,"['MIDN', 'SET', 'NDUFA11', 'WBP2', 'NXN', 'NOLC1', 'SNU13', 'PURB', 'SPRED3', 'C10ORF95', 'CFL1', 'EIF4H', 'LONRF3', 'PABPC1L2A', 'TRIM67', 'TIMM8A', 'TSPYL1', 'TPI1', 'DGAT2', 'IGFBP4', 'RPL13A', 'RPL35A', 'ATOX1', 'MLLT11', 'CDCP1', 'C1ORF115', 'REEP5', 'TFDP2', 'PPIF', 'ZNF436', 'CALR', 'FARSA', 'ALDOA', 'FKBP4', 'CTXN1']",0.9999902549643362,0,0,35
6,hsa-miR-4787-5p,0.00356592812530781,3.3147767500285488,18.68317867348555,"['GUK1', 'C10ORF95', 'ARHGDIA', 'MYADM', 'STMN3', 'POU3F1', 'FKBP4', 'ALDOA', 'CTXN1', 'RHOB']",0.9999902549643362,0,0,10
7,hsa-miR-6846-5p,0.003855330972960715,2.1466085181404844,11.931490735060972,"['CCDC71L', 'MIDN', 'ATP6AP1', 'WBP2', 'GDE1', 'HMGA1', 'STMN3', 'ARHGAP18', 'PRELP', 'CLU', 'CBARP', 'ARGFX', 'APEX1', 'FSCN1', 'TMEM109', 'CALM3', 'CALR', 'FARSA', 'RPL28', 'CTXN1']",0.9999902549643362,0,0,20
8,hsa-miR-6848-5p,0.003855330972960715,2.1466085181404844,11.931490735060972,"['CCDC71L', 'MIDN', 'ATP6AP1', 'WBP2', 'GDE1', 'HMGA1', 'STMN3', 'ARHGAP18', 'PRELP', 'CLU', 'CBARP', 'ARGFX', 'APEX1', 'FSCN1', 'TMEM109', 'CALM3', 'CALR', 'FARSA', 'RPL28', 'CTXN1']",0.9999902549643362,0,0,20
9,hsa-miR-502-5p,0.004563670127759836,2.4309527472066454,13.10193130077338,"['DAZAP2', 'CERS4', 'RAB1B', 'RPLP0', 'GDE1', 'TPRG1L', 'MANEAL', 'TOMM20', 'SRP9', 'PDRG1', 'H1F0', 'CALM1', 'CTSB', 'TRIM67', 'FGF10']",0.9999902549643362,0,0,15
10,hsa-miR-3616-3p,0.005201051765552401,2.034801850734259,10.700808080808926,"['VAV3', 'MIDN', 'CDKN1A', 'CDKN1B', 'TPI1', 'SLC47A1', 'UPK2', 'SUV39H1', 'ATG9A', 'ATXN7L3B', 'SSTR1', 'ARPP19', 'PHYHIP', 'CBARP', 'BACE2', 'GREM2', 'REEP5', 'BCL7B', 'PMEPA1', 'CALM3', 'RPS24']",0.9999902549643362,0,0,21
