"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ"
"PLAU (human)",6.97009818333628e-07,2.72914285714286,38.6896018505818,"['POP5', 'COX7B', 'RPL3', 'RNH1', 'CHPF', 'FAM89B', 'DIRAS1', 'RPL9', 'BACH2', 'CNDP2', 'CDC14B', 'LSM10', 'RPS14', 'CHCHD2', 'TMEM147', 'MAP1LC3A', 'OPA3', 'LRRTM2', 'RPLP2', 'RPS9', 'GABARAPL1', 'ATP6V1G1', 'PHYH', 'RPL21', 'DUSP1', 'RPS3A', 'AMPD3', 'ZFY', 'VGF', 'PRKAR1A', 'ASPHD1', 'CRH', 'HECA', 'RPP25', 'AURKAIP1', 'CUTA', 'UQCRB', 'DCUN1D3', 'NDUFB2', 'RNF7', 'SEZ6L2', 'TSPAN31', 'DEDD2', 'PURB', 'PARD6A', 'GNG4', 'RPL13', 'RPL18', 'LEKR1', 'HES4', 'RANBP1', 'MOAP1', 'RPL41', 'SF3A1', 'RPH3AL', 'CDKN2A', 'ST8SIA2', 'CCK', 'CWC15', 'OCEL1', 'AIMP2', 'C1ORF216', 'RPS27', 'NMNAT1', 'RPS29', 'UBE2S', 'SST', 'ASXL3', 'IMPDH2', 'APEX1', 'C18ORF32', 'CYCS', 'INHA', 'CENPQ', 'SCN2B']",0.000202132847316752,0,0,75,"PLAU",0.000202132847316752,NA,NA,NA,NA,NA,NA,NA
"HIF1A (human)",4.57608136703801e-05,2.14001118411855,21.3831681523904,"['MRPS17', 'POP5', 'COX7B', 'MCFD2', 'RPL3', 'UBXN1', 'ZFAND2A', 'MAGT1', 'PPCDC', 'RPS15', 'EEF1B2', 'RPS4X', 'MAP1LC3A', 'SUMO1', 'KAT5', 'SNRPD1', 'TIMM17A', 'TMED2', 'BANF1', 'CTSF', 'SEC61B', 'RPS10', 'RPL39', 'RPS13', 'HAUS4', 'AIP', 'RPSA', 'ACYP1', 'COX6B1', 'CORT', 'NEIL2', 'TXLNB', 'NDUFS5', 'MRTO4', 'RFX5', 'VDAC3', 'RPL24', 'SNRPE', 'RPL29', 'RPP25', 'BEX4', 'GTF2A2', 'RPS19BP1', 'RPL10', 'WBP2', 'GMPR2', 'NDUFB3', 'MRPL17', 'COX7A2', 'ATXN7L3B', 'HSD17B12', 'ATP1A1', 'COX7A1', 'PSMB10', 'DEDD2', 'C12ORF57', 'RPS15A', 'DDT', 'GNG4', 'ERI2', 'RAB24', 'RPL13', 'RPL17', 'GABRD', 'GDF11', 'TAF13', 'NEK6', 'TBCC', 'RPS26', 'C1ORF216', 'POLE2', 'AQP11', 'FAU', 'TMEM19', 'PFKM', 'TMEM9B', 'RPS23', 'BEX5']",0.00534200639651254,0,0,78,"HIF1A",0.00534200639651254,0.000302344691196479,0.00121092221392744,0.61652393386657,0.617317541563475,0.423643696333801,0.484306763894514,0.564965483098805
"IKZF1 (human)",5.52621351363366e-05,2.27138038512446,22.2673018034678,"['RPL30', 'MCFD2', 'UBXN1', 'ZFAND2A', 'TUSC2', 'RPLP0', 'TMEM141', 'RPS15', 'RPS14', 'MED11', 'HHAT', 'RPS16', 'MAP1LC3A', 'RPL18A', 'SUMO1', 'SNRPD1', 'TMED2', 'CTSF', 'RPS10', 'LRRC47', 'MRPS26', 'PHYH', 'ENDOG', 'RPS7', 'DHPS', 'HAUS4', 'NME2', 'ATP1B2', 'CORT', 'TMEM134', 'FNDC4', 'RPL27', 'SNRPE', 'SNRNP25', 'OTUB1', 'SRSF9', 'NECAB2', 'SET', 'RPL10', 'RPL11', 'VPS4A', 'C12ORF57', 'PHKG1', 'GNG4', 'ZNF428', 'RPL13', 'RPS2', 'APOE', 'SERF2', 'ATP6V1F', 'PPP1R14A', 'GABBR1', 'SNAPIN', 'SPRYD4', 'TBCC', 'C20ORF27', 'VWA3A', 'OCEL1', 'SPSB3', 'RPS27', 'PIK3IP1', 'APEX1', 'CROCC', 'FAU', 'TOMM6', 'GRINA', 'SCN2B']",0.00534200639651254,0,0,67,"IKZF1",0.00534200639651254,NA,NA,NA,NA,NA,NA,NA
"TP53 (mouse)",0.000103414173017008,2.36687402799378,21.7202551075527,"['HRK', 'RPL30', 'UBXN1', 'THYN1', 'RPL9', 'CNDP2', 'TOMM22', 'RPS15', 'LSM10', 'RPS19', 'RPS18', 'TIMM17A', 'ACP2', 'LRRC47', 'RPS9', 'ENDOG', 'RPS5', 'DHPS', 'PCDHGA1', 'TEX15', 'SYNGR3', 'SRP9', 'RPL37A', 'CDHR2', 'RPL27', 'RPL26', 'RBMS2', 'SRSF9', 'NDUFB9', 'SET', 'PHB', 'COX7A1', 'PET117', 'PSMB6', 'CKMT2', 'PARD6A', 'NRIP2', 'EIF4H', 'RPS2', 'SERF2', 'TAF13', 'RPL35A', 'ATOX1', 'GADD45G', 'RPS26', 'PSMC5', 'LYRM2', 'MC1R', 'TMEM115', 'NMNAT1', 'CROCC', 'R3HCC1', 'TOMM7', 'BAX', 'SERINC3', 'RPS24', 'GRINA']",0.0074975275437331,0,0,57,"TP53",0.0074975275437331,NA,NA,NA,NA,NA,NA,NA
"CRX (human)",0.000213593103770735,2.07317073170732,17.5212733574376,"['MRPS17', 'MCFD2', 'RPL3', 'UBXN1', 'TUSC2', 'RPLP0', 'MAGT1', 'RPL6', 'TXN2', 'HHAT', 'MAP1LC3A', 'RPL18A', 'SUMO1', 'KAT5', 'C19ORF53', 'SPDYE2', 'TMED2', 'CTSF', 'RPS10', 'SLC39A3', 'GABARAPL1', 'ATP6V1G1', 'PHYH', 'GPX4', 'RPS8', 'DHPS', 'HAUS4', 'NME2', 'RPS3A', 'ATP1B2', 'COX6B1', 'MZT2B', 'DPM3', 'UFC1', 'VDAC3', 'RPL24', 'HAP1', 'RPL29', 'AURKAIP1', 'OTUB1', 'ARL9', 'SET', 'RPL10', 'VPS4A', 'MCHR1', 'LAGE3', 'DEDD2', 'RPL13', 'GADD45GIP1', 'FIS1', 'PPP1R14A', 'RPL41', 'SNAPIN', 'PMM1', 'SPRYD4', 'TAF13', 'GSS', 'OCEL1', 'BCKDK', 'IGSF10', 'C1ORF216', 'RPS27', 'NMNAT1', 'PSMG3', 'BAX', 'FAU', 'RPS24', 'SCN2B']",0.0123884000187026,0,0,68,"CRX",0.0123884000187026,NA,NA,NA,NA,NA,NA,NA
"ATF4 (human)",0.000437338194421721,1.89028420356907,14.6209773688197,"['POP5', 'MESP1', 'MCFD2', 'RPL3', 'RAB3A', 'RNH1', 'CHPF', 'FAM89B', 'RPL34', 'DIRAS1', 'PARK7', 'BACH2', 'ZNF48', 'CNDP2', 'CDC14B', 'LSM10', 'RPS14', 'HHAT', 'TMEM147', 'MAP1LC3A', 'OPA3', 'LRRTM2', 'RPLP2', 'RPL35', 'SEC61B', 'RPS12', 'GABARAPL1', 'RPL21', 'RPS8', 'DUSP1', 'RUNX1', 'HAX1', 'FNDC4', 'VGF', 'PRKAR1A', 'ASPHD1', 'CRH', 'HECA', 'RPP25', 'CUTA', 'BEX1', 'DCUN1D3', 'RPL11', 'NDUFB2', 'MRPL17', 'TMEM160', 'RNF7', 'SEZ6L2', 'DEDD2', 'PURB', 'TCEAL6', 'LDHA', 'PARD6A', 'RPL18', 'LEKR1', 'HES4', 'MPDU1', 'MOAP1', 'RPH3AL', 'PDAP1', 'CCK', 'OCEL1', 'RPS25', 'AIMP2', 'FABP3', 'RPS27', 'NMNAT1', 'RPS29', 'UBE2S', 'SST', 'ASXL3', 'IMPDH2', 'C18ORF32', 'PSMG3', 'CYCS', 'RPS21', 'RSL24D1']",0.0207289516774958,0,0,77,"ATF4",0.0207289516774958,5.75879369963604e-09,8.28179199313266e-05,0.854815879401149,0.855486273502113,-0.0310148141915295,0.0224666890199597,0.195004696727288
"PITX1 (human)",0.000577973534583447,1.98993710691824,14.836936202018,"['IFITM3', 'COX7B', 'MCFD2', 'RPL3', 'UBXN1', 'RPL6', 'TXN2', 'PSMD8', 'MED11', 'HHAT', 'SUMO1', 'KAT5', 'CASP6', 'OPA3', 'SPDYE2', 'RPL35', 'TMED2', 'ACP2', 'CTSF', 'RPS10', 'RPL39', 'SEPHS2', 'GPX4', 'ATP6AP1', 'DHPS', 'TINF2', 'HAUS4', 'NME2', 'WDR34', 'COX6B1', 'UFC1', 'RPL24', 'RPL27', 'RPL29', 'OTUB1', 'ARL9', 'SET', 'RPL11', 'COX7A2', 'TMEM160', 'RPS15A', 'PHKG1', 'RPL14', 'RPL13', 'RPL17', 'MPDU1', 'GADD45GIP1', 'PPP1R14A', 'SNAPIN', 'PMM1', 'TAF13', 'CDKN2A', 'GSS', 'OCEL1', 'BCKDK', 'RPS26', 'RPS27', 'NMNAT1', 'POLE2', 'LPCAT2', 'PPT1', 'FAU', 'RPS24', 'GRINA']",0.0207289516774958,0,0,64,"PITX1",0.0207289516774958,NA,NA,NA,NA,NA,NA,NA
"YY1 (mouse)",0.000584455926059075,1.8744,13.9545878232646,"['PANK4', 'NDUFA13', 'RPL3', 'RPL32', 'WIPF1', 'POP4', 'RPL10A', 'HDDC3', 'RPL7', 'CDC14B', 'RPS15', 'PSMD8', 'RPL7A', 'SUMO1', 'HMGN2', 'RPS10', 'LRRC47', 'PLEKHG3', 'HSP90AA1', 'ENDOG', 'ATP6AP1', 'ENTPD5', 'RPL13A', 'NDUFC1', 'DUSP28', 'PPRC1', 'MRPL46', 'RUNX1', 'RPP21', 'VDAC3', 'RPL26', 'ATP6V0C', 'CUTA', 'NDUFB7', 'NDUFB11', 'NDUFB2', 'COPS7A', 'MRPL14', 'COX5B', 'TSPAN31', 'SRM', 'CLN5', 'EFNB3', 'RPL14', 'TMEM208', 'PCBD1', 'RPL15', 'APOE', 'GADD45GIP1', 'RANBP1', 'FIS1', 'PPP1R14A', 'SURF1', 'SNAPIN', 'NDUFA6', 'H3F3B', 'LRRC29', 'ST8SIA2', 'RPL35A', 'BTBD6', 'KRT10', 'NSG1', 'TPD52L1', 'CORO2B', 'DRAP1', 'SPSB3', 'RPS25', 'RPS28', 'LSM7', 'EFNA3', 'RPL27A', 'PSMG3', 'PTPN9', 'FAU', 'INHA']",0.0207289516774958,0,0,75,"YY1",0.0207289516774958,0.0472173512656153,0.109903419665039,NA,NA,NA,0.927367548052344,0.443098219003713
"RARA (human)",0.000648608273477109,1.93967449208274,14.2385328700658,"['DAZAP2', 'POP5', 'RPL3', 'RNH1', 'RPLP0', 'MYL6B', 'MAGT1', 'MEA1', 'RPL8', 'RPL10A', 'RPL9', 'USE1', 'RPS15', 'MED11', 'RPL18A', 'RPS19', 'KAT5', 'MED10', 'ACP2', 'CTSF', 'MDP1', 'RPS10', 'RPS12', 'GABARAPL1', 'GPX4', 'DUSP26', 'COX6B1', 'CORT', 'RCN1', 'SFRP1', 'RFX5', 'SNRPE', 'HAP1', 'AURKAIP1', 'RBMS2', 'OTUB1', 'SET', 'WBP2', 'VPS4A', 'TIMM10', 'OAZ1', 'DEDD2', 'PHKG1', 'RPL13', 'SERF2', 'RPL19', 'ATP6V1F', 'OST4', 'NDUFA6', 'SPRYD4', 'CDKN2A', 'VEGFB', 'LSM5', 'RPS26', 'RPS25', 'AIMP2', 'LSM7', 'LYRM2', 'RPS27', 'MC1R', 'PIK3IP1', 'IMPDH2', 'CYCS', 'RPS21', 'CENPQ', 'RPS24', 'SCN2B']",0.0207289516774958,0,0,67,"RARA",0.0207289516774958,0.53769392609247,0.726897350146413,NA,NA,NA,0.707907607608786,0.586107931058805
"TFAP2D (human)",0.000714791437155027,2.01182432432432,14.5726892350394,"['DAZAP2', 'UBXN1', 'COX4I1', 'RPL8', 'FGF1', 'SRP14', 'RPL9', 'TMEM141', 'SNAPC5', 'RPS14', 'MED11', 'NUDCD2', 'RPL18A', 'C19ORF53', 'SEC61G', 'RPL38', 'SEPHS2', 'RPS12', 'PHYH', 'GPX4', 'RPS7', 'RPL23', 'SSR2', 'ENTPD5', 'HAUS4', 'AIP', 'AMPD3', 'TMEM134', 'RFX5', 'TMEM126A', 'UFC1', 'SNRPE', 'AURKAIP1', 'SET', 'WBP2', 'VPS4A', 'PHB', 'COX7A1', 'LAGE3', 'EIF4H', 'RPL13', 'SERF2', 'ATP6V1F', 'MPDU1', 'SNAPIN', 'SPRYD4', 'NDUFA1', 'LSM5', 'CORO2B', 'OCEL1', 'RPS25', 'AIMP2', 'DBNDD2', 'RPS27', 'PIK3IP1', 'NMNAT1', 'PPT1', 'BAX', 'CENPQ', 'GRINA']",0.0207289516774958,0,0,60,"TFAP2D",0.0207289516774958,NA,NA,NA,NA,NA,NA,NA
