Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,NRF1 (mouse),1.620555642477435e-06,2.778268163634017,37.041931183245104,"['RPL30', 'NDUFA13', 'COX7B', 'ECI1', 'COX4I1', 'COX7A2', 'COX5B', 'MEA1', 'IER3IP1', 'MRPL54', 'PET117', 'PSMB6', 'RPS15', 'RPS14', 'BAG1', 'RPL35', 'RPL38', 'RPS10', 'CHCHD1', 'COX8A', 'NDUFA5', 'RPL21', 'SSR4', 'RPS8', 'COX6C', 'COMMD5', 'COX6B1', 'RPS28', 'EIF3K', 'SNRNP25', 'RPS21', 'TOMM5', 'RPS24', 'SRSF9']",0.0004116211331892685,0,0,34
2,HIF1A (human),0.0008624277913675904,2.1028382167276067,14.837119952302153,"['COX7B', 'RPS19BP1', 'GPS2', 'COX7A2', 'COX7A1', 'PSMB10', 'EEF1B2', 'RPS15', 'UXT', 'RPS15A', 'SUMO1', 'DDT', 'SEC61B', 'PCDHA9', 'RPS10', 'RPL39', 'RPS13', 'COG3', 'VPS37B', 'COX6B1', 'RPS26', 'MFAP1', 'MORN2', 'RPL24', 'FAU', 'RPL29', 'BEX5']",0.10952832950368398,0,0,27
3,TP63 (human),0.003875529242712198,1.997606798952268,11.09285647324325,"['COX8A', 'RPL41', 'COX7B', 'NDUFA5', 'ECI1', 'NDUFB1', 'MRPL14', 'TMEM160', 'UQCR10', 'MEA1', 'PSMB10', 'PSMB6', 'UXT', 'RPS27', 'GAN', 'PPIE', 'RPL24', 'FAU', 'RPS27A', 'RPL29', 'TMSB10', 'RPS24']",0.3281281425496328,0,0,22
4,FOXO3A (mouse),0.01604921288873099,2.4445815450643775,10.101244332828934,"['CHCHD2', 'MRPL51', 'RPS15A', 'CHCHD10', 'VPS37B', 'IER3IP1', 'CHCHD1', 'POLR2K', 'TPT1']",0.9938062500969272,0,0,9
5,ETS1 (mouse),0.023430848041191034,1.707453664607316,6.409271949650271,"['OST4', 'HDDC2', 'FIS1', 'RNASEK', 'UQCRB', 'SSR4', 'CHCHD10', 'MEA1', 'COX7A1', 'MRPL21', 'SUMO1', 'RPL18A', 'RPL35', 'LAMTOR2', 'SNRNP25', 'TMSB10', 'RPS21', 'POLR2K', 'RPS13', 'SRSF9']",0.9938062500969272,0,0,20
6,NR5A2 (mouse),0.025195430983533055,1.6929331769395621,6.231843808685591,"['FIS1', 'NDUFA13', 'COX7B', 'MRPS24', 'SSR4', 'RIIAD1', 'NDUFB2', 'GPS2', 'UQCR11', 'COX5B', 'RPL10A', 'COX7A1', 'MRPL21', 'MRPL51', 'RPL18A', 'RPL36AL', 'BAG1', 'UQCRFS1', 'POLR2I', 'TOMM5']",0.9938062500969272,0,0,20
7,NR1I2 (human),0.028150967529902097,1.7183656575212867,6.134863627401351,"['COX8A', 'UQCRB', 'COX4I1', 'COX17', 'UQCR11', 'RPL10A', 'COX6B1', 'RPS26', 'RPS15', 'RPS27', 'RPL18A', 'DDT', 'PPIE', 'RPL24', 'RPL35', 'RPS10', 'RPS24', 'SRSF9']",0.9938062500969272,0,0,18
8,CBEPA (mouse),0.032818643485541796,1.7409003351482557,5.948236063243126,"['COX8A', 'PPIL1', 'UQCRB', 'RPS8', 'IER3IP1', 'COX7A1', 'ATOX1', 'PET117', 'RPS15', 'TCEAL7', 'RPS27', 'RNF181', 'RPL35', 'TOMM5', 'RPS24', 'TPT1']",0.9938062500969272,0,0,16
9,FOXA1 (mouse),0.035213607286899,1.6464954954954956,5.509705252726932,"['MRPS24', 'UQCRB', 'RPS19BP1', 'RPS8', 'RPL11', 'MYL6B', 'IER3IP1', 'RPL9', 'ATOX1', 'PET117', 'COMMD5', 'COX6B1', 'UBL5', 'RPS28', 'RNF181', 'UQCRFS1', 'POLR2K', 'TOMM5', 'TPT1']",0.9938062500969272,0,0,19
10,FOXA2 (mouse),0.050752068474764364,1.695272100467865,5.0532719997504625,"['COX8A', 'UQCRB', 'ECI1', 'COX17', 'COX7A2', 'UQCR10', 'COX6C', 'MRPL54', 'WFDC2', 'COMMD5', 'MRPL51', 'RPS29', 'TOMM7', 'CHCHD1']",0.9998994163617472,0,0,14
11,IRF8 (human),0.05299143281212333,1.5430574558172294,4.532924194984496,"['RPL30', 'RPL41', 'NDUFA13', 'MRPS24', 'GPS2', 'COX7A2', 'UQCR10', 'RPS15', 'RPS14', 'RPS27', 'MRPL51', 'UQCRQ', 'BAG1', 'RNF181', 'RPL24', 'RPL35', 'RPL29', 'RPS21', 'RPS12', 'CHGB']",0.9998994163617472,0,0,20
12,ELK4 (human),0.05819764047655322,1.540601440067768,4.381332560431922,"['FIS1', 'RPL30', 'RPL21', 'GLRX5', 'UQCR11', 'UQCR10', 'COX5B', 'MRPL54', 'RPS15', 'UXT', 'HRH1', 'MRPL51', 'BAG1', 'AP1S2', 'RNF181', 'RPL29', 'RPS21', 'NOP10', 'RPS12']",0.9998994163617472,0,0,19
13,NR5A1 (mouse),0.061545756672105566,1.7608269613827667,4.909140438128911,"['FIS1', 'UBL5', 'HRH1', 'RPS19BP1', 'RPS8', 'RPL36AL', 'CYCS', 'UQCR11', 'TMSB10', 'RPS21', 'TOMM5']",0.9998994163617472,0,0,11
14,RARA (human),0.07019136609985421,1.5361982481096055,4.080956679120642,"['OST4', 'MYL6B', 'RPL10A', 'MEA1', 'RPL9', 'COX6B1', 'RPS26', 'RPS15', 'RPS27', 'MFAP1', 'RPL18A', 'PPIE', 'CYCS', 'RPS10', 'RPS21', 'RPS24', 'RPS12']",0.9998994163617472,0,0,17
15,FOXO3A (human),0.07441821916322847,1.698017498138496,4.411541978167629,"['UBL5', 'HRH1', 'PCP4', 'RPL11', 'NDUFA1', 'GPS2', 'SEC61B', 'TMSB10', 'CHCHD1', 'RPL39', 'RPS24']",0.9998994163617472,0,0,11
16,ATF4 (human),0.07910046139888918,1.4907656043586002,3.7821268572210385,"['COX8A', 'NDUFA5', 'RPL21', 'RPS8', 'RPL34', 'RPL11', 'NDUFB2', 'GPS2', 'TMEM160', 'VPS37B', 'RPS14', 'RPS27', 'RPS29', 'CYCS', 'RPL35', 'SEC61B', 'RPS21', 'RPS12']",0.9998994163617472,0,0,18
17,CREB1 (mouse),0.08123993746966406,1.6299692510432682,4.091790557918033,"['TCEAL8', 'MRPL2', 'URM1', 'ARL3', 'RPLP1', 'MRPS18B', 'NDUFB2', 'RPL35', 'VPS37B', 'RPL9', 'MRPL21', 'CHGB']",0.9998994163617472,0,0,12
18,PITX1 (human),0.08674239404960399,1.4700452581247283,3.59398508240201,"['COX8A', 'COX7B', 'RPL11', 'COX7A2', 'TMEM160', 'COX6B1', 'RPS26', 'RPS27', 'RPS15A', 'SUMO1', 'MFAP1', 'RPL24', 'RPL35', 'FAU', 'RPL29', 'RPS10', 'RPL39', 'RPS24']",0.9998994163617472,0,0,18
19,YY1 (mouse),0.10070165882742921,1.4224950806768988,3.2654697588826136,"['FIS1', 'NDUFA13', 'SSR4', 'MRPS18B', 'NDUFB2', 'RPL35A', 'MRPL14', 'COX5B', 'RPL10A', 'UQCRH', 'MRPL54', 'RPS15', 'RPS28', 'SUMO1', 'GAN', 'AP1S2', 'FAU', 'RPL26', 'RPS10']",0.9998994163617472,0,0,19
20,HNF4A (mouse),0.10665168688558833,1.908664079128584,4.271947162036819,"['COX8A', 'RPS26', 'FIS1', 'SSR4', 'RPL10A', 'CHCHD1']",0.9998994163617472,0,0,6
21,TP53 (mouse),0.1135777559652873,1.476933052358567,3.212724619167482,"['RPL30', 'RPL35A', 'RPL9', 'COX7A1', 'ATOX1', 'PET117', 'RPS26', 'PSMB6', 'RPS15', 'TOMM7', 'RPL26', 'RPS24', 'NOP10', 'SRSF9']",0.9998994163617472,0,0,14
22,TBP (mouse),0.1305207805780076,1.3544975065748819,2.7580587416647955,"['COX8A', 'RNASEK', 'RPS19BP1', 'RPS8', 'H2AFZ', 'RIIAD1', 'MRPS18B', 'NEDD8', 'COX5B', 'IER3IP1', 'PSMB6', 'TCEAL8', 'MRPL51', 'SUMO1', 'RPS29', 'MRPL9', 'CHCHD1', 'POLR2K', 'RPS13', 'NOP10']",0.9998994163617472,0,0,20
23,IRF2 (mouse),0.13494402473803738,1.4499703966844286,2.9041387739017988,"['NRN1', 'VPS37B', 'RPL9', 'COX7A1', 'RPS27', 'RNF181', 'RPL24', 'RPL26', 'PCDHA9', 'POLR2I', 'POLR2K', 'RPS13', 'CHGB']",0.9998994163617472,0,0,13
24,THRA (human),0.13859351677977827,2.0684848484848484,4.087760379958201,"['TOMM7', 'RNF181', 'RPL26', 'COMMD5']",0.9998994163617472,0,0,4
25,FOXF2 (human),0.13933464549270652,1.387565494517366,2.7347205275087325,"['RPL41', 'RPL11', 'COX6B1', 'MZT2B', 'RPS15', 'MZT2A', 'RPS27', 'RPS15A', 'SUMO1', 'C19ORF53', 'FAU', 'RPL29', 'RPS10', 'RPL26L1', 'RPS24', 'RPS13']",0.9998994163617472,0,0,16
26,E2F1 (mouse),0.15053256444552993,1.2656044710265713,2.396518053312927,"['RPL30', 'NDUFA13', 'RPS19BP1', 'COX17', 'LPL', 'COX7A2', 'MEA1', 'PSMB10', 'SHD', 'MRPL40', 'RPL36AL', 'BAG1', 'RPL35', 'TMSB10', 'RPS10', 'POLR2K', 'COX8A', 'PPIL1', 'SSR4', 'MRPL21', 'RPS28', 'PCP4', 'RPS27', 'MRPL51', 'LAMTOR2', 'RPL26', 'RPS24', 'TPT1', 'NOP10']",0.9998994163617472,0,0,29
27,ATF1 (human),0.16558091773732592,1.9224806201550388,3.4571878149759265,"['UXT', 'TCEAL7', 'RPL21', 'RPL24']",0.9998994163617472,0,0,4
28,CRX (human),0.17950809951557584,1.322689813738407,2.2717659823406553,"['FIS1', 'RPL41', 'RPS8', 'RPS3A', 'COX6B1', 'MZT2B', 'RPS27', 'SUMO1', 'MFAP1', 'RPL18A', 'C19ORF53', 'RPL24', 'FAU', 'RPL29', 'RPS10', 'RPS24']",0.9998994163617472,0,0,16
29,MYOD1 (human),0.18556278547348098,2.627595872085616,4.425822606864153,"['TMEM160', 'SNRNP25']",0.9998994163617472,0,0,2
30,HNF4A (human),0.1964755278106643,1.2566410368503613,2.044828155479728,"['NDUFA7', 'RPL34', 'ARL3', 'NDUFB2', 'LPL', 'NDUFB1', 'VPS37B', 'MEA1', 'RPS26', 'RPS15', 'HRH1', 'RPS28', 'MRPL51', 'MFAP1', 'PPIE', 'RNF181', 'MRPL9', 'RPL29', 'TMSB10', 'NOP10', 'RPS12']",0.9998994163617472,0,0,21
31,RELA (mouse),0.19755655660758295,1.287399885583524,2.0878154967310203,"['PPIL1', 'SPAG7', 'NDUFA7', 'NRN1', 'RPL21', 'COX4I1', 'GPS2', 'MRPL14', 'VPS37B', 'RPL10A', 'UQCRH', 'SUMO1', 'RPL36AL', 'TOMM7', 'CYCS', 'PHPT1', 'TPT1']",0.9998994163617472,0,0,17
32,Nkx2-5 (mouse),0.21293387442999936,1.6059016807784658,2.4839663403354315,"['PPIL1', 'NDUFA5', 'RPL21', 'MRPS18B', 'NOP10']",0.9998994163617472,0,0,5
33,TLX1::NFIC (human),0.21565187271105482,4.398384353741497,6.747516889780923,['SSR4'],0.9998994163617472,0,0,1
34,Nkx3-2 (mouse),0.21924243407024455,1.3860612623762376,2.103454909370408,"['HRH1', 'SPAG7', 'MRPS24', 'NDUFA5', 'GAN', 'MRPS18B', 'TOMM7', 'FAU', 'RPS27A']",0.9998994163617472,0,0,9
35,TFAP2D (human),0.21957230358901125,1.2917329775575357,1.9583623939109192,"['COX8A', 'URM1', 'COX4I1', 'NDUFA1', 'RPL9', 'TMEM141', 'COX7A1', 'RPS14', 'RPS27', 'RPL18A', 'C19ORF53', 'RNF181', 'RPL38', 'RPS12']",0.9998994163617472,0,0,14
36,RBPJ (human),0.22477558678901136,1.2735124929418407,1.9009119458294268,"['RPL41', 'RNASEK', 'NDUFA1', 'GPS2', 'TMEM141', 'EEF1B2', 'RPS28', 'RPS15A', 'SUMO1', 'RPS29', 'RPL36AL', 'AP1S2', 'RPL38', 'PCDHA9', 'RPL39']",0.9998994163617472,0,0,15
37,AHR (mouse),0.22746227684303294,1.564578713968958,2.316782584116153,"['RPS15', 'CHCHD2', 'POLR2I', 'COX7A1', 'TOMM5']",0.9998994163617472,0,0,5
38,IKZF1 (human),0.2320691116039195,1.275592182717212,1.863283085634679,"['COX8A', 'RPL30', 'RPL11', 'TMEM141', 'RPS15', 'RPS14', 'RPS27', 'SUMO1', 'RPL18A', 'FAU', 'SNRNP25', 'RPS10', 'TOMM6', 'SRSF9']",0.9998994163617472,0,0,14
39,NR3C1 (mouse),0.23675437347370384,1.3322020659097948,1.9193462455715384,"['TCEAL8', 'MRPL51', 'NDUFA5', 'RIIAD1', 'TOMM7', 'PCDHA9', 'POLR2I', 'RPL9', 'MRPL54', 'CHGB']",0.9998994163617472,0,0,10
40,ELK1 (human),0.23845980876592884,1.2569511025886866,1.8019079088416294,"['FIS1', 'SPAG7', 'MYL6B', 'UQCRH', 'ATOX1', 'IGSF11', 'RPS26', 'RPS15', 'RPS27', 'MRPL51', 'MRPL40', 'UQCRQ', 'CHCHD1', 'NOP10', 'RPS12']",0.9998994163617472,0,0,15
41,NFKB1 (mouse),0.2450426976912324,1.1814949586095962,1.6615633070392877,"['NDUFA13', 'COX7B', 'COX4I1', 'NDUFB2', 'GPS2', 'MRPL14', 'UQCR11', 'UQCR10', 'TMEM141', 'COX7A1', 'PSMB10', 'SHD', 'UXT', 'CHCHD2', 'AP1S2', 'SEC61B', 'RPS10', 'POLR2K', 'OST4', 'PPIL1', 'SPAG7', 'MRPL21', 'EIF3K', 'CYCS', 'SNRNP25', 'RPL29', 'PHPT1']",0.9998994163617472,0,0,27
42,RXRA (mouse),0.251288333306512,1.5026343831399478,2.075369880807034,"['PSMB6', 'OST4', 'RPL30', 'COX5B', 'POLR2I']",0.9998994163617472,0,0,5
43,APEX1 (human),0.2513547448982713,1.2520757162030824,1.7289788499812444,"['OST4', 'FIS1', 'RPL30', 'RPL41', 'UQCR10', 'SHD', 'PET117', 'COX6B1', 'RPS14', 'RPL18A', 'MORN2', 'POLR2I', 'TMSB10', 'RPS10']",0.9998994163617472,0,0,14
44,SREBF2 (human),0.25485214019955976,1.259201658890617,1.7214190083104892,"['OST4', 'PPIL1', 'SPAG7', 'NDUFA7', 'ECI1', 'UQCR10', 'RPL9', 'PSMB6', 'RPS14', 'EIF3K', 'DDT', 'RPL38', 'NOP10']",0.9998994163617472,0,0,13
45,PLAU (human),0.2556401380561316,1.2372448979591837,1.6875829057834626,"['RPL41', 'COX7B', 'NRN1', 'UQCRB', 'RPL21', 'NDUFB2', 'RPS3A', 'VPS37B', 'RPL9', 'RPS14', 'CHCHD2', 'RPS27', 'RPS29', 'CYCS', 'TPT1']",0.9998994163617472,0,0,15
46,Klf4 (mouse),0.262447193237477,2.055688622754491,2.74990574220027,"['FIS1', 'RPS12']",0.9998994163617472,0,0,2
47,STAT1 (mouse),0.2648901460191304,3.419642857142857,4.542790638465892,['LPL'],0.9998994163617472,0,0,1
48,CREM (human),0.26645514229009726,1.334001202163895,1.7642824510446133,"['COX8A', 'RPS28', 'RPS27', 'RPL21', 'RPL34', 'RPL11', 'RPL9', 'MRPL54']",0.9998994163617472,0,0,8
