Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,STAT5A human,0.0009579490858239774,30.720848056537104,213.53188789986135,"['HRH1', 'SUMO1', 'SP1']",0.09004721406745388,0,0,3
2,PPARD human,0.012406122113962137,20.408450704225352,89.58422518784477,"['LPL', 'TXN']",0.48039965699516607,0,0,2
3,NRF1 mouse,0.029132748596486086,10.200704225352112,36.06859209877955,"['COX4I1', 'COX17']",0.48039965699516607,0,0,2
4,MTF1 mouse,0.047008337471375276,inf,inf,['SELENOW'],0.48039965699516607,0,0,1
5,NKX2-1 human,0.047008337471375276,inf,inf,['SP1'],0.48039965699516607,0,0,1
6,JUNB mouse,0.047008337471375276,inf,inf,['CTSK'],0.48039965699516607,0,0,1
7,KAT5 mouse,0.047008337471375276,inf,inf,['TPT1'],0.48039965699516607,0,0,1
8,KLF5 mouse,0.047008337471375276,inf,inf,['EGR1'],0.48039965699516607,0,0,1
9,PLAG1 mouse,0.047008337471375276,inf,inf,['EGR1'],0.48039965699516607,0,0,1
10,PPARD mouse,0.05110634648884745,6.7981220657277,20.21657213751053,"['SP1', 'LPL']",0.48039965699516607,0,0,2
11,GABPA mouse,0.09181436714584694,20.340350877192982,48.57248307106079,['COX4I1'],0.49827785602537744,0,0,1
12,NFATC1 human,0.09181436714584694,20.340350877192982,48.57248307106079,['SP1'],0.49827785602537744,0,0,1
13,ELK1 mouse,0.09181436714584694,20.340350877192982,48.57248307106079,['EGR1'],0.49827785602537744,0,0,1
14,PITX2 mouse,0.09181436714584694,20.340350877192982,48.57248307106079,['TPT1'],0.49827785602537744,0,0,1
15,STAT6 mouse,0.09181436714584694,20.340350877192982,48.57248307106079,['EGR1'],0.49827785602537744,0,0,1
16,ATM human,0.10655894615869663,4.076056338028169,9.126522320721223,"['SP1', 'APLF']",0.49827785602537744,0,0,2
17,REST human,0.12217033203913086,3.704865556978233,7.788883512186579,"['VGF', 'CHGB']",0.49827785602537744,0,0,2
18,ATF5 human,0.1345208283419696,10.16842105263158,20.398221077892657,['EGR1'],0.49827785602537744,0,0,1
19,MYBL2 human,0.1345208283419696,10.16842105263158,20.398221077892657,['SP1'],0.49827785602537744,0,0,1
20,SRF mouse,0.1345208283419696,10.16842105263158,20.398221077892657,['EGR1'],0.49827785602537744,0,0,1
21,PER1 mouse,0.1345208283419696,10.16842105263158,20.398221077892657,['EGR1'],0.49827785602537744,0,0,1
22,FOXO1 mouse,0.1548404977903999,3.1338028169014085,5.845669602758452,"['EGR1', 'LPL']",0.49827785602537744,0,0,2
23,AATF mouse,0.175225761788229,6.777777777777778,11.804720468474779,['TPT1'],0.49827785602537744,0,0,1
24,POU2F2 mouse,0.175225761788229,6.777777777777778,11.804720468474779,['LPL'],0.49827785602537744,0,0,1
25,BRCA1 mouse,0.175225761788229,6.777777777777778,11.804720468474779,['TPT1'],0.49827785602537744,0,0,1
26,HIVEP2 human,0.175225761788229,6.777777777777778,11.804720468474779,['HLA-B'],0.49827785602537744,0,0,1
27,HMGA1 human,0.175225761788229,6.777777777777778,11.804720468474779,['SP1'],0.49827785602537744,0,0,1
28,HSF2 human,0.175225761788229,6.777777777777778,11.804720468474779,['TXN'],0.49827785602537744,0,0,1
29,ID2 mouse,0.175225761788229,6.777777777777778,11.804720468474779,['TPT1'],0.49827785602537744,0,0,1
30,POU5F1 mouse,0.21402265528394482,5.082456140350877,7.8354874573091395,['TPT1'],0.49827785602537744,0,0,1
31,MYB mouse,0.21402265528394482,5.082456140350877,7.8354874573091395,['H2AFZ'],0.49827785602537744,0,0,1
32,RBMX human,0.21402265528394482,5.082456140350877,7.8354874573091395,['EGR1'],0.49827785602537744,0,0,1
33,ERCC2 human,0.21402265528394482,5.082456140350877,7.8354874573091395,['LAMTOR5'],0.49827785602537744,0,0,1
34,ETS2 mouse,0.21402265528394482,5.082456140350877,7.8354874573091395,['EGR1'],0.49827785602537744,0,0,1
35,PAX3 mouse,0.21402265528394482,5.082456140350877,7.8354874573091395,['ITM2A'],0.49827785602537744,0,0,1
36,PITX1 human,0.21402265528394482,5.082456140350877,7.8354874573091395,['TRIB2'],0.49827785602537744,0,0,1
37,SP1 mouse,0.23987815710704974,1.475473321858864,2.1064213665507574,"['EGR1', 'SP1', 'COX4I1', 'COX17', 'LPL', 'TPT1']",0.49827785602537744,0,0,6
38,GATA4 human,0.25100064701555647,4.065263157894737,5.6194122960417685,['SUMO1'],0.49827785602537744,0,0,1
39,MYB human,0.25100064701555647,4.065263157894737,5.6194122960417685,['HRH1'],0.49827785602537744,0,0,1
40,BCL6 human,0.25100064701555647,4.065263157894737,5.6194122960417685,['SUMO1'],0.49827785602537744,0,0,1
41,RB1 mouse,0.25100064701555647,4.065263157894737,5.6194122960417685,['SP1'],0.49827785602537744,0,0,1
42,TWIST2 human,0.25100064701555647,4.065263157894737,5.6194122960417685,['PFDN4'],0.49827785602537744,0,0,1
43,DMTF1 mouse,0.25100064701555647,4.065263157894737,5.6194122960417685,['EGR1'],0.49827785602537744,0,0,1
44,ETS2 human,0.25100064701555647,4.065263157894737,5.6194122960417685,['EGR1'],0.49827785602537744,0,0,1
45,SRF human,0.25100064701555647,4.065263157894737,5.6194122960417685,['SAMD4A'],0.49827785602537744,0,0,1
