Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Oxidative Phosphorylation,2.9984322205968104e-25,7.0739191073919105,399.43972043058585,"['COX7B', 'SLC25A3', 'ECI1', 'COX4I1', 'COX6A1', 'COX7C', 'UQCRFS1', 'IDH3A', 'TOMM70', 'ATP6V1G1', 'GPX4', 'NDUFC2', 'NDUFC1', 'COX6B1', 'NDUFS8', 'NDUFS6', 'NDUFS3', 'VDAC1', 'SLC25A5', 'SLC25A4', 'NDUFB8', 'NDUFB7', 'UQCRB', 'NDUFB5', 'COX17', 'NDUFB3', 'TIMM13', 'ATP5MC2', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'TIMM10', 'COX5B', 'COX5A', 'UQCRH', 'ATP5MC1', 'LDHA', 'ATP5F1A', 'ATP5F1B', 'CYC1', 'ATP5MG', 'ATP5MF', 'ATP6V1F', 'ATP5ME', 'TIMM8B', 'ATP5PF', 'SURF1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'MDH2', 'NDUFA4', 'IDH3G', 'IDH1', 'NDUFA2', 'NDUFA1', 'COX6C', 'ATP5F1D', 'ATP5F1E', 'UQCRQ', 'NDUFAB1', 'ATP5PO', 'CYCS', 'BAX']",1.3492944992685648e-23,0,0,67
2,Myc Targets V1,9.854072087311278e-11,3.9181646423751686,90.2766732223372,"['YWHAE', 'HDDC2', 'SLC25A3', 'SET', 'RPL34', 'ODC1', 'COX5A', 'RPL6', 'SRM', 'EEF1B2', 'LDHA', 'POLD2', 'RPS3', 'RPL14', 'SNRPB2', 'RPS2', 'CYC1', 'MRPL9', 'RPL18', 'CCT7', 'HNRNPA1', 'RPS10', 'TOMM70', 'NOP56', 'RANBP1', 'SF3A1', 'VBP1', 'RPS5', 'RPL22', 'RPS6', 'MRPS18B', 'EIF2S1', 'NME1', 'LSM7', 'APEX1', 'IMPDH2', 'NDUFAB1', 'SNRPG', 'NHP2', 'VDAC1', 'ERH', 'SRSF7', 'EIF3D']",2.2171662196450376e-09,0,0,43
3,DNA Repair,5.042925613044569e-06,3.4963386727688786,42.64667545192286,"['SURF1', 'GPX4', 'MPG', 'POLR3GL', 'TAF13', 'USP11', 'GMPR2', 'AK1', 'COX17', 'NME3', 'EDF1', 'GTF2H5', 'NME1', 'SNAPC5', 'POLE4', 'SEC61A1', 'MRPL40', 'IMPDH2', 'TMED2', 'TAF6', 'POLR2I', 'VPS28', 'POLR2K', 'NELFE']",7.564388419566854e-05,0,0,24
4,Adipogenesis,0.000599675609898629,2.4858757062146895,18.443014393295346,"['COX7B', 'NDUFB7', 'GPX4', 'NDUFA5', 'MDH2', 'IDH3G', 'IDH1', 'VEGFB', 'CHCHD10', 'UQCR11', 'UQCR10', 'COX6A1', 'BCL6', 'NKIRAS1', 'UQCRQ', 'DDT', 'NDUFAB1', 'ATP5PO', 'G3BP2', 'NDUFS3', 'CYC1', 'IDH3A']",0.006746350611359577,0,0,22
5,Protein Secretion,0.061373137888965215,2.1088659793814433,5.885387394597622,"['CD63', 'CLTC', 'AP2S1', 'PPT1', 'TMED2', 'AP3B1', 'CLCN3', 'AP2M1']",0.47206103606298655,0,0,8
6,Pancreas Beta Cells,0.06294147147506488,3.289102564102564,9.09617762446109,"['SPCS1', 'SST', 'SRP14', 'SRP9']",0.47206103606298655,0,0,4
7,Reactive Oxygen Species Pathway,0.0734406540810034,2.3236050204143353,6.067577802347126,"['NDUFA6', 'GPX4', 'GLRX2', 'ATOX1', 'FTL', 'LAMTOR5']",0.4721184905207362,0,0,6
8,Allograft Rejection,0.10502127652200975,1.6895249453388987,3.8075004341834764,"['PRKCG', 'RPS9', 'RPS19', 'IFNGR2', 'RPS3A', 'RPL9', 'RPL39', 'EIF3D', 'PSMB10', 'NME1']",0.5907446804363049,0,0,10
9,p53 Pathway,0.1542809805962789,1.4193006993006994,2.652644322514676,"['CD81', 'RGS16', 'AK1', 'RPS27L', 'SLC3A2', 'TPD52L1', 'SEC61A1', 'DDIT3', 'RPL36', 'BAX', 'CTSF', 'RPL18', 'RPS12', 'PHLDA3']",0.7505800077516794,0,0,14
10,PI3K/AKT/mTOR  Signaling,0.16679555727815099,1.5951265229615745,2.8568499478808387,"['DUSP3', 'ARPC3', 'DDIT3', 'CLTC', 'PIN1', 'NGF', 'SQSTM1', 'AP2M1']",0.7505800077516794,0,0,8
