Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Mitochondrial Inner Membrane (GO:0005743),2.223097002155697e-30,10.259393820371825,700.4975754685711,"['NDUFA13', 'COX7B', 'NDUFA12', 'COX4I1', 'MRPS12', 'MICOS13', 'COX7C', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS24', 'MRPS18B', 'MRPL47', 'COX6B1', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'AURKAIP1', 'UQCRB', 'NDUFB10', 'MRPS36', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'MRPL14', 'UQCR11', 'TMEM160', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'UQCRH', 'MRPL54', 'ATP5MC1', 'ATP5MG', 'ATP5MF', 'DNAJC19', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'ATP5PO', 'CYCS']",4.290577214160495e-28,0,0,55
2,Organelle Inner Membrane (GO:0019866),3.1634959773150363e-29,9.598515519568151,629.8861671148209,"['NDUFA13', 'COX7B', 'NDUFA12', 'COX4I1', 'MRPS12', 'MICOS13', 'COX7C', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS24', 'MRPS18B', 'MRPL47', 'COX6B1', 'MRPL52', 'SMDT1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'AURKAIP1', 'UQCRB', 'NDUFB10', 'MRPS36', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'MRPL14', 'UQCR11', 'TMEM160', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'UQCRH', 'MRPL54', 'ATP5MC1', 'ATP5MG', 'ATP5MF', 'DNAJC19', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'ATP5PO', 'CYCS']",2.7695914829062357e-27,0,0,55
3,Mitochondrial Membrane (GO:0031966),4.305064481201403e-29,8.06847354326346,526.9937661476804,"['IFI27L2', 'NDUFA13', 'COX7B', 'NDUFA12', 'COX4I1', 'MRPS12', 'MICOS13', 'COX7C', 'TOMM22', 'MRPL2', 'MRPL40', 'UQCRFS1', 'MRPL9', 'CHCHD1', 'COX8A', 'MRPS24', 'MRPS18B', 'MRPL47', 'COX6B1', 'MRPL52', 'SMDT1', 'HAX1', 'MRPL51', 'NDUFS6', 'NDUFS5', 'AURKAIP1', 'UQCRB', 'NDUFB10', 'MRPS36', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'MRPL14', 'UQCR11', 'TMEM160', 'TIMM10', 'UQCR10', 'COX5B', 'COX5A', 'UQCRH', 'MRPL54', 'ATP5MC1', 'RPS27A', 'ATP5MG', 'ATP5MF', 'DNAJC19', 'FIS1', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'MRPL21', 'ATP5F1E', 'UQCRQ', 'TOMM7', 'ATP5PO', 'CYCS', 'TOMM5']",2.7695914829062357e-27,0,0,62
4,Ribosome (GO:0005840),1.5650339152665054e-23,29.404280155642024,1544.064317139343,"['RPL30', 'RPL32', 'MRPS12', 'RPL11', 'RPL10A', 'RPL9', 'RPS4X', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL38', 'RPL18', 'RPL39', 'RPS10', 'RPL17', 'RPS13', 'RPL41', 'RPS5', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'RPL24', 'RPS21']",7.551288641160889e-22,0,0,26
5,Cytosolic Large Ribosomal Subunit (GO:0022625),7.033062036408372e-23,26.721966749204103,1363.0563917385543,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL18A', 'RPL36AL', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL18', 'RPL39', 'RPL17', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL26L1']",2.2623016217113596e-21,0,0,26
6,Large Ribosomal Subunit (GO:0015934),7.033062036408372e-23,26.721966749204103,1363.0563917385543,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'RPL12', 'RPL11', 'RPL10A', 'RPL9', 'RPL18A', 'RPL36AL', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL18', 'RPL39', 'RPL17', 'RPL41', 'RPL21', 'RPL22', 'RPL35A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL26L1']",2.2623016217113596e-21,0,0,26
7,Cytosolic Small Ribosomal Subunit (GO:0022627),9.727406522195182e-21,32.69374201787995,1506.5060424361416,"['RPS8', 'RPS5', 'MRPS12', 'RPS3A', 'RPS15', 'RPS4X', 'RPS26', 'RPS14', 'RPS25', 'RPS28', 'RPS15A', 'RPS27', 'RPS19', 'RPS18', 'RPS29', 'RPS2', 'FAU', 'RPS27A', 'RPS10', 'RPS21', 'RPS13', 'RPS24']",2.681984941119529e-19,0,0,22
8,Small Ribosomal Subunit (GO:0015935),2.2155888456655076e-20,30.645114942528735,1386.880949727713,"['RPS8', 'RPS5', 'MRPS12', 'RPS3A', 'RPS15', 'RPS4X', 'RPS26', 'RPS14', 'RPS25', 'RPS28', 'RPS15A', 'RPS27', 'RPS19', 'RPS18', 'RPS29', 'RPS2', 'FAU', 'RPS27A', 'RPS10', 'RPS21', 'RPS13', 'RPS24']",5.345108090168037e-19,0,0,22
9,Polysomal Ribosome (GO:0042788),8.453438072018447e-16,46.58315565031983,1616.7517194918887,"['RPL30', 'RPL41', 'RPL32', 'RPL11', 'RPL10A', 'RPS26', 'RPS28', 'RPL18A', 'RPL36AL', 'RPS29', 'RPL24', 'RPL38', 'RPL18', 'RPL39', 'RPS21']",1.8127928309995115e-14,0,0,15
10,Mitochondrial Respiratory Chain Complex IV (GO:0005751),2.3436895549743458e-12,106.7948717948718,2859.891343752562,"['COX8A', 'COX7B', 'COX4I1', 'UQCRFS1', 'COX7A2', 'COX5B', 'COX6C', 'COX5A', 'COX7C', 'COX6B1']",4.112109855545898e-11,0,0,10
