Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Ribosome,1.1590773791996748e-45,24.563269026279812,2541.529633248468,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'MRPS12', 'RPL10A', 'RPL9', 'RPS15', 'RPS4X', 'RPS14', 'MRPL2', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'MRPL9', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPL21', 'RPS8', 'RPS5', 'RPL22', 'RPS3A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'MRPL14', 'RPS15A', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL41', 'RPL35A', 'MRPL21', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'FAU', 'RPS21', 'RSL24D1', 'RPS24', 'RPL26L1']",1.4140744026236032e-43,0,0,56
2,Coronavirus disease,5.441983952143666e-38,18.91829644879053,1623.2672081554101,"['RPL30', 'RPL32', 'RPL34', 'RPLP1', 'RPL10A', 'RPL9', 'RPS15', 'RPS4X', 'RPS14', 'RPL18A', 'RPS19', 'RPL36AL', 'RPS18', 'RPL35', 'RPLP2', 'RPL38', 'RPL37', 'RPL39', 'RPS10', 'RPS13', 'RPS12', 'RPL21', 'RPS8', 'RPS5', 'RPL22', 'RPS3A', 'RPL37A', 'RPL24', 'RPL26', 'RPL29', 'RPL10', 'RPL12', 'RPL11', 'RPL36A', 'RPS15A', 'RPS2', 'RPL18', 'RPS27A', 'RPL17', 'RPL41', 'RPL35A', 'RPS26', 'RPS25', 'RPS28', 'RPS27', 'RPS29', 'FAU', 'RPS21', 'RSL24D1', 'RPS24', 'RPL26L1']",3.319610210807636e-36,0,0,51
3,Oxidative phosphorylation,1.0562206522306125e-28,19.78871027346637,1274.7429146370246,"['NDUFA13', 'COX7B', 'NDUFB10', 'UQCRB', 'NDUFA12', 'COX4I1', 'COX17', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX7C', 'COX5A', 'UQCRH', 'ATP5MC1', 'UQCRFS1', 'ATP5MG', 'ATP5MF', 'COX8A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'ATP5F1E', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'ATP5PO']",4.295297319071157e-27,0,0,37
4,Thermogenesis,6.720907561753186e-26,13.755444091020308,797.2929021007295,"['COX7B', 'NDUFA13', 'NDUFB10', 'UQCRB', 'NDUFA12', 'COX4I1', 'COX17', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'UQCRFS1', 'COX14', 'ATP5MG', 'ATP5MF', 'COX8A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'ATP5F1E', 'COX6B1', 'NDUFAF8', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'ATP5PO']",2.0498768063347216e-24,0,0,39
5,Huntington disease,8.144244629416546e-24,9.490293640921257,504.54890601098145,"['NDUFA13', 'COX7B', 'UQCRB', 'DCTN2', 'NDUFB10', 'NDUFA12', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PSMB6', 'PSMD7', 'UQCRFS1', 'POLR2I', 'POLR2J', 'POLR2K', 'POLR2L', 'COX8A', 'NDUFA8', 'ATP5PF', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'ATP5F1E', 'COX6B1', 'PSMA5', 'NDUFS6', 'UQCRQ', 'SP1', 'NDUFS5', 'ATP5PO', 'CYCS']",1.987195689577637e-22,0,0,44
6,Parkinson disease,3.7382928134935437e-23,10.503886602652035,542.4294024150533,"['COX7B', 'NDUFA13', 'NDUFB10', 'UQCRB', 'NDUFA12', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'TXN', 'UQCR10', 'COX5B', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PSMB6', 'PSMD7', 'UQCRFS1', 'RPS27A', 'COX8A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'ATP5F1E', 'COX6B1', 'PSMA5', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'ATP5PO', 'CYCS']",7.601195387436872e-22,0,0,40
7,Diabetic cardiomyopathy,1.2058599813842896e-21,11.618951612903226,559.6511340900473,"['COX7B', 'NDUFA13', 'NDUFB10', 'UQCRB', 'NDUFA12', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'UQCRFS1', 'COX8A', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'ATP5F1E', 'COX6B1', 'SP1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'ATP5PO']",2.1016416818411903e-20,0,0,35
8,Prion disease,3.2537052934463595e-21,9.353671796587488,441.2547201619771,"['COX7B', 'NDUFA13', 'NDUFB10', 'UQCRB', 'NDUFA12', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'UQCR11', 'COX7A2', 'UQCR10', 'COX5B', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PSMB6', 'PSMD7', 'UQCRFS1', 'COX8A', 'EGR1', 'ATP5PF', 'NDUFA8', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'ATP5F1E', 'COX6B1', 'PSMA5', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'ATP5PO', 'CYCS']",4.9619005725056983e-20,0,0,39
9,Non-alcoholic fatty liver disease,5.1847464384611284e-20,13.182578291273943,585.3853201089797,"['NDUFA13', 'COX7B', 'NDUFB10', 'UQCRB', 'NDUFA12', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'COX7C', 'COX5A', 'UQCRH', 'UQCRFS1', 'COX8A', 'NDUFA8', 'NDUFA7', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'COX6C', 'COX6B1', 'UQCRQ', 'NDUFS6', 'NDUFS5', 'CYCS']",7.028211838802863e-19,0,0,30
10,Amyotrophic lateral sclerosis,4.100376621258282e-19,7.374361239038547,312.2159859110005,"['NDUFA13', 'COX7B', 'UQCRB', 'DCTN2', 'NDUFB10', 'NDUFA12', 'COX4I1', 'NDUFB3', 'NDUFB2', 'NDUFB1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7C', 'COX5A', 'COX7A1', 'UQCRH', 'ATP5MC1', 'PSMB6', 'PSMD7', 'UQCRFS1', 'COX8A', 'NDUFA8', 'ATP5PF', 'GABARAPL1', 'NDUFA7', 'ATP5PD', 'NDUFA6', 'NDUFA5', 'NDUFA1', 'CHCHD10', 'COX6C', 'ATP5F1E', 'COX6B1', 'PSMA5', 'NDUFS6', 'UQCRQ', 'NDUFS5', 'ATP5PO', 'CYCS']",5.0024594779351035e-18,0,0,41
