GENE_SYMBOLS,refseq_ids
HES4,NM_001142467
MRPL20,NM_001318485
SSU72,NM_014188
FAAP20,NM_001146310
LRRC47,NM_020710
RPL22,NM_000983
PARK7,NM_001123377
CORT,NM_001302
SRM,NM_003132
MRTO4,NM_016183
RPL11,NM_000975
STMN1,NM_001145454
HMGN2,NM_005517
DNAJC8,NM_014280
ATP5IF1,NM_016311
SNHG3,NR_002909
EIF3I,NM_001394168
ADPRHL2,NA
GNL2,NM_001323623
C1orf109,NM_001303030
C1orf122,NM_001142726
NDUFS5,NM_001184979
PPT1,NM_000310
ZMPSTE24,NM_005857
CCDC30,NM_001080850
SVBP,NM_199342
RPS8,NM_001012
UQCRH,NM_001297565
TMEM59,NM_001305043
BTBD8,NM_001376131
RPL5,NM_000969
TAF13,NM_005645
SARS,NA
CELSR2,NM_001408
LAMTOR5,NM_001382293
WNT2B,NM_001291880
SYT6,NM_001253772
NGF,NM_002506
RBM8A,NM_005105
POLR3GL,NM_001330685
SV2A,NM_001278719
APH1A,NM_001077628
MRPL9,NM_001300733
S100A6,NM_014624
SNAPIN,NM_012437
JTB,NM_006694
RPS27,NM_001030
C1orf43,NM_001098616
HAX1,NM_001018837
SSR2,NM_003145
TSTD1,NM_001113205
UFC1,NM_016406
PCP4L1,NM_001102566
TMCO1,NM_001256164
GAS5,NR_002578
ANGPTL1,NM_001376763
RGS16,NM_002928
GLRX2,NM_001243399
B3GALT2,NM_003783
PHLDA3,NM_012396
KCNH1,NM_002238
NENF,NM_013349
SRP9,NM_001130440
HIST3H2A,NA
URB2,NM_001314021
COX20,NM_001312871
SH3YL1,NM_001159597
RPS7,NM_001011
IAH1,NM_001039613
ODC1,NM_001287188
KCNF1,NM_002236
ATRAID,NM_001170795
SLC30A3,NM_001318949
FNDC4,NM_022823
CRIM1-DT,NR_037631
GPATCH11,NM_001278505
CEBPZOS,NM_001322373
SRSF7,NM_001031684
MCFD2,NM_001171506
CALM2,NM_001305624
RPS27A,NM_001135592
PCYOX1,NM_016297
SNRPG,NM_001317165
CCT7,NM_001009570
BOLA3,NM_001035505
POLE4,NM_019896
ANKRD36,NM_001164315
COX5B,NM_001862
TMEM87B,NM_001329914
CLASP1,NM_001142273
MZT2B,NM_001330282
IMP4,NM_001320304
NXPH2,NM_007226
CCDC148,NM_001171637
BZW1,NM_001207067
NDUFB3,NM_001257102
SUMO1,NM_001005781
EEF1B2,NM_001037663
IDH1,NM_001282386
RPL37A,NM_000998
AAMP,NM_001087
RETREG2,NM_001321109
TMEM198,NM_001005209
PTMA,NM_001099285
ARL4C,NM_001282431
COPS9,NM_001163424
DUSP28,NM_001033575
BRK1,NM_018462
RPL32,NM_000994
LSM3,NM_014463
NKIRAS1,NM_001377351
RPL15,NM_001253379
GORASP1,NM_001278789
RPSA,NM_001304288
RPL14,NM_001034996
POMGNT2,NM_032806
TMA7,NM_001329417
SHISA5,NM_001272065
IMPDH2,NM_000884
MANF,NM_006010
RPL29,NM_000992
SPCS1,NM_014041
STIMATE,NM_198563
SELENOK,NM_021237
CNTN3,NM_001393376
ROBO2,NM_001128929
TOMM70,NM_014820
RPL24,NM_000986
ATP6V1A,NM_001690
COX17,NM_001382002
SEC61A1,NM_001400328
CEP70,NM_001288964
RNF7,NM_001201370
SEC62,NM_003262
TNIK,NM_001161560
MRPL47,NM_020409
NDUFB5,NM_001199957
DNAJC19,NM_001190233
EIF2B5,NM_003907
DVL3,NM_004423
AP2M1,NM_001025205
ABCF3,NM_001351298
CAMK2N2,NM_033259
EPHB3,NM_004443
MAGEF1,NM_022149
SST,NM_001048
BCL6,NM_001130845
NCBP2AS2,NM_001355243
DLG1,NM_001098424
RPL35A,NM_000996
ATP5ME,NM_007100
C4orf48,NM_001141936
MSANTD1,NM_001012982
LAP3,NM_015907
RPL9,NM_000661
SLC10A4,NM_152679
OCIAD2,NM_001014446
KIT,NM_000222
G3BP2,NM_001400004
CCNI,NM_001348132
MRPS18C,NM_001297767
NAP1L5,NM_153757
GRID2,NM_001286838
H2AFZ,NA
RPL34,NM_000995
OSTC,NM_001267817
SNHG8,NR_003584
TRPC3,NM_001130698
NDUFC1,NM_001184986
TMEM184C,NM_018241
RPS3A,NM_001006
PLRG1,NM_001201564
PDGFC,NM_016205
SPOCK3,NM_001040159
PALLD,NM_001166108
CLCN3,NM_001243372
GALNTL6,NM_001034845
SCRG1,NM_001329597
SLC25A4,NM_001151
CFAP97,NM_001292033
FAM149A,NM_001006655
CLPTM1L,NM_030782
