TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
ELK1,ELK1,MA0028.2,13.9605,3.60267e-45,0.851272,0.805366,0.0735179,338.0,False,2.8605199799999998e-42
ELK3,ELK3,MA0759.1,13.4921,2.65011e-42,0.868207,0.827514,0.0660932,338.0,False,1.05209367e-39
ELK4,ELK4,MA0076.2,13.3217,3.34887e-41,0.892987,0.852902,0.0597056,338.0,False,8.8633426e-39
FEV,FEV,MA0156.2,13.0081,1.9087499999999998e-39,0.877856,0.840666,0.0613117,338.0,False,3.78886875e-37
FLI1,FLI1,MA0475.2,12.9474,4.17197e-39,0.867169,0.82927,0.06335,338.0,False,6.625088359999999e-37
ETS1,ETS1,MA0098.3,12.5593,6.85005e-37,0.881634,0.846278,0.0591616,338.0,False,9.0648995e-35
ETV5,ETV5,MA0765.2,12.319,1.5322799999999998e-35,0.890182,0.853063,0.0610572,338.0,False,1.54232515e-33
ERF,ERF,MA0760.1,12.3062,1.55398e-35,0.865098,0.83128,0.0602848,338.0,False,1.54232515e-33
ERG,ERG,MA0474.2,12.2546,3.1644699999999997e-35,0.882516,0.84857,0.0587245,338.0,False,2.7917657555555554e-33
ETS2,ETS2,MA1484.1,11.9014,2.3639e-33,0.882188,0.848397,0.0613263,338.0,False,1.8769366e-31
ZBTB7A,ZBTB7A,MA0750.2,11.8762,4.02981e-33,0.867605,0.829929,0.0592559,338.0,False,2.9087901272727274e-31
ETV6,ETV6,MA0645.1,11.63,6.931860000000001e-32,0.885406,0.851358,0.0586198,338.0,False,4.5865807000000004e-30
ETV3,ETV3,MA0763.1,11.495,2.7876899999999997e-31,0.866182,0.835857,0.0595511,338.0,False,1.7026352769230768e-29
ELF2,ELF2,MA1483.1,11.4426,5.8753e-31,0.822748,0.790052,0.0596916,338.0,False,3.3321344285714284e-29
ETV2,ETV2,MA0762.1,10.7026,2.38025e-27,0.834248,0.805106,0.0589238,338.0,False,1.2599456666666665e-25
ELF4,ELF4,MA0641.1,10.6977,2.63151e-27,0.810913,0.779983,0.0605289,338.0,False,1.3058868375000001e-25
ZBTB33,ZBTB33,MA0527.1,9.98018,5.5391400000000005e-24,0.802317,0.772676,0.0580409,338.0,False,2.587104211764706e-22
YY2,YY2,MA0748.2,9.05742,4.5010899999999996e-20,0.852784,0.821895,0.0639977,338.0,False,1.985480811111111e-18
ELF5,ELF5,MA0136.2,9.03241,5.54044e-20,0.886606,0.864397,0.0474814,338.0,False,2.3153207157894736e-18
NRF1,NRF1,MA0506.1,8.50643,6.58787e-18,0.877054,0.844252,0.0681013,338.0,False,2.61538439e-16
Gmeb1,Gmeb1,MA0615.1,8.5016,7.301130000000001e-18,0.837511,0.817285,0.037656,338.0,False,2.760522485714286e-16
HINFP,HINFP,MA0131.2,8.1605,1.35822e-16,0.844524,0.819262,0.046519,338.0,False,4.901939454545454e-15
Atf1,Atf1,MA0604.1,7.71954,4.09238e-15,0.862986,0.839285,0.0639429,338.0,False,1.4127607478260868e-13
E2F1,E2F1,MA0024.3,7.58804,1.27911e-14,0.789091,0.7698,0.0442004,338.0,False,4.2317222500000003e-13
E2F2,E2F2,MA0864.2,7.56848,1.47416e-14,0.773725,0.755513,0.0427055,338.0,False,4.681932160000001e-13
SPDEF,SPDEF,MA0686.1,7.52686,1.91453e-14,0.82122,0.801715,0.0513437,338.0,False,5.846680076923077e-13
ZBTB14,ZBTB14,MA1650.1,7.04073,8.50319e-13,0.848696,0.820331,0.0528851,338.0,False,2.5005677259259256e-11
E2F4,E2F4,MA0470.2,6.81994,3.69032e-12,0.764052,0.747338,0.0443998,338.0,False,1.0464693142857144e-10
TCFL5,TCFL5,MA0632.2,6.7012,8.95341e-12,0.860009,0.835763,0.0551501,338.0,False,2.4513819103448277e-10
TFDP1,TFDP1,MA1122.1,6.66473,1.17161e-11,0.873685,0.849665,0.0512391,338.0,False,3.100861133333333e-10
KLF15,KLF15,MA1513.1,6.38586,7.71086e-11,0.894859,0.860109,0.0725729,338.0,False,1.96768831875e-09
ZFP57,ZFP57,MA1583.1,6.37405,7.93023e-11,0.841464,0.822293,0.0490412,338.0,False,1.96768831875e-09
EGR3,EGR3,MA0732.1,6.24995,1.82717e-10,0.802064,0.780667,0.0503182,338.0,False,4.396281757575757e-09
HES1,HES1,MA1099.2,6.19385,2.54614e-10,0.874633,0.85239,0.0588541,338.0,False,5.945985764705882e-09
ARNT,ARNT::HIF1A,MA0259.1,6.18236,2.7624e-10,0.910859,0.890666,0.0519703,338.0,False,6.092626666666667e-09
HIF1A,ARNT::HIF1A,MA0259.1,6.18236,2.7624e-10,0.910859,0.890666,0.0519703,338.0,False,6.092626666666667e-09
EGR2,EGR2,MA0472.2,6.1756,2.92195e-10,0.826643,0.808129,0.0453163,338.0,False,6.270346756756757e-09
YY1,YY1,MA0095.2,6.0596,5.35098e-10,0.816613,0.796807,0.0713622,338.0,False,1.1180731894736843e-08
SP9,SP9,MA1564.1,5.77569,3.48725e-09,0.885899,0.865208,0.0511654,338.0,False,7.099683333333334e-08
KLF14,KLF14,MA0740.1,5.72787,4.56668e-09,0.836459,0.818128,0.0492046,338.0,False,9.0648598e-08
HIF1A,HIF1A,MA1106.1,5.64093,7.40385e-09,0.852157,0.833935,0.0560284,338.0,False,1.433818756097561e-07
KLF3,KLF3,MA1516.1,5.62502,8.36221e-09,0.864921,0.846119,0.0513264,338.0,False,1.5808558904761905e-07
SP1,SP1,MA0079.4,5.54099,1.33372e-08,0.831898,0.812589,0.0584567,338.0,False,2.4627294883720927e-07
Ahr,Ahr::Arnt,MA0006.1,5.52279,1.46636e-08,0.932839,0.913397,0.0614047,338.0,False,2.5873107555555554e-07
Arnt,Ahr::Arnt,MA0006.1,5.52279,1.46636e-08,0.932839,0.913397,0.0614047,338.0,False,2.5873107555555554e-07
SP4,SP4,MA0685.1,5.4814,1.87997e-08,0.81041,0.791926,0.0560328,338.0,False,3.244991695652174e-07
ZBED1,ZBED1,MA0749.1,5.43871,2.2401e-08,0.713759,0.700738,0.0500772,338.0,False,3.78433914893617e-07
EHF,EHF,MA0598.3,5.40122,2.84632e-08,0.818375,0.803084,0.0545064,338.0,False,4.7082876666666666e-07
ARNT2,ARNT2,MA1464.1,5.36673,3.44395e-08,0.822131,0.803892,0.0660882,338.0,False,5.580604693877551e-07
EGR4,EGR4,MA0733.1,5.35917,3.81035e-08,0.794955,0.780201,0.0419223,338.0,False,6.0508358e-07
HES2,HES2,MA0616.2,5.35165,3.9008e-08,0.826117,0.807232,0.0588098,338.0,False,6.073010196078432e-07
ELF1,ELF1,MA0473.3,5.28117,5.59417e-08,0.822258,0.80716,0.0537155,338.0,False,8.381284226415096e-07
SP2,SP2,MA0516.2,5.28771,5.59456e-08,0.805138,0.78945,0.0479179,338.0,False,8.381284226415096e-07
SP3,SP3,MA0746.2,5.23616,7.50868e-08,0.871333,0.852593,0.0542412,338.0,False,1.1040540592592593e-06
CREB3L4,CREB3L4,MA1475.1,5.18472,9.12981e-08,0.795335,0.780213,0.0619167,338.0,False,1.3180125709090908e-06
PAX5,PAX5,MA0014.3,5.09003,1.59666e-07,0.82693,0.813171,0.0480302,338.0,False,2.256478350877193e-06
GLIS2,GLIS2,MA0736.1,5.0915,1.61989e-07,0.800918,0.7882,0.0398457,338.0,False,2.256478350877193e-06
EGR1,EGR1,MA0162.4,5.06394,1.91056e-07,0.831816,0.812172,0.0550536,338.0,True,2.6154907586206896e-06
KLF2,KLF2,MA1515.1,5.02863,2.29503e-07,0.911332,0.894352,0.0486992,338.0,False,3.051394933333333e-06
GMEB2,GMEB2,MA0862.1,5.01758,2.30584e-07,0.827447,0.813104,0.0541174,338.0,False,3.051394933333333e-06
ZFP42,ZFP42,MA1651.1,4.98611,2.608e-07,0.747258,0.732999,0.0624451,338.0,False,3.3946754098360655e-06
IRF6,IRF6,MA1509.1,4.97612,2.82982e-07,0.80549,0.792275,0.0526531,338.0,False,3.6239952903225807e-06
ETV1,ETV1,MA0761.2,4.97454,2.88057e-07,0.82772,0.813569,0.0544105,338.0,False,3.630432666666667e-06
GLIS1,GLIS1,MA0735.1,4.93663,3.57772e-07,0.713583,0.701599,0.0425987,338.0,False,4.418121384615385e-06
GABPA,GABPA,MA0062.3,4.92972,3.61685e-07,0.820183,0.806282,0.0549959,338.0,False,4.418121384615385e-06
Arnt,Arnt,MA0004.1,4.91997,3.83603e-07,0.879361,0.86117,0.0697145,338.0,False,4.614860333333333e-06
SOHLH2,SOHLH2,MA1560.1,4.82272,6.39206e-07,0.817998,0.802357,0.0574298,338.0,False,7.575068119402985e-06
CREB3L4,CREB3L4,MA1474.1,4.80782,6.89832e-07,0.80729,0.795119,0.0446097,338.0,False,8.054803058823529e-06
BHLHE41,BHLHE41,MA0636.1,4.6792,1.26814e-06,0.790188,0.775543,0.063534,338.0,False,1.4592799420289855e-05
