Item ID	Item value	Change in Kuiper test statistic when item removed
RPL3	10.7093263235272	0.0
RPL10	11.7490901485837	0.0
RPL34	10.9652219066037	0.0
RPLP1	12.4439476880116	0.0
RPL10A	12.4182826475273	0.0
RPL9	12.7082429397571	0.0
RPL7	12.2473447013425	0.0
RPS18	11.5683960419222	0.0
RPL36	12.3056402527192	0.0
RPL35	12.7017891811671	0.0
RPL13	10.3118566884557	0.0
RPL38	13.1672744872436	0.019126314478604245
RPL37	11.7548814423233	0.0
RPL15	10.3000487239888	4.919985194542509E-4
RPL17	12.3164602056256	0.0
RPL39	12.5787315881943	0.0
RPS13	11.7207394956615	0.0
RPS12	11.8563620201786	0.0
RPL41	11.2171709776014	0.0
RPS9	12.573320361818	0.0
RPL21	11.3806030488255	0.0
RPL23	11.1136288463473	0.0
RPS5	11.1402111276102	0.0
RPL13A	11.1792793959337	0.0
RPS3A	10.7308076049056	0.0
RPS26	11.1776412824588	0.0
RPL27A	12.5169477731399	0.0
RPS21	12.6037371895355	0.0
RPS23	11.7976189366931	0.0
