Item ID	Item value	Change in Kuiper test statistic when item removed
HDDC2	12.8519079331008	-2.220446049250313E-16
SLC25A3	9.22840326300389	-2.220446049250313E-16
SET	10.183473779704	-2.220446049250313E-16
RPL34	11.7849129469426	-2.220446049250313E-16
RPLP0	13.385053939768	-2.220446049250313E-16
COX5A	10.9082904225478	-2.220446049250313E-16
RPL6	11.7462780980242	-2.220446049250313E-16
RRP9	8.54177059981061	0.0106051154086087
EEF1B2	11.7096688921621	-2.220446049250313E-16
PRDX3	10.7161053701475	-2.220446049250313E-16
FBL	8.86895854841229	5.32090565483867E-4
LDHA	13.3709716582785	-2.220446049250313E-16
SNRPD2	11.739983142276	-2.220446049250313E-16
PCBP1	10.487764748207	-2.220446049250313E-16
PGK1	11.8649181218359	-2.220446049250313E-16
RPS3	12.3001900843054	-2.220446049250313E-16
RPL14	11.6196742926354	-2.220446049250313E-16
RPS2	12.9320066384957	-2.220446049250313E-16
RPL18	12.1393211190631	-2.220446049250313E-16
HNRNPA1	10.2840182850296	-2.220446049250313E-16
RPS10	11.7270242217255	-2.220446049250313E-16
RANBP1	11.7680476495894	-2.220446049250313E-16
VBP1	11.3289617624637	-2.220446049250313E-16
RPS5	12.4373228116395	-2.220446049250313E-16
RPL22	12.1376839674628	-2.220446049250313E-16
RPS6	12.1214159679237	-2.220446049250313E-16
NME1	10.3859222167901	-2.220446049250313E-16
LSM7	13.6747283924113	0.013724266999376677
NDUFAB1	10.1007439602248	-2.220446049250313E-16
POLE3	11.1811603233283	-2.220446049250313E-16
NHP2	9.74713181075617	-2.220446049250313E-16
VDAC1	12.1655703522987	-2.220446049250313E-16
HPRT1	13.1279632981773	-2.220446049250313E-16
PPIA	10.0186707857422	-2.220446049250313E-16
RAN	11.2059443738057	-2.220446049250313E-16
