Item ID	Item value	Change in Kuiper test statistic when item removed
GNA14	17.4703020473531	0.01163437237016407
CDKN1A	15.3489153055847	3.3306690738754696E-16
YWHAB	10.8036800475742	3.3306690738754696E-16
CFL1	10.9103148691409	3.3306690738754696E-16
PIN1	10.8140931916159	3.3306690738754696E-16
ADCY2	19.5782556826385	0.08783140147022517
NOD1	16.173333509202	3.3306690738754696E-16
PFN1	10.3187703625579	0.020204570209012784
HRAS	11.8327776440632	3.3306690738754696E-16
TNFRSF1A	16.6323640790879	3.3306690738754696E-16
