Item ID	Item value	Change in Kuiper test statistic when item removed
IFNAR2	0.570428753514357	7.771561172376096E-16
TNFRSF6B	7.31305977212514	7.771561172376096E-16
CSF1	-0.601415340475874	7.771561172376096E-16
EGF	-0.805874924538289	7.771561172376096E-16
IL1R1	-0.163248828373382	7.771561172376096E-16
HGF	1.41296676761744	7.771561172376096E-16
IL18	-2.73061591616866	7.771561172376096E-16
TNFRSF10B	0.839419469677934	7.771561172376096E-16
TNFRSF11B	2.07702312100371	7.771561172376096E-16
IL1RAP	2.06884423613198	7.771561172376096E-16
OSMR	0.74848709833884	7.771561172376096E-16
CXCL14	-0.815949322754925	7.771561172376096E-16
BMP7	0.604911789744661	7.771561172376096E-16
IL17RB	-1.41838498059118	7.771561172376096E-16
CX3CL1	-0.326327799242842	7.771561172376096E-16
TNFSF13B	-2.87961883175981	7.771561172376096E-16
VEGFA	-0.864488605870741	7.771561172376096E-16
TNFRSF1A	0.223149258194025	7.771561172376096E-16
KITLG	-1.76329813822953	7.771561172376096E-16
CCL2	-0.315579361077554	7.771561172376096E-16
FAS	2.21815286750383	7.771561172376096E-16
IL13RA1	2.71710828473985	7.771561172376096E-16
