Item ID	Item value	Change in Kuiper test statistic when item removed
COL16A1	0.573735695228115	-3.3306690738754696E-16
IRS1	-1.58489236992672	-3.3306690738754696E-16
SHC1	-0.732687124664863	-3.3306690738754696E-16
AMIGO1	2.12545277415186	-3.3306690738754696E-16
LAMA3	-2.30623619279217	-3.3306690738754696E-16
ATP1A3	-1.19536850433925	-3.3306690738754696E-16
TNFRSF11B	2.07702312100371	-3.3306690738754696E-16
THY1	0.112395488926868	-3.3306690738754696E-16
CX3CL1	-0.326327799242842	-3.3306690738754696E-16
GNAI1	-1.13329961365771	-3.3306690738754696E-16
ACTB	-1.09260763855533	-3.3306690738754696E-16
ICAM1	-0.301574435455485	-3.3306690738754696E-16
MYL12B	-1.35024993994874	-3.3306690738754696E-16
ACTG1	-2.07620340333865	-3.3306690738754696E-16
SLIT2	2.60748962604999	-3.3306690738754696E-16
PCDH1	2.55037238076933	-3.3306690738754696E-16
HRAS	-0.633344260736804	-3.3306690738754696E-16
CD99	1.96376613439548	-3.3306690738754696E-16
YWHAH	3.95885312307601E-5	-3.3306690738754696E-16
VASP	0.385057563765881	-3.3306690738754696E-16
NEGR1	2.34039412278991	-3.3306690738754696E-16
ACTN2	-4.81653624433967	-3.3306690738754696E-16
ACTN1	0.821409760121597	-3.3306690738754696E-16
RHOF	-2.28394938965087	-3.3306690738754696E-16
CLDN11	1.95981025375196	-3.3306690738754696E-16
VCAN	-0.905006109352827	-3.3306690738754696E-16
MYH9	1.27444377273538	-3.3306690738754696E-16
PFN1	-1.98917234011325	-3.3306690738754696E-16
VCL	0.0663826487464607	-3.3306690738754696E-16
SKAP2	1.29100353558236	-3.3306690738754696E-16
