Item ID	Item value	Change in Kuiper test statistic when item removed
IFITM3	1.71478961963321	1.1102230246251565E-15
CIITA	0.797526817115872	1.1102230246251565E-15
CDKN1A	0.371787931762409	1.1102230246251565E-15
IFITM2	0.999841568029214	1.1102230246251565E-15
C1S	0.36777487103598	1.1102230246251565E-15
C1R	1.53154933557852	1.1102230246251565E-15
MVP	-0.328061122662522	1.1102230246251565E-15
NLRC5	2.68092868659214	1.1102230246251565E-15
NOD1	0.777822431007805	1.1102230246251565E-15
SAMHD1	-1.50617150102779	1.1102230246251565E-15
IFI44L	-4.56118623041264	1.1102230246251565E-15
PSMB10	0.0597732735187117	1.1102230246251565E-15
ICAM1	-0.553388058039229	1.1102230246251565E-15
IFIH1	0.18234404006007	1.1102230246251565E-15
SOCS3	0.773583994885902	1.1102230246251565E-15
APOL6	0.639705370186255	1.1102230246251565E-15
NAMPT	-0.296561142694362	1.1102230246251565E-15
PIM1	2.83807516480569	1.1102230246251565E-15
CD38	-0.619480999420759	1.1102230246251565E-15
IFNAR2	0.690528235130492	1.1102230246251565E-15
SP110	2.17261370696513	1.1102230246251565E-15
P2RY14	-0.6775587127301	1.1102230246251565E-15
HLA-B	-6.06964169940665	1.1102230246251565E-15
IFI44	-3.40452441690584	1.1102230246251565E-15
SOD2	-0.501167289551608	1.1102230246251565E-15
PML	0.211974368830134	1.1102230246251565E-15
PSMB9	3.46926809391454	1.1102230246251565E-15
BST2	-7.66852585125164	1.1102230246251565E-15
PLSCR1	0.452083292543111	1.1102230246251565E-15
ARL4A	-11.1333828415699	1.1102230246251565E-15
IL7	-4.45554316285372	1.1102230246251565E-15
IRF7	0.570398273007362	1.1102230246251565E-15
PELI1	-0.172475578366254	1.1102230246251565E-15
SERPING1	2.28629201121843	1.1102230246251565E-15
TXNIP	2.09536529920771	1.1102230246251565E-15
FAS	2.93605072988565	1.1102230246251565E-15
VAMP5	0.463489412571514	1.1102230246251565E-15
