Item ID	Item value	Change in Kuiper test statistic when item removed
DST	0.285268026737885	-6.661338147750939E-16
EPB41	-1.53711442906238	-6.661338147750939E-16
KATNB1	0.542616873494313	-6.661338147750939E-16
ARHGAP29	0.354275298539875	-6.661338147750939E-16
RHOF	-2.28394938965087	-6.661338147750939E-16
KIF22	-0.204766141404301	-6.661338147750939E-16
SEPTIN9	0.0633172116742575	-6.661338147750939E-16
DYNLL2	-1.28187048830815	-6.661338147750939E-16
AKAP13	0.0979127615694666	-6.661338147750939E-16
CLIP2	0.313787639010159	-6.661338147750939E-16
MYO1E	2.17103370827148	-6.661338147750939E-16
PALLD	-0.469266199853463	-6.661338147750939E-16
CENPJ	-4.01233068796161	-6.661338147750939E-16
ARHGEF3	-0.22291901218785	-6.661338147750939E-16
MYH9	1.27444377273538	-6.661338147750939E-16
FLNA	-0.170864409034133	-6.661338147750939E-16
SYNPO	-1.41787218403971	-6.661338147750939E-16
RAPGEF5	-20.9963370220551	-6.661338147750939E-16
VCL	0.0663826487464607	-6.661338147750939E-16
ARF6	2.5333355053615	-6.661338147750939E-16
