Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-1181,0.009930566216832195,2.7074153044302296,12.486972416374108,"['SYNM', 'RBP2', 'SYNPO2L', 'CHRNA4', 'ID3', 'ARHGAP39', 'ADARB2', 'FGFR3', 'RUNX1']",0.9999915646955669,0,0,9
2,mmu-miR-669e,0.027985393019725684,1.2837854826138335,4.590910066565724,"['CPNE8', 'MOXD1', 'SYNM', 'PTPRR', 'ITPRIP', 'RPL34', 'OTUD7B', 'IRS2', 'ADARB2', 'SHB', 'ARIH2OS', 'NUDT11', 'HELB', 'LIPH', 'BOC', 'NAMPT', 'ARRDC4', 'ARG2', 'APOBEC2', 'DUSP1', 'ARRDC3', 'MMD2', 'FOS', 'SLC39A14', 'MOB3B', 'ETV6', 'SYNPO2L', 'ADAM12', 'ARHGEF3', 'FAM20C', 'PRKCQ', 'CD44', 'DDR2', 'SLC22A3', 'LXN', 'NXPH3', 'CHRNA4', 'SHC1', 'LSMEM1', 'KCNA1', 'WDR64', 'PLA2G5', 'SLC5A3', 'PPL', 'NT5E', 'FAM124A', 'CNTNAP3B', 'PDPN', 'SUSD6', 'SRGAP2', 'GBP1', 'PIRT', 'SLC38A4', 'EGLN3', 'C5ORF34', 'RBPMS', 'GADD45B', 'EGF', 'ST8SIA1', 'ARHGEF38', 'SAMD4A', 'SMAD9', 'TNFRSF10B', 'DGAT2L6', 'ELL2', 'CP', 'HIPK3', 'FOSL2', 'EFNA1', 'KLF6', 'BHMT', 'BCL6', 'ZNF618', 'FXYD3', 'P4HA3', 'SPAG1', 'PI15', 'SERPINI2', 'SLC28A2', 'FGFR3']",0.9999915646955669,0,0,80
3,hsa-miR-1250,0.049601916711197375,1.4463960447567006,4.344577120453304,"['SERPINA3', 'OXTR', 'SYNM', 'LRRC19', 'C2CD2', 'CHRNA4', 'HILPDA', 'IER5L', 'GMPR', 'ADARB2', 'PDLIM2', 'RASSF3', 'BOC', 'EFHD2', 'SRGAP2', 'LDLR', 'IL13RA1', 'CALN1', 'WARS', 'ST8SIA1', 'ACTN1', 'SAMD4A', 'HMGA2', 'PML', 'VCAN', 'DHCR7', 'FGFR3']",0.9999915646955669,0,0,27
4,mmu-miR-1893,0.07232842424899909,1.7638398115429919,4.632792438984134,"['EDNRA', 'CEBPB', 'ST8SIA1', 'WNT7B', 'NNAT', 'IRS2', 'NOD1', 'MAPRE2', 'CCDC184', 'SLC25A35']",0.9999915646955669,0,0,10
5,hsa-miR-4479,0.09430924121095526,1.4779816513761468,3.489774945776081,"['SLC22A3', 'NXPH3', 'DAPK2', 'PCDHGA1', 'BGN', 'ZIC4', 'EMP3', 'RUNX1', 'LOXL2', 'RASD1', 'TMSB4X', 'NNAT', 'ATOH8', 'PSMG4', 'CALN1', 'SLC25A35']",0.9999915646955669,0,0,16
6,hsa-miR-4800-3p,0.09598170150206264,1.4948112458304654,3.503236220138525,"['EGLN3', 'GALNT16', 'RBPMS', 'P2RY14', 'IRS2', 'OSMR', 'ICAM1', 'ITPRIPL2', 'VCAN', 'FAM20C', 'DHCR7', 'STK32A', 'RETREG1', 'DSC2', 'GRID2IP']",0.9999915646955669,0,0,15
7,mmu-miR-293,0.12166461671625381,1.371299138369272,2.8886238946386382,"['SLC22A3', 'SMAD1', 'OXTR', 'DUSP1', 'CHRNA4', 'NXPH3', 'LSMEM1', 'RGS16', 'HMGA2', 'ZIC4', 'PML', 'LGALS3', 'FAM167A', 'MRAS', 'TMEM158', 'UBASH3B', 'INPP5D', 'HAP1', 'IL13RA1']",0.9999915646955669,0,0,19
8,hsa-miR-3684,0.14589809493630126,1.192874692874693,2.2961011318408775,"['ABCD4', 'SLC22A3', 'CALCRL', 'NXPH3', 'C2CD2', 'SHC1', 'LRRC19', 'PROS1', 'KCNA1', 'NLRC5', 'LMOD1', 'WDR64', 'NOD1', 'PLA2G5', 'IL1RAP', 'NDRG1', 'PDLIM2', 'IFI16', 'ATOH8', 'MAN1A1', 'SRGAP2', 'SLC38A2', 'ASIC1', 'IL13RA1', 'ARRDC4', 'EGR1', 'EGLN3', 'ST6GAL1', 'YTHDF1', 'RBPMS', 'CAV3', 'KCNJ13', 'ARHGEF38', 'P3H2', 'ARHGAP29', 'ZIC4', 'SYTL4', 'PSMB9', 'CLDN11', 'KLF6', 'TPPP3', 'VCAN', 'CEACAM1', 'RPL27A', 'SPRY1', 'PTPN7', 'DSC2', 'CD44']",0.9999915646955669,0,0,48
9,mmu-miR-3079-5p,0.14645774467162825,1.1807179563565948,2.2681808301152535,"['MOXD1', 'OXTR', 'OTUD7B', 'ADARB2', 'RND3', 'RASGEF1A', 'C1QTNF7', 'GPR171', 'MAN1A1', 'CALN1', 'CHST9', 'HGF', 'MMD2', 'SYTL4', 'RUNX1', 'CYP39A1', 'TANC1', 'VCAN', 'CEACAM1', 'MRAS', 'NUP210L', 'LRRC7', 'ADAM12', 'TXNIP', 'RELL1', 'SHANK2', 'MATN2', 'SLC22A3', 'CEBPB', 'NXPH3', 'KCNA1', 'TMTC1', 'PPL', 'ITPRIPL2', 'SOCS3', 'BRINP2', 'PDLIM2', 'CLMP', 'EFNB3', 'PTCHD1', 'GSG1L', 'PTCHD4', 'GBP1', 'XBP1', 'CAV3', 'ST8SIA1', 'SQOR', 'ERBIN', 'RPL23A', 'PRSS35', 'SULF1', 'KLF6', 'ZNF618', 'FXYD3']",0.9999915646955669,0,0,54
10,mmu-miR-412-5p,0.15502155667549256,1.4867163983771758,2.7715234727373237,"['MOXD1', 'ITPRIP', 'CHRNA4', 'ST8SIA1', 'NNAT', 'SAMD4A', 'HMGA2', 'ABCC9', 'FOS', 'SHANK2']",0.9999915646955669,0,0,10
