Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Nicotine addiction,1.1470480440821329e-07,18.573182808476925,296.8162500800578,"['GABRB2', 'GABRA1', 'GRIN2A', 'CHRNA4', 'GABRA4', 'CACNA1A', 'GABRD', 'GABRG2']",2.6382105013889056e-05,0,0,8
2,GABAergic synapse,8.336815224346723e-07,7.805697278911564,109.25957929953115,"['GABRB2', 'GABRA1', 'GABARAPL1', 'GNG2', 'SLC12A5', 'GLS2', 'GABRA4', 'CACNA1A', 'GABRD', 'SLC38A2', 'GABRG2']",9.587337507998731e-05,0,0,11
3,Glutamatergic synapse,6.0407434540859675e-05,5.2020517395182875,50.53480295033843,"['GRIN2A', 'GRM5', 'GNG2', 'GLS2', 'ITPR1', 'CACNA1A', 'GRIK2', 'SLC38A2', 'GRM1', 'SHANK2']",0.003838008140098249,0,0,10
4,Neuroactive ligand-receptor interaction,6.674796765388259e-05,5.1340523882896765,49.36179185206457,"['GABRA1', 'GABRB2', 'GRIN2A', 'GRM5', 'CHRNA4', 'GABRA4', 'GRIK2', 'GABRD', 'GRM1', 'GABRG2']",0.003838008140098249,0,0,10
5,Synaptic vesicle cycle,8.664430968682488e-05,6.426166426166426,60.10842784977204,"['SNAP25', 'STX1B', 'ATP6V1G2', 'SYT1', 'ATP6V1B2', 'CACNA1A', 'CPLX2', 'ATP6V0C']",0.003985638245593944,0,0,8
6,Morphine addiction,0.00030465662185768887,5.243097643097643,42.4498238127176,"['GABRB2', 'GABRA1', 'GNG2', 'PDE10A', 'GABRA4', 'CACNA1A', 'GABRD', 'GABRG2']",0.011678503837878074,0,0,8
7,Proximal tubule bicarbonate reclamation,0.00044131578320622894,14.16852914527333,109.46251230243115,"['MDH1', 'GLS2', 'ATP1A3', 'ATP1B1']",0.012886261535696261,0,0,4
8,Calcium signaling pathway,0.000489908823239687,3.6227040816326532,27.609682951996096,"['ITPKC', 'GRIN2A', 'GRM5', 'EGF', 'HGF', 'ITPR1', 'PLCE1', 'CACNA1A', 'CALM3', 'SLC25A4', 'GRM1']",0.012886261535696261,0,0,11
9,Retrograde endocannabinoid signaling,0.0005042450166142015,3.9060245007551604,29.656288939692406,"['GABRB2', 'GABRA1', 'GRM5', 'GNG2', 'GABRA4', 'ITPR1', 'CACNA1A', 'GABRD', 'GABRG2', 'GRM1']",0.012886261535696261,0,0,10
10,Gap junction,0.0013509692894130571,4.650210442498009,30.72362860630732,"['GRM5', 'TUBB3', 'EGF', 'ITPR1', 'HRAS', 'TUBB4A', 'GRM1']",0.031072293656500313,0,0,7
11,Epithelial cell signaling in Helicobacter pylori infection,0.0021188148244930395,4.991959012310539,30.734984414190382,"['PAK1', 'ATP6V1G2', 'ATP6V1B2', 'NOD1', 'ATP6V0C', 'MAP3K14']",0.044302491784854466,0,0,6
12,Pathways of neurodegeneration,0.002636387897898308,2.168132726871982,12.875121263619231,"['COX8A', 'GABARAPL1', 'WNT7B', 'ITPR1', 'TUBB4A', 'GRM1', 'UQCRH', 'UCHL1', 'GRIN2A', 'GRM5', 'TUBB3', 'NEFL', 'CYCS', 'CALM3', 'NEFM', 'HRAS', 'SLC25A4', 'CDK5R1', 'SNCA']",0.0505307680430509,0,0,19
13,Shigellosis,0.0031496462672448173,2.6753051425926997,15.411001982170596,"['GABARAPL1', 'CAPNS1', 'IL1R1', 'HKDC1', 'ARPC5L', 'ITPR1', 'PLCE1', 'CYCS', 'PRKCQ', 'NOD1', 'PFN2', 'MYL12B']",0.05268076653508291,0,0,12
14,Pertussis,0.003206655354309395,5.573333333333333,32.005016203329824,"['C1R', 'CFL1', 'SERPING1', 'NOD1', 'CALM3']",0.05268076653508291,0,0,5
15,Long-term potentiation,0.003665002156397683,4.4245598536000506,24.817030373317127,"['GRM5', 'GRIN2A', 'ITPR1', 'CALM3', 'HRAS', 'GRM1']",0.05619669973143114,0,0,6
16,Regulation of actin cytoskeleton,0.004397877089984644,2.8496683861459102,15.464105455212458,"['PAK1', 'EGF', 'TMSB4X', 'LIMK2', 'CFL1', 'ARPC5L', 'PAK3', 'HRAS', 'PFN2', 'MYL12B']",0.060785019656240766,0,0,10
17,Taste transduction,0.005109557205611818,6.48671096345515,34.228054956351784,"['GABRA1', 'GABRA4', 'CACNA1A', 'GRM1']",0.060785019656240766,0,0,4
18,Type II diabetes mellitus,0.005109557205611818,6.48671096345515,34.228054956351784,"['SOCS3', 'HKDC1', 'CACNA1A', 'IRS2']",0.060785019656240766,0,0,4
19,Hepatitis C,0.005142096470002994,3.2328786143219133,17.03822208646133,"['SOCS3', 'EGF', 'IRF7', 'CYCS', 'HRAS', 'YWHAZ', 'YWHAG', 'YWHAH']",0.060785019656240766,0,0,8
20,Alzheimer disease,0.005508829538171155,2.2223944207671447,11.559569237150432,"['COX8A', 'WNT7B', 'ITPR1', 'IRS2', 'TUBB4A', 'UQCRH', 'GRIN2A', 'GRM5', 'TUBB3', 'CYCS', 'CALM3', 'HRAS', 'SLC25A4', 'CDK5R1', 'SNCA']",0.060785019656240766,0,0,15
21,Ras signaling pathway,0.0055499365773089395,2.74884437596302,14.27741186653462,"['GRIN2A', 'PAK1', 'GNG2', 'EGF', 'HGF', 'PLCE1', 'CALM3', 'PAK3', 'HRAS', 'ETS2']",0.060785019656240766,0,0,10
22,Phagosome,0.006075984307589903,3.4669951575906888,17.693502184343256,"['COLEC12', 'ATP6V1G2', 'TUBB3', 'C1R', 'ATP6V1B2', 'ATP6V0C', 'TUBB4A']",0.06352165412480353,0,0,7
23,Insulin signaling pathway,0.007539951318041156,3.0134680134680134,14.72844410896066,"['SOCS3', 'PRKAR1A', 'PRKAR2B', 'HKDC1', 'TRIP10', 'IRS2', 'CALM3', 'HRAS']",0.07539951318041156,0,0,8
24,Collecting duct acid secretion,0.008402147954559907,8.31953642384106,39.761293347925125,"['ATP6V1G2', 'ATP6V1B2', 'ATP6V0C']",0.08052058456453245,0,0,3
25,Legionellosis,0.010279810188765788,5.186710963455149,23.74255057161211,"['EEF1A2', 'CYCS', 'HSPA1B', 'HSPA1A']",0.09457425373664524,0,0,4
26,Complement and coagulation cascades,0.011534889648536908,7.278352649006623,32.47876768119511,"['C1R', 'PROS1', 'SERPING1']",0.09949448027637517,0,0,3
27,Salmonella infection,0.011679786815052736,2.3239521615097654,10.341344390942634,"['PAK1', 'TUBB3', 'DYNLT3', 'ARPC5L', 'CYCS', 'NOD1', 'PAK3', 'HRAS', 'TUBB4A', 'PFN2', 'MYL12B']",0.09949448027637517,0,0,11
28,Human immunodeficiency virus 1 infection,0.012990056331687247,2.537429515846782,11.021505543175786,"['PAK1', 'GNG2', 'LIMK2', 'CFL1', 'ITPR1', 'CYCS', 'CALM3', 'PAK3', 'HRAS']",0.10670403415314524,0,0,9
29,Axon guidance,0.014083675212185847,2.5010063254744104,10.661137049585362,"['PAK1', 'PARD6A', 'LIMK2', 'CFL1', 'SRGAP2', 'PAK3', 'HRAS', 'EPHA3', 'MYL12B']",0.11169811375181879,0,0,9
30,MAPK signaling pathway,0.01692648033057819,2.192099174695259,8.941300712995051,"['PAK1', 'IL1R1', 'EGF', 'HGF', 'STMN1', 'CACNA1A', 'HSPB1', 'HRAS', 'MAP3K14', 'HSPA1B', 'HSPA1A']",0.1294159737798354,0,0,11
31,Serotonergic synapse,0.01769225157624316,3.5406060606060605,14.28503011692638,"['GABRB2', 'GNG2', 'ITPR1', 'CACNA1A', 'HRAS']",0.1294159737798354,0,0,5
32,Protein digestion and absorption,0.018005700699803187,4.320044296788483,17.353906802907364,"['COL27A1', 'ATP1A3', 'ATP1B1', 'SLC38A2']",0.1294159737798354,0,0,4
33,Estrogen signaling pathway,0.02176837559580597,2.9244983277591974,11.192923744060227,"['ITPR1', 'CALM3', 'HRAS', 'GRM1', 'HSPA1B', 'HSPA1A']",0.15171898142531434,0,0,6
34,Pathogenic Escherichia coli infection,0.024090468581006094,2.405387205387205,8.962326025781616,"['PAK1', 'IL1R1', 'TUBB3', 'WIPF3', 'ARPC5L', 'CYCS', 'PAK3', 'TUBB4A']",0.15891288094035436,0,0,8
35,C-type lectin receptor signaling pathway,0.024182394925706098,3.2441666666666666,12.075211349866885,"['PAK1', 'ITPR1', 'CALM3', 'MAP3K14', 'HRAS']",0.15891288094035436,0,0,5
36,Rap1 signaling pathway,0.027968147372054965,2.3327805417357657,8.34363052686539,"['GRIN2A', 'PARD6A', 'EGF', 'HGF', 'PLCE1', 'CALM3', 'HRAS', 'PFN2']",0.17868538598812897,0,0,8
37,Carbohydrate digestion and absorption,0.03002508199184886,4.8489238410596025,16.99897985986734,"['HKDC1', 'ATP1A3', 'ATP1B1']",0.18077886716165797,0,0,3
38,Apelin signaling pathway,0.030538427866745915,2.687579287279437,9.376344534374317,"['ACTA2', 'GABARAPL1', 'GNG2', 'ITPR1', 'CALM3', 'HRAS']",0.18077886716165797,0,0,6
39,Long-term depression,0.030653807910020262,3.6146179401993357,12.59693768693998,"['ITPR1', 'CACNA1A', 'HRAS', 'GRM1']",0.18077886716165797,0,0,4
40,T cell receptor signaling pathway,0.03203600085052479,2.993333333333333,10.299745646035197,"['PAK1', 'PRKCQ', 'PAK3', 'MAP3K14', 'HRAS']",0.18420700489051756,0,0,5
41,Gastric acid secretion,0.03502506670420173,3.453377630121816,11.574655697323829,"['ITPR1', 'ATP1A3', 'CALM3', 'ATP1B1']",0.19326632792934814,0,0,4
42,Prion disease,0.035947864594036254,2.006779661016949,6.673918212810603,"['COX8A', 'GRIN2A', 'TUBB3', 'ITPR1', 'CYCS', 'TUBB4A', 'SLC25A4', 'HSPA1B', 'UQCRH', 'HSPA1A']",0.19326632792934814,0,0,10
43,Spinocerebellar ataxia,0.03675210554399866,2.353650775283499,7.775425993262057,"['GRIN2A', 'KCND3', 'ITPR1', 'CACNA1A', 'CYCS', 'SLC25A4', 'GRM1']",0.19326632792934814,0,0,7
44,Parkinson disease,0.0369726888212666,1.9963680387409202,6.583174890248524,"['COX8A', 'UCHL1', 'TUBB3', 'ITPR1', 'CYCS', 'CALM3', 'TUBB4A', 'SLC25A4', 'UQCRH', 'SNCA']",0.19326632792934814,0,0,10
45,Fc gamma R-mediated phagocytosis,0.039346294052980804,2.818840579710145,9.119945700664896,"['PAK1', 'LIMK2', 'CFL1', 'ARPC5L', 'AMPH']",0.19446886141299702,0,0,5
46,JAK-STAT signaling pathway,0.039346294052980804,2.818840579710145,9.119945700664896,"['SOCS3', 'EGF', 'OSMR', 'HRAS', 'GFAP']",0.19446886141299702,0,0,5
