Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,mmu-miR-7a-1-3p,0.0005218427560895138,29.1432119205298,220.26859957473192,"['BASP1', 'PFN2', 'SNCA']",0.5185070730507095,0,0,3
2,mmu-miR-7a-2-3p,0.0005218427560895138,29.1432119205298,220.26859957473192,"['BASP1', 'PFN2', 'SNCA']",0.5185070730507095,0,0,3
3,mmu-miR-9-5p,0.0008200632614808271,2.214449716822287,15.7361655123764,"['COLEC12', 'SNAP25', 'GABRA1', 'SLC12A5', 'ARPP21', 'ST8SIA3', 'FRMD4A', 'PNMA2', 'FBXL16', 'ATP1B1', 'CPLX2', 'HPCAL4', 'GFAP', 'BCL6', 'RCAN2', 'STMN1', 'PHF24', 'HES1', 'ERC2', 'MDGA2', 'SHANK2', 'SCN2B', 'OPCML']",0.5185070730507095,0,0,23
4,mmu-miR-7b-5p,0.0010771674462748634,2.253200166144319,15.397064021558018,"['MOAP1', 'NECAB1', 'NRSN1', 'SYT1', 'ARPP21', 'WNT7B', 'DIRAS1', 'ST8SIA3', 'STMN2', 'ATP1A3', 'CPLX2', 'SCAMP5', 'SLC4A8', 'PDE10A', 'ENC1', 'PLP1', 'TRIP10', 'PHF24', 'HES1', 'SLC38A2', 'OPCML']",0.5185070730507095,0,0,21
5,mmu-miR-1954,0.001417452675852069,9.736710963455149,63.862054227634424,"['VSNL1', 'CCDC85B', 'FRMD4A', 'SRGAP2']",0.5185070730507095,0,0,4
6,hsa-miR-6728-5p,0.0014765280073084299,4.5723154362416105,29.802634985999404,"['STX1B', 'CHST6', 'STMN1', 'CACYBP', 'CALM3', 'GRIK2', 'YWHAZ']",0.5185070730507095,0,0,7
7,hsa-miR-335-3p,0.0016367389363883447,2.554240047358295,16.38557626248245,"['HS3ST3B1', 'COLEC12', 'GABRB2', 'FAM89A', 'KCND3', 'CACNA1A', 'STMN4', 'TMTC1', 'YWHAZ', 'UGCG', 'SOCS3', 'VCAN', 'BASP1', 'XKR4', 'MDGA2']",0.5185070730507095,0,0,15
8,mmu-miR-24-3p,0.001786415411027423,2.3722953216374267,15.010803575736864,"['COA3', 'GABRB2', 'RTN1', 'MDH1', 'SYT1', 'SYP', 'CPLX2', 'ENO2', 'NELL2', 'SLC4A8', 'UGCG', 'KLF6', 'CCDC85B', 'TRIP10', 'PHF24', 'SRGAP2', 'TSPYL4']",0.5185070730507095,0,0,17
9,hsa-miR-3925-5p,0.004315260117435081,3.3369152518088687,18.17149793399732,"['FKBP1A', 'GRIN2A', 'MFSD6', 'ST6GAL2', 'CAPNS1', 'PLD5', 'CALM3', 'GRIK2']",0.9948107820296772,0,0,8
10,hsa-miR-1237-5p,0.0050050859518107615,3.6047774637937127,19.095590157690456,"['SLC12A5', 'VGF', 'STMN3', 'CALM3', 'CTXN1', 'NDRG1', 'NRGN']",0.9948107820296772,0,0,7
11,hsa-miR-1276,0.006085015001554083,3.135084175084175,15.994967738468185,"['GRIN2A', 'EFHD2', 'ATP6V1B2', 'CALM3', 'YWHAZ', 'HSPA1B', 'RNF187', 'YWHAH']",0.9948107820296772,0,0,8
12,mmu-miR-149-5p,0.006594170759397711,2.017067265103644,10.128842930409412,"['COA3', 'GABRB2', 'SLC6A17', 'ST8SIA3', 'TMTC1', 'FBXL16', 'IPCEF1', 'GRM1', 'ART4', 'SCAMP5', 'NELL2', 'UGCG', 'CLMP', 'CAPNS1', 'TP53INP2', 'MAP3K14', 'YWHAG', 'OPCML']",0.9948107820296772,0,0,18
13,hsa-miR-491-5p,0.008066026992021079,2.758102829391892,13.294315550637926,"['SMTN', 'CAPNS1', 'DIRAS1', 'CFL1', 'PIN1', 'SOWAHA', 'SLC38A2', 'YWHAZ', 'PHYHIP']",0.9948107820296772,0,0,9
14,hsa-miR-765,0.008658729625649658,2.166646452395391,10.289809732250482,"['GABRB2', 'KCND3', 'TMEM63C', 'WNT7B', 'P3H2', 'STMN3', 'YWHAZ', 'NDRG1', 'C1RL', 'HES1', 'YWHAG', 'TSPYL4', 'RNF187', 'PACSIN1']",0.9948107820296772,0,0,14
15,mmu-miR-669h-5p,0.008963112946674944,19.364686468646866,91.29748058813044,"['PTP4A3', 'SLC6A17']",0.9948107820296772,0,0,2
16,hsa-miR-4781-5p,0.009250935368605651,5.366021308282735,25.129242049399707,"['HAAO', 'EFHD2', 'PIN1', 'THY1']",0.9948107820296772,0,0,4
17,hsa-miR-223-5p,0.009618349753364982,2.292918917127804,10.648504782796746,"['RGS4', 'NELL2', 'NECAB1', 'UGCG', 'SMTN', 'KLF6', 'APOL6', 'PDE10A', 'EGF', 'PLP1', 'SMAD9', 'HSPA1A']",0.9948107820296772,0,0,12
18,mmu-miR-1950,0.00989624251568991,7.764238410596026,35.8366198775198,"['COLEC12', 'RCAN2', 'YWHAZ']",0.9948107820296772,0,0,3
19,hsa-miR-6758-3p,0.010327546446771241,3.4958318774022863,15.986231317797007,"['DNAJA1', 'GABRA1', 'APOL6', 'CAMKV', 'UBE2QL1', 'PAK3']",0.9948107820296772,0,0,6
20,mmu-miR-186-5p,0.01137997237094025,5.018969027971279,22.464404868313032,"['COLEC12', 'SAMD4A', 'FRMD4A', 'STK32A']",0.9948107820296772,0,0,4
