"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"HMGA1 (human)",0.000357251798430992,1.90985803016859,15.1586763160563,"['PTPRR', 'CPB2', 'CIITA', 'LRRC19', 'LMOD1', 'SUMO4', 'TMTC1', 'PLA2G5', 'RND3', 'RGS4', 'HSD11B1', 'C1QTNF7', 'GPR171', 'FILIP1L', 'RPL17', 'BCL2L14', 'RAI2', 'P2RY12', 'CHST9', 'RPL41', 'DTX3L', 'KCNJ13', 'SAMD4A', 'IL18', 'ARHGAP29', 'BTBD11', 'ABCC9', 'ACTA2', 'TANC1', 'VCAN', 'BCL6', 'FAP', 'PALLD', 'SERPINI2', 'ARHGEF3', 'ID3', 'CTXN3', 'ANGPTL4', 'BEX5']",0.0865905017615455,0,0,39,"HMGA1",0.0865905017615455,0.259735034682751,0.713785508943098,NA,NA,NA,0.364706120136048,0.673150151995397
"ETS1 (human)",0.000657526016135088,1.47144902969371,10.7813456314191,"['IFITM3', 'OXTR', 'IFITM2', 'PROS1', 'CXCL17', 'RPL10A', 'ADARB2', 'RPL9', 'RGS4', 'RNF19A', 'C1RL', 'PIM1', 'ENPP3', 'PDE8B', 'RPS10', 'JUNB', 'IL13RA1', 'ZNF442', 'HES6', 'ST6GAL1', 'COL27A1', 'CCDC78', 'IL1R1', 'ACTN1', 'ARRDC3', 'C1ORF87', 'ATP11A', 'OVOL2', 'RUNX1', 'RPL26', 'CTXN3', 'RASL12', 'CPB2', 'NXPH3', 'GPR87', 'GMPR', 'PLA2G5', 'ART4', 'GRK5', 'SLC38A4', 'HHATL', 'SMAD1', 'OST4', 'RASL10A', 'NEK5', 'ST8SIA1', 'FZD4', 'ARHGAP29', 'BTBD11', 'ELL2', 'EFNA1', 'BCL6', 'P4HA3', 'ID3', 'C6ORF118', 'RADIL', 'MAP3K14', 'BEX5', 'CLIC4', 'CIITA', 'CDKN1A', 'MAFIP', 'PIK3CD', 'SUMO4', 'PYGM', 'PRSS23', 'AIFM3', 'ADAMTS1', 'TMSB4X', 'CHST6', 'SERPINB1', 'WARS', 'KCND3', 'ROM1', 'VWA5A', 'F3', 'ACTA2', 'PLSCR1', 'CEACAM1', 'PALLD', 'ARHGEF3', 'COL21A1', 'CHI3L1', 'TLCD1', 'ANGPTL4', 'MAPRE2', 'SHANK2', 'PDZRN4', 'C1R', 'LRRC19', 'GLRX', 'PDLIM2', 'PLN', 'EPS8L2', 'RPS27A', 'POLR2I', 'HES5', 'APOL3', 'SEMA4A', 'YTHDF1', 'P2RY14', 'PLEKHA5', 'SAMD4A', 'ZIC4', 'POLE4', 'FABP5', 'VEPH1', 'RAB13', 'TRIP10']",0.0865905017615455,0,0,109,"ETS1",0.0865905017615455,0.0140151162613685,0.0838327966776995,0.681524687203566,0.687438546172844,0.462460344767709,0.816050153234019,0.661471409772998
"NR5A1 (human)",0.000937803268175584,1.76675913706267,12.3177923481251,"['IFITM3', 'CEBPB', 'C2CD2', 'KCNE4', 'SUMO4', 'GLRX', 'TNFRSF11B', 'PPM1E', 'SLC5A3', 'RGS4', 'ZFYVE28', 'AIFM3', 'CALB1', 'APOL6', 'RPS18', 'C1QTNF7', 'PLCE1', 'GBP2', 'TMSB10', 'LDLR', 'APOL3', 'BANP', 'SLC38A4', 'SMAD1', 'DNAH11', 'RASL10A', 'CCDC78', 'FZD4', 'LIMK2', 'C9ORF153', 'ABCC9', 'ZIC4', 'ELL2', 'KLF6', 'CEACAM1', 'RPS27', 'BCL6', 'MEP1B', 'PNPLA3', 'TLCD1', 'PTPN7', 'CD44']",0.0865905017615455,0,0,42,"NR5A1",0.0865905017615455,NA,NA,NA,NA,NA,NA,NA
"SAMD9L (human)",0.00328464115708575,1.65877910396782,9.48572477254244,"['PTPRR', 'PROS1', 'ARHGAP39', 'ATP2C2', 'CYP3A5', 'LFNG', 'NT5C', 'AIFM3', 'LCNL1', 'HSPH1', 'C1QTNF7', 'RASGEF1B', 'RNF19A', 'CDH23', 'ENPP3', 'MAP3K6', 'JUNB', 'HES5', 'PIRT', 'BANP', 'RASL10A', 'GADD45B', 'GADD45A', 'ACTN1', 'MMD2', 'LHFPL1', 'SOD2', 'POLE4', 'ACTA2', 'TPST1', 'PTP4A3', 'SMTN', 'PALLD', 'NEDD4', 'S100A6', 'PSMG4', 'CHI3L1', 'PTPN7', 'SHANK2', 'MATN2']",0.227461400128188,0,0,40,"SAMD9L",0.227461400128188,0.0424381785025376,0.224869163076229,0.963711301310311,0.963146673617783,0.0535378069989845,0.684536173826133,0.577933317015646
"NR5A2 (human)",0.00463832004990273,1.39969162995595,7.5211072545878,"['SYNM', 'DYRK3', 'CLIC4', 'CDKN1A', 'OXTR', 'RPL34', 'IL1RAP', 'RPL10A', 'LFNG', 'RGS4', 'ZFYVE28', 'LGALS3', 'AIFM3', 'HELB', 'EDNRA', 'CALB1', 'H2AFJ', 'C1QTNF7', 'PIM1', 'A4GALT', 'IL13RA1', 'HES6', 'CHST9', 'ST6GAL1', 'SERPINB1', 'ATP6V1G2', 'DTX3L', 'CLEC11A', 'EMP1', 'ANO6', 'KCTD3', 'SYTL4', 'OVOL2', 'CLDN11', 'PLSCR1', 'CEACAM1', 'PTP4A3', 'ACAP1', 'PALLD', 'ADAM12', 'MYH9', 'NUPR1', 'SHANK2', 'CD44', 'ITIH4', 'C1R', 'KCNE4', 'TMPRSS3', 'IER5L', 'SLC3A1', 'GLRX', 'ATP2C2', 'CRYZ', 'TCEAL7', 'UGCG', 'SOCS3', 'NWD1', 'PDLIM2', 'DDT', 'CNTNAP3B', 'ATOH8', 'LDLR', 'HHATL', 'DNAH11', 'RASL10A', 'ST8SIA1', 'SMAD9', 'CDC7', 'ZIC4', 'BMX', 'ELL2', 'RAB11A', 'GFAP', 'KLF6', 'SMTN', 'BCL6', 'VEPH1', 'SERPINI2', 'PNPLA3', 'CD9', 'PSMG4', 'ID3', 'RPL22L1', 'RADIL', 'FAU', 'PTPN7', 'FGFR3', 'HSPA1B', 'GALK1']",0.256962930764611,0,0,89,"NR5A2",0.256962930764611,NA,NA,NA,NA,NA,NA,NA
"IKZF1 (mouse)",0.0069021723143139,1.60749096614682,7.99874498346804,"['CDKN1A', 'LXN', 'SHC1', 'GLRX', 'TNFRSF11B', 'PLA2G5', 'ATP2C2', 'RPL10A', 'COX7A1', 'ELK3', 'LFNG', 'EDNRA', 'RPS15A', 'RASD1', 'PDLIM2', 'CDH23', 'EPS8L2', 'A4GALT', 'PIRT', 'SEMA4A', 'HHATL', 'NEK5', 'KCND3', 'WNT7B', 'ARHGEF38', 'PLEKHA5', 'SMAD9', 'SULF1', 'PTP4A3', 'SMTN', 'ACAP1', 'FXYD3', 'FAM20C', 'SERPING1', 'CHI3L1', 'NUPR1', 'CRYAB']",0.261589422819181,0,0,37,"IKZF1",0.261589422819181,NA,NA,NA,NA,NA,NA,NA
"KLF11 (human)",0.00778975426001669,1.61477979513487,7.83966865102188,"['CEBPB', 'NXPH3', 'SHC1', 'LFNG', 'ZFYVE28', 'SPRED3', 'RPL7A', 'DOCK11', 'LCNL1', 'ZFP36', 'PDLIM2', 'TMSB4X', 'EPS8L2', 'PIM3', 'STK32A', 'HES4', 'HHATL', 'HES6', 'KCND3', 'GINS3', 'ACTN1', 'ROM1', 'WNT7A', 'MMD2', 'SLC39A14', 'GFAP', 'EFNA1', 'FXYD3', 'IRF7', 'SERPING1', 'PTPN7', 'MAPRE2', 'CRYAB', 'SHANK2', 'GALK1']",0.261589422819181,0,0,35,"KLF11",0.261589422819181,NA,NA,NA,NA,NA,NA,NA
"MZF1 1-4 (human)",0.00783898925181963,1.45891860123421,7.07377892821923,"['DYRK3', 'IFITM2', 'C2CD2', 'PYGM', 'ZFYVE28', 'RPS18', 'GYG2', 'STK32A', 'ZNF442', 'ST6GAL1', 'KCND3', 'ROM1', 'BGN', 'OVOL2', 'ACAP1', 'FNDC4', 'PALLD', 'S100A6', 'IRF7', 'FAM20C', 'TLCD1', 'CD44', 'FKBP5', 'GRID2IP', 'NXPH3', 'SHC1', 'C5ORF49', 'CRYZ', 'TCEAL7', 'ZNF829', 'PTCHD1', 'DDT', 'PDPN', 'CDH23', 'EPS8L2', 'POLR2I', 'GBP2', 'LDLR', 'HES5', 'BCL2L14', 'HES4', 'SLC38A4', 'HHATL', 'P2RY14', 'SAMD4A', 'ARHGAP29', 'ZIC4', 'VASN', 'BCL6', 'RPL27A', 'NEDD4', 'PNPLA3', 'CD9', 'PTPN7', 'FGFR3', 'BEX5', 'FSIP2']",0.261589422819181,0,0,57,"MZF1 1-4",0.261589422819181,NA,NA,NA,NA,NA,NA,NA
"NFE2 (human)",0.0107755772783333,1.40239989191198,6.35353494187192,"['WDR49', 'PTPRR', 'CDKN1A', 'C2CD2', 'PYGM', 'SLC7A10', 'LFNG', 'ZFYVE28', 'SPRED3', 'AIFM3', 'LCNL1', 'C1RL', 'HES6', 'ST6GAL2', 'KCND3', 'ACTN1', 'CLEC11A', 'ROM1', 'BGN', 'ARID5A', 'ATP11A', 'OSMR', 'SLC39A14', 'F3', 'TPST1', 'ITPKC', 'PTP4A3', 'PALLD', 'COL4A1', 'TLCD1', 'NUPR1', 'ANGPTL4', 'SHANK2', 'MATN2', 'ITIH4', 'RASL12', 'CEBPB', 'C5ORF49', 'HPN', 'SLC5A3', 'NDRG1', 'HSD11B1', 'TCEAL7', 'SOCS3', 'PDLIM2', 'DDT', 'BAG3', 'MAN1C1', 'EPS8L2', 'P2RY12', 'SEMA4A', 'YTHDF1', 'EGF', 'WNT7B', 'ARHGAP29', 'WNT7A', 'RPL23A', 'VASN', 'EFNA1', 'TTLL6', 'FAP', 'VEPH1', 'ID3', 'C6ORF118', 'HSPA1B']",0.261589422819181,0,0,65,"NFE2",0.261589422819181,NA,NA,NA,NA,NA,NA,NA
"USF2 (human)",0.0107895081987819,1.34876117710722,6.10878360493255,"['CPNE8', 'CLIC4', 'CDKN1A', 'C2CD2', 'WFDC1', 'HSPB1', 'ARHGAP39', 'SLC7A10', 'LFNG', 'ZFYVE28', 'SPRED3', 'AIFM3', 'LCNL1', 'ZFP36', 'TMSB4X', 'RNF19A', 'SPDYE2', 'C1RL', 'PLCE1', 'GYG2', 'CHST6', 'SERPINB1', 'CCDC78', 'ACTN2', 'CLEC11A', 'ARRDC3', 'ABCC9', 'SLC39A14', 'ACTA2', 'PTP4A3', 'FNDC4', 'S100A6', 'CHI3L1', 'NUPR1', 'FKBP5', 'LXN', 'LRRC19', 'SHC1', 'KCNE4', 'C5ORF49', 'IER5L', 'NOD1', 'ATP2C2', 'CYP3A5', 'SLC5A3', 'NDRG1', 'HSD11B1', 'GNA14', 'NWD1', 'RASD1', 'PDLIM2', 'HSPH1', 'DDT', 'BAG3', 'PDPN', 'CDH23', 'ARSF', 'EPS8L2', 'GBP2', 'HES5', 'APOL3', 'YTHDF1', 'GADD45B', 'WNT7B', 'C9ORF153', 'RFTN1', 'ARHGEF38', 'TNFRSF10B', 'BTBD11', 'CDC7', 'ABCA7', 'CP', 'RAB11A', 'EFNA1', 'SMTN', 'RPS27', 'BCL6', 'FABP5', 'VEPH1', 'APOC1', 'PNPLA3', 'TMCC2', 'C6ORF118', 'RADIL', 'PTPN7', 'GALK1', 'HSPA1A']",0.261589422819181,0,0,87,"USF2",0.261589422819181,0.766939040841089,0.490473611491056,NA,NA,NA,0.710317389116838,0.978988889783417
