Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,APEX1 mouse,0.10694418961260123,inf,inf,['APOD'],0.2780548929927632,0,0,1
2,CEBPA mouse,0.10694418961260123,inf,inf,['APOD'],0.2780548929927632,0,0,1
3,PARP1 mouse,0.10694418961260123,inf,inf,['APOD'],0.2780548929927632,0,0,1
4,NEUROD1 mouse,0.10694418961260123,inf,inf,['NNAT'],0.2780548929927632,0,0,1
5,CREB5 human,0.10694418961260123,inf,inf,['TNFRSF11B'],0.2780548929927632,0,0,1
6,NPM1 human,0.20258425041396355,8.447368421052632,13.487063585221078,['RPL3'],0.43893254256358766,0,0,1
7,TRP73 mouse,0.2881008718617495,4.217105263157895,5.247953917277523,['GLS2'],0.5350444763146777,0,0,1
8,YY1 human,0.43289004431825145,2.101973684210526,1.7599227067214025,['GBP1'],0.6421523055435466,0,0,1
9,SMAD1 mouse,0.4939633119565743,1.6789473684210525,1.1841515587318403,['TNFRSF11B'],0.6421523055435466,0,0,1
10,PPARG human,0.4939633119565743,1.6789473684210525,1.1841515587318403,['TNFRSF11B'],0.6421523055435466,0,0,1
11,TP53 human,0.6408425014528378,1.044407894736842,0.4647318100035169,['NME1'],0.7573593198988083,0,0,1
12,STAT3 human,0.7978660411106643,0.6376518218623481,0.1439910680778152,['NME1'],0.8643548778698863,0,0,1
13,SP1 human,0.9289563604331526,0.3714114832535885,0.027370618101406417,['RPS3A'],0.9289563604331526,0,0,1
