"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"FOXO3A (mouse)",0.000938361982970869,22,153.370245029129,"['ARL4A', 'RPS15A', 'SCLT1']",0.122925419769184,0,0,3,"FOXO3A",0.122925419769184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1 (human)",0.00509930761393025,7.14221218961625,37.7012420204087,"['RPL7A', 'TRMT112', 'ARL4A', 'RPS15A', 'GLS2', 'RPL9']",0.286275276245481,0,0,6,"E2F1",0.286275276245481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CREB1 (mouse)",0.00655592235676674,10.6263736263736,53.4228869014234,"['RPL7A', 'PAK1', 'RPL9']",0.286275276245481,0,0,3,"CREB1",0.286275276245481,0.64159438549321,0.780487267960691,NA,NA,NA,0.939269768682995,0.992755811372217,0.347169342748563,0.747950401575455,NA,0.529142979951732
"TLX1::NFIC (human)",0.0132220406509868,126.4375,546.952200209824,"['RPL7A']",0.433021831319816,0,0,1,"TLX1::NFIC",0.433021831319816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEF1 (mouse)",0.0197117980899623,6.89051094890511,27.0558526302354,"['RPL7A', 'GLS2', 'RPL9']",0.471936435680523,0,0,3,"LEF1",0.471936435680523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HOXA5 (human)",0.0216154092678102,5.33636363636364,20.4614796474387,"['TSC22D4', 'PAK1', 'GLS2', 'SCLT1']",0.471936435680523,0,0,4,"HOXA5",0.471936435680523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RELA (human)",0.0286414230114559,4.84459930313589,17.2123829294036,"['TSC22D4', 'RPL7A', 'TRMT112', 'ARL4A']",0.536003773500103,0,0,4,"RELA",0.536003773500103,0.625465175478418,0.34263913372251,NA,NA,NA,0.98556929240414,0.997869274104012,0.824840308810098,0.811313715497116,NA,0.996681573002696
"CREM (human)",0.0369060241561012,8.09937888198758,26.7229326238315,"['TRMT112', 'RPL9']",0.604336145556157,0,0,2,"CREM",0.604336145556157,0.816508650315067,0.954447856662706,NA,NA,NA,0.998918830840426,0.939179404635544,NA,NA,NA,NA
"NR3C1 (mouse)",0.0580697552645756,6.21508828250401,17.6888268638574,"['RPL7A', 'RPL9']",0.652374537295321,0,0,2,"NR3C1",0.652374537295321,0.507534687490468,0.831896349289866,NA,NA,NA,0.505441829879306,0.801526004424221,0.4966454817253,0.787964983501911,NA,0.978612109332399
"PPARA (human)",0.06457022698192,17.9553571428571,49.1977119157018,"['PAK1']",0.652374537295321,0,0,1,"PPARA",0.652374537295321,0.000440185010971489,0.172099694301881,0.937421668253135,0.938993083931589,-0.0946573856746736,0.958262778015488,0.817987427759534,NA,NA,NA,NA
