"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"HOXA5 (human)",0.00818953685426182,19.9724409448819,95.9655402103784,"['PAK1', 'GLS2', 'SCLT1']",0.353271448340175,0,0,3,"HOXA5",0.353271448340175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pax2 (mouse)",0.0231753972847321,14.56,54.8135082019965,"['PAK1', 'AGBL3']",0.353271448340175,0,0,2,"Pax2",0.353271448340175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATF2 (human)",0.0235265167436218,14.4365079365079,54.1315217042012,"['GLS2', 'SCLT1']",0.353271448340175,0,0,2,"ATF2",0.353271448340175,0.00712103344919434,0.302100959653064,NA,NA,NA,0.556465865244185,0.425889394937615,0.714286281885988,0.821802083389357,NA,0.378891360649935
"FOXJ1 (human)",0.0264205192582642,13.5149253731343,49.1080264519505,"['GLS2', 'SCLT1']",0.353271448340175,0,0,2,"FOXJ1",0.353271448340175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPARA (human)",0.0304544352017393,45.9761904761905,160.526955934113,"['PAK1']",0.353271448340175,0,0,1,"PPARA",0.353271448340175,0.000440185010971489,0.172099694301881,0.937421668253135,0.938993083931589,-0.0946573856746736,0.958262778015488,0.817987427759534,NA,NA,NA,NA
"ATF1 (human)",0.0503673705769332,26.6805555555556,79.7324849917708,"['PAK1']",0.431236188159143,0,0,1,"ATF1",0.431236188159143,0.000833619794195907,0.259999871120025,0.959150616877044,0.959033062310224,-0.281062858088319,0.279578058411772,0.499914671146669,NA,NA,NA,NA
"REL (human)",0.060208022420862,22.0229885057471,61.8834893445039,"['PAK1']",0.431236188159143,0,0,1,"REL",0.431236188159143,0.0744221832297772,0.985509846554093,0.814197420731927,NA,-2.04395210483732,0.965430745741499,0.9878220766628,0.8077514164217,0.859408892601487,NA,0.455333950271783
"FOXC1 (human)",0.0799260773896843,Inf,Inf,"['PAK1', 'GLS2', 'AGBL3', 'SCLT1']",0.431236188159143,0,0,4,"FOXC1",0.431236188159143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STAT3 (human)",0.0848773441162639,6.71825396825397,16.5708963929654,"['GLS2', 'SCLT1']",0.431236188159143,0,0,2,"STAT3",0.431236188159143,0.000155609650176518,0.208385793335675,0.926110376718676,0.929717444448032,-0.324614075673053,0.996081525689419,0.998598934161462,0.485221182377541,0.760418850715161,NA,0.796954504789944
"FOXO3A (mouse)",0.095002337161176,13.4609929078014,31.6852091191809,"['SCLT1']",0.431236188159143,0,0,1,"FOXO3A",0.431236188159143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1 (mouse)",0.0992678418238057,6.07272727272727,14.0275968260749,"['PAK1', 'SCLT1']",0.431236188159143,0,0,2,"E2F1",0.431236188159143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CBFB (human)",0.150834830529372,8.08658008658009,15.2963313110276,"['AGBL3']",0.431236188159143,0,0,1,"CBFB",0.431236188159143,0.000729368578905496,0.200653382914326,0.926969715205732,0.930560311304207,-0.363717677562772,0.643912516277522,0.674245334104535,0.552032234331508,0.718500551150925,NA,0.417952100550827
"NR3C1 (mouse)",0.16885837475853,7.11877394636015,12.6621271587663,"['AGBL3']",0.431236188159143,0,0,1,"NR3C1",0.431236188159143,0.507534687490468,0.831896349289866,NA,NA,NA,0.505441829879306,0.801526004424221,0.4966454817253,0.787964983501911,NA,0.978612109332399
"CREB1 (mouse)",0.183069380452328,6.49122807017544,11.021391681397,"['PAK1']",0.431236188159143,0,0,1,"CREB1",0.431236188159143,0.64159438549321,0.780487267960691,NA,NA,NA,0.939269768682995,0.992755811372217,0.347169342748563,0.747950401575455,NA,0.529142979951732
"NFAT2 (human)",0.195353822792913,6.02287581699346,9.83501223506366,"['GLS2']",0.431236188159143,0,0,1,"NFAT2",0.431236188159143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"USF1 (mouse)",0.197097366090108,5.96116504854369,9.68127437799432,"['PAK1']",0.431236188159143,0,0,1,"USF1",0.431236188159143,0.0290314744946621,0.126433395641883,0.98704791187489,0.986375806245903,0.17778926162805,0.98242963187882,0.998175115741018,NA,NA,NA,NA
"SP3 (mouse)",0.2126620483123,5.45535714285714,8.44517108549121,"['PAK1']",0.431236188159143,0,0,1,"SP3",0.431236188159143,0.101855389700522,0.892010165338864,NA,NA,NA,0.303516404908656,0.15283017009065,NA,NA,NA,NA
"PLAU (human)",0.224610582510797,5.11484593837535,7.63844504844105,"['PAK1']",0.431236188159143,0,0,1,"PLAU",0.431236188159143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LTF (human)",0.22630634743498,5.06944444444444,7.53251350639287,"['AGBL3']",0.431236188159143,0,0,1,"LTF",0.431236188159143,NA,NA,NA,NA,NA,NA,NA,0.201249390149889,0.809200500300786,NA,0.411923148133856
