"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"RBPJ (human)",0.0109715321992942,3.06777818050018,13.8431997696432,"['RPL7A', 'POLD4', 'RPL41', 'RPS15A', 'S100A16', 'KCNJ13', 'RPL14', 'RPL15']",0.98535624608146,0,0,8,"RBPJ",0.98535624608146,0.145763492272095,0.777291025069538,NA,NA,NA,0.265172480239993,0.350498752679025,NA,NA,NA,NA
"NR5A2 (mouse)",0.0400734471010888,2.67496886674969,8.60548540361693,"['CHCHD5', 'RPL7A', 'PRELID1', 'TMED2', 'RPS2', 'COX7A1']",0.98535624608146,0,0,6,"NR5A2",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUN (mouse)",0.0518716116565997,2.49184149184149,7.37331815806434,"['RPL7A', 'POLD4', 'RPL41', 'TMED2', 'RPL13', 'FAU']",0.98535624608146,0,0,6,"JUN",0.98535624608146,0.0400163729110129,0.535939494029189,0.935379330653186,0.936179376047862,0.0208143791776347,0.913886871563383,1,NA,NA,NA,NA
"PLAU (human)",0.0639130833592374,2.57352941176471,7.07780085957883,"['PRELID1', 'RPL41', 'RPL13', 'RPS3A', 'RPL9']",0.98535624608146,0,0,5,"PLAU",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IRF7 (human)",0.0647125345509051,30.1578947368421,82.5662951530269,"['RPS27A']",0.98535624608146,0,0,1,"IRF7",0.98535624608146,0.00657704048244394,0.0130158908927932,0.953822121289462,0.953835651687823,0.155526116210162,0.701308588411344,0.725656101260222,NA,NA,NA,NA
"TP53 (mouse)",0.0745265681499281,2.44796380090498,6.35638182063387,"['RPS18', 'RPS2', 'RPL26', 'RPL9', 'COX7A1']",0.98535624608146,0,0,5,"TP53",0.98535624608146,0.022128532359942,0.968198323726415,0.558576646783829,0.555835895374054,-2.21959304726071,0.177032682294278,0.300381131193929,NA,NA,NA,NA
"RARA (human)",0.0821178118703469,2.37050043898156,5.92530368594602,"['OST4', 'RPL13', 'RPL9', 'RPS12', 'RPL19']",0.98535624608146,0,0,5,"RARA",0.98535624608146,0.884401701684774,0.919178169951624,NA,NA,NA,0.904771109864956,0.820906956189189,NA,NA,NA,NA
"IRF2 (mouse)",0.0860666805978421,2.33347750865052,5.72316377300007,"['CHCHD5', 'RPL22L1', 'RPL26', 'RPL9', 'COX7A1']",0.98535624608146,0,0,5,"IRF2",0.98535624608146,0.0130431834267677,0.776230768043154,NA,NA,NA,0.773158211555077,0.949251663763978,NA,NA,NA,NA
"CRX (human)",0.0901168462004462,2.29752770673487,5.52934082701355,"['RPL41', 'TMED2', 'RPL13', 'RPS3A', 'FAU']",0.98535624608146,0,0,5,"CRX",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PITX1 (human)",0.0942675378059103,2.26260504201681,5.34340968207247,"['RPS15A', 'RPL14', 'TMED2', 'RPL13', 'FAU']",0.98535624608146,0,0,5,"PITX1",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TLX1::NFIC (human)",0.0955200902991001,15.0657894736842,35.3807814891496,"['RPL7A']",0.98535624608146,0,0,1,"TLX1::NFIC",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PITX2 (human)",0.0972345343465023,1.77023787571455,4.12576833012491,"['CHCHD5', 'RPS15A', 'KCNJ13', 'RPL14', 'TMED2', 'RPL13', 'RPS3A', 'A2ML1', 'RPL15', 'FAU']",0.98535624608146,0,0,10,"PITX2",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GFI1 (human)",0.10286695211641,2.19566993464052,4.99365352682669,"['RPL41', 'RPL13', 'RPS3A', 'A2ML1', 'FAU']",0.98535624608146,0,0,5,"GFI1",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEF1 (mouse)",0.10286695211641,2.19566993464052,4.99365352682669,"['RPL7A', 'RPL15', 'FAU', 'RPL26', 'RPL9']",0.98535624608146,0,0,5,"LEF1",0.98535624608146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
