GENE_SYMBOLS,refseq_ids
DIPK1C,NM_001044369
C1orf61,NA
FGFR3,NM_000142
MMD2,NM_001100600
PAMR1,NM_001001991
CIRBP,NM_001280
ATL2,NM_001135673
TRIB1,NM_001282985
FRMD4A,NM_001318336
RASL10A,NM_001007279
BRINP2,NM_021165
ATP6V0E2,NM_001100592
GABRA2,NM_000807
OAT,NM_000274
NOTCH1,NM_017617
ACSL6,NM_001009185
RPL41,NM_001035267
ARHGAP23,NM_001199417
SLC6A1,NM_001348250
SNAP25,NM_001322902
KNDC1,NM_001347864
IRS2,NM_003749
SLC25A5,NM_001152
NT5E,NM_001204813
SLC4A8,NM_001039960
LFNG,NM_001040167
AIFM3,NM_001018060
RPS6KA2,NM_001006932
PARD3,NM_001184785
ATP2B4,NM_001001396
PAQR6,NM_001272104
NKAIN3,NM_001039769
AADAT,NM_001286682
C2orf72,NM_001144994
TSC22D4,NM_001303043
YWHAH,NM_003405
TMSB4X,NM_021109
FAM167A,NM_053279
ST6GAL2,NM_001142351
ERBIN,NM_001006600
SEMA4A,NM_001193300
PTCHD1,NM_173495
RPL9,NM_000661
EPM2A,NM_001018041
OAF,NM_178507
EMID1,NM_001267895
TMSB10,NM_021103
RPL13,NM_000977
NEDD4,NM_001284338
ARHGAP26,NM_001135608
SHANK2,NM_001379226
NEAT1,NR_002802
TTLL4,NM_014640
NDRG4,NM_001130487
PIK3C2A,NM_001321378
EPHB1,NM_004441
HES5,NM_001010926
RPS27A,NM_001135592
CEND1,NM_016564
RPS18,NM_022551
YWHAG,NM_012479
GRM3,NM_000840
SLC7A10,NM_019849
RPL10A,NM_007104
BEX3,NM_001282674
GINS3,NM_001126129
RPL15,NM_001253379
RPS14,NM_001025070
SLC9A7,NM_001257291
FAU,NM_001997
DBP,NM_001352
KIFC3,NM_001130099
ORMDL1,NM_001128150
RGS4,NM_001102445
RPL26,NM_000987
RPS12,NM_001016
BDH1,NM_004051
SNHG6,NR_002599
RPL10,NM_001256577
DAAM1,NM_001270520
RPS28,NM_001031
SLC9A9,NM_173653
RPS15A,NM_001019
ARSF,NM_001201538
COX7A2L,NM_001319036
