GENE_SYMBOLS,refseq_ids
DIPK1C,NM_001044369
RASL10A,NM_001007279
RPL9,NM_000661
RPS27A,NM_001135592
RPL41,NM_001035267
MMD2,NM_001100600
RPS18,NM_022551
RPL13,NM_000977
TMSB4X,NM_021109
RPL15,NM_001253379
RPL10A,NM_007104
RPL7A,NM_000972
FAU,NM_001997
RPL26,NM_000987
SNAP25,NM_001322902
TMSB10,NM_021103
FRMD4A,NM_001318336
SLC4A8,NM_001039960
RPS14,NM_001025070
RPS15A,NM_001019
RPS12,NM_001016
IRS2,NM_003749
RPL3,NM_000967
RPL17,NM_000985
YWHAH,NM_003405
BEX3,NM_001282674
RPL10,NM_001256577
RPS3A,NM_001006
RPL7,NM_000971
RPS28,NM_001031
RPL8,NM_000973
RPL6,NM_000970
RPL35,NM_007209
RPL27A,NM_000990
NXPH3,NM_007225
CHCHD2,NM_001320327
RPL21,NM_000982
RGS4,NM_001102445
RPS2,NM_002952
RPS19,NM_001022
RPS16,NM_001020
COX8A,NM_004074
RPL23A,NM_000984
RPL18,NM_000979
RPS15,NM_001018
RPL37A,NM_000998
CHCHD10,NM_001301339
NEK5,NM_001365552
COX7A2L,NM_001319036
EIF1B,NM_005875
YWHAG,NM_012479
PGAM1,NM_001317079
RPL14,NM_001034996
COX4I1,NM_001318786
RPSA,NM_001304288
RPL29,NM_000992
RPL34,NM_000995
GINS3,NM_001126129
RPS3,NM_001005
RPS10,NM_001014
NEAT1,NR_002802
WNT7B,NM_001410806
CEND1,NM_016564
RPL18A,NM_000980
RPL19,NM_000981
OAZ1,NM_001301020
RPS7,NM_001011
PFN2,NM_002628
PNMA2,NM_007257
RPS27,NM_001030
RPS9,NM_001013
SELENOH,NM_001321335
RNF19A,NM_001280539
RPL13A,NM_001270491
C1QTNF4,NM_031909
RPLP1,NM_001003
SNHG8,NR_003584
YWHAB,NM_003404
COX7A1,NM_001864
NRSN1,NM_080723
RPL5,NM_000969
MLLT11,NM_006818
RPS5,NM_001009
CCDC85B,NM_006848
BASP1,NM_001271606
RPS4X,NM_001007
RPS13,NM_001017
TOMM7,NM_019059
RPL36,NM_015414
HES5,NM_001010926
PDXP,NM_020315
RPS6,NM_001010
