"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"Wt1","Wt1","MA1627.1","3.30865",0.000445155,0.840422,0.828844,0.0629822,316,"False",0.260636996363636,NA,NA,NA,NA,NA,NA,NA
"TFDP1","TFDP1","MA1122.1","3.10309",0.000918961,0.861245,0.849665,0.0636621,316,"False",0.260636996363636,0.200012429646557,0.184303502585437,NA,NA,NA,0.968900055847634,0.93803969239934
"E2F6","E2F6","MA0471.2","3.03406",0.00115895,0.862114,0.852237,0.0560186,316,"False",0.260636996363636,0.184464805424435,0.776526007265896,NA,NA,NA,0.934979204503117,0.988109310598121
"ZNF263","ZNF263","MA0528.2","2.88228",0.00189415,0.866911,0.856546,0.0658029,316,"False",0.260636996363636,0.537110697132314,0.560650985876351,NA,NA,NA,0.284007691534873,0.275162274511213
"ZBTB14","ZBTB14","MA1650.1","2.88013",0.00190988,0.832356,0.820331,0.0750967,316,"False",0.260636996363636,0.0105869063059409,0.018621184991423,0.730035877787582,0.739865598995616,0.208162396697937,0.428192456839048,0.660847043985408
"MAZ","MAZ","MA1522.1","2.82421",0.0022823,0.890083,0.877914,0.0766849,316,"False",0.260636996363636,0.932984808075015,0.593070508134745,NA,NA,NA,0.343945915333222,0.880817514796762
"EGR1","EGR1","MA0162.4","2.77737",0.00263783,0.823334,0.812172,0.0729734,316,"False",0.260636996363636,0.171880705042824,0.158177527786913,NA,0.739865598995616,NA,0.788556899381818,NA
"Znf281","Znf281","MA1630.1","2.74576",0.00291734,0.829532,0.819408,0.0641132,316,"False",0.260636996363636,0.217911452834974,0.181678944188374,NA,0.81825990208146,NA,0.813122411709903,0.875593938438645
"TFAP2E","TFAP2E","MA1569.1","2.73667",0.00299641,0.886089,0.876258,0.0634935,316,"False",0.260636996363636,0.634345935845089,0.701565626352781,NA,NA,NA,0.0995893176081598,0.0643922333547994
"KLF5","KLF5","MA0599.1","2.699",0.00336541,0.936907,0.92756,0.0599408,316,"False",0.260636996363636,NA,NA,NA,NA,NA,NA,NA
"KLF10","KLF10","MA1511.1","2.67531",0.00361084,0.869821,0.861439,0.0551014,316,"False",0.260636996363636,NA,NA,NA,NA,NA,NA,0.903691557744666
"ZNF682","ZNF682","MA1599.1","2.64271",0.00397388,0.774706,0.766683,0.0547433,316,"False",0.262938393333333,0.341644324290734,0.280753649410911,NA,NA,NA,0.019796635558506,0.0289060573292352
"ZNF148","ZNF148","MA1653.1","2.60589",0.00443781,0.862174,0.850645,0.0780645,316,"False",0.27104778,0.0198125982008258,0.373819150172996,NA,NA,NA,0.257998025623098,0.782454308478006
"RELB","RELB","MA1117.1","2.50794",0.00587582,0.83161,0.824403,0.0531966,316,"False",0.295182936923077,NA,NA,NA,NA,NA,NA,NA
"EGR3","EGR3","MA0732.1","2.48149",0.00634457,0.789466,0.780667,0.0639996,316,"False",0.295182936923077,0.00276658736261172,0.0617011207685953,0.883906099288198,0.88877094298306,0.116656670557889,0.950731602455576,NA
"ZIC5","ZIC5","MA1584.1","2.48015",0.00638283,0.78102,0.774101,0.0484996,316,"False",0.295182936923077,0.0756283766786667,0.809122624692366,0.569269793008532,NA,-0.51141081883332,0.23987528263473,0.415479567507092
"NHLH2","NHLH2","MA1529.1","2.41001",0.00777802,0.742886,0.736319,0.0457886,316,"False",0.295182936923077,NA,NA,NA,NA,NA,NA,NA
"KLF15","KLF15","MA1513.1","2.39715",0.00803326,0.873626,0.860109,0.100527,316,"False",0.295182936923077,0.00103012403265179,0.30461907574744,0.894007354126288,0.897933286049689,-0.42884540829884,0.652849124615898,0.943696786885679
"ZNF449","ZNF449","MA1656.1","2.39533",0.00804287,0.807733,0.800995,0.0534262,316,"False",0.295182936923077,0.902725515917228,0.699199911971734,NA,NA,NA,0.781719213951585,0.753350131898515
"KLF4","KLF4","MA0039.4","2.39284",0.00813615,0.888909,0.879556,0.0685648,316,"False",0.295182936923077,NA,NA,NA,NA,NA,NA,NA
"SP2","SP2","MA0516.2","2.38093",0.00839901,0.796761,0.78945,0.0547047,316,"False",0.295182936923077,0.05283463403822,0.0883366250898431,0.860611810983269,0.867340967049456,0.299372916570587,0.544462428603652,0.660482771994566
"KLF9","KLF9","MA1107.2","2.35492",0.00901742,0.802523,0.794726,0.0587493,316,"False",0.295182936923077,0.0997485714551983,0.734640352397711,NA,NA,NA,0.902768072833753,0.868462195845584
"TFAP2B","TFAP2B","MA0812.1","2.35519",0.00902159,0.860755,0.853532,0.0532209,316,"False",0.295182936923077,NA,NA,NA,NA,NA,NA,NA
"NHLH1","NHLH1","MA0048.2","2.34526",0.00927142,0.836147,0.828809,0.0538272,316,"False",0.295182936923077,NA,NA,NA,NA,NA,NA,NA
"EGR4","EGR4","MA0733.1","2.33099",0.00963982,0.786843,0.780201,0.0485008,316,"False",0.295182936923077,NA,NA,NA,NA,NA,NA,NA
"VEZF1","VEZF1","MA1578.1","2.32982",0.00966594,0.875494,0.867548,0.0585804,316,"False",0.295182936923077,0.0145091663725517,0.050208037521402,NA,0.73459043433586,NA,0.431907748710294,0.868319157882462
"CTCFL","CTCFL","MA1102.2","2.30552",0.0103006,0.848349,0.839568,0.0673257,316,"False",0.302913940740741,NA,NA,NA,NA,NA,NA,NA
"TCFL5","TCFL5","MA0632.2","2.28837",0.0107556,0.844339,0.835763,0.0692649,316,"False",0.304998085714286,0.585469176632259,0.408015589074148,NA,NA,NA,0.775239137336152,0.824949664093252
"TCF12","TCF12","MA1648.1","2.27398",0.0112242,0.878716,0.871576,0.0529981,316,"False",0.307310855172414,5.40997440645683e-06,0.0742999481462888,NA,NA,NA,0.0317464062618718,0.16007561790841
"KLF3","KLF3","MA1516.1","2.12259",0.0165011,0.853466,0.846119,0.0629953,316,"False",0.436729113333333,0.431699428523888,0.659773546477459,NA,NA,NA,0.0508995720373355,0.325352979583933
"KLF11","KLF11","MA1512.1","2.09078",0.0178906,0.872384,0.865068,0.0612759,316,"False",0.458230206451613,NA,NA,NA,NA,NA,NA,NA
"TCF3","TCF3","MA0522.3","2.04332",0.0201225,0.878079,0.871721,0.052766,316,"False",0.49928953125,0.13263111539582,0.397607051196671,NA,NA,NA,0.596688344503463,0.888076822383027
