"TF_NAME","Pscan_TERM","MATRIX_ID","Z_SCORE","P_VALUE","SAMPLE_AVERAGE","BACKGROUND_AVERAGE","SAMPLE_DEVSTD","SAMPLE_SIZE","In_original_list","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ZBTB33","ZBTB33","MA0527.1","5.41046",3.02205e-08,0.810669,0.772676,0.0693661,60,"False",1.03879549333333e-05,0.0842152080447189,0.362453832580226,0.801276326212663,0.800381040241743,-0.404031181512994,0.971681662632118,0.987020557101764,NA,NA,NA,NA
"ELK1","ELK1","MA0028.2","5.39083",3.39084e-08,0.847204,0.805366,0.0710848,60,"False",1.03879549333333e-05,0.704253596947761,0.284891331547898,NA,NA,NA,0.863299544019069,0.973906153131556,NA,NA,NA,NA
"ELK3","ELK3","MA0759.1","5.36482",3.92492e-08,0.865712,0.827514,0.0636874,60,"False",1.03879549333333e-05,0.000802681573812846,0.0798930634995883,0.980567547378716,0.98076630532411,-0.0938930090601928,0.763127442011955,0.322777890798435,NA,NA,NA,NA
"FEV","FEV","MA0156.2","5.1399",1.33836e-07,0.875363,0.840666,0.0575694,60,"False",2.6566446e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELF2","ELF2","MA1483.1","5.06484",1.99064e-07,0.824234,0.790052,0.0580821,60,"False",3.16113632e-05,3.61161173472315e-07,0.04797871783187,0.78382908292535,0.781666935438898,-0.159011708002441,0.964551366242023,0.979622731860007,NA,NA,NA,NA
"GMEB2","GMEB2","MA0862.1","4.75654",9.61338e-07,0.845254,0.813104,0.0590245,60,"False",0.000120049397142857,0.542656755785722,0.910202620007619,NA,NA,NA,0.886633905913487,0.711099634813602,NA,NA,NA,NA
"FLI1","FLI1","MA0475.2","4.73709",1.05837e-06,0.862008,0.82927,0.0605842,60,"False",0.000120049397142857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ETV2","ETV2","MA0762.1","4.62939",1.78804e-06,0.83487,0.805106,0.0591396,60,"False",0.000154609665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELF4","ELF4","MA0641.1","4.61487",1.92266e-06,0.811497,0.779983,0.059649,60,"False",0.000154609665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gmeb1","Gmeb1","MA0615.1","4.61046",1.9804e-06,0.843249,0.817285,0.0389604,60,"False",0.000154609665,0.0690686237618569,0.357923734701412,0.925706256590472,0.929717444448032,-0.198799511321461,0.702551964074072,0.998622633800036,NA,NA,NA,NA
"ERG","ERG","MA0474.2","4.57702",2.30886e-06,0.87851,0.84857,0.0556683,60,"False",0.000154609665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ELK4","ELK4","MA0076.2","4.57413",2.33667e-06,0.885431,0.852902,0.0631194,60,"False",0.000154609665,0.0629267462139309,0.293107151159675,0.970533416681223,0.970725935446753,0.0577977605886604,0.999156459788271,0.810886561861684,NA,NA,NA,NA
"ETS1","ETS1","MA0098.3","4.5346",2.82612e-06,0.876426,0.846278,0.0566369,60,"False",0.000172610713846154,0.0590775016294817,0.201107702986367,0.752865234281328,0.742582523444698,0.37463491091106,0.922581195508818,0.692854148159738,NA,NA,NA,NA
"ZSCAN29","ZSCAN29","MA1602.1","4.47288",3.73121e-06,0.810124,0.784442,0.0630418,60,"False",0.00021161291,0.239167906611085,0.919104222885113,NA,NA,NA,0.998750171870355,0.722059859173626,NA,NA,NA,NA
"ETV6","ETV6","MA0645.1","4.32825",7.36299e-06,0.881303,0.851358,0.0610331,60,"False",0.000389747604,0.00119665742570476,0.142817758767322,0.999678055824734,0.999678055824734,0.0263349278665595,0.981038632039279,0.986345838728558,NA,NA,NA,NA
"HES1","HES1","MA1099.2","4.14311",1.69409e-05,0.887598,0.85239,0.0576407,60,"False",0.0008406921625,0.00315237432054284,0.00442446762982238,0.801276326212663,0.800381040241743,0.289346956581647,0.79039147638135,0.75872668050536,NA,NA,NA,NA
"ETS2","ETS2","MA1484.1","4.0984",2.04132e-05,0.875872,0.848397,0.0598384,60,"False",0.000953416517647059,0.256742549974701,0.0747898953756687,0.689700511343384,0.674220713287991,0.743835056566445,0.977475075539603,0.901476674198942,NA,NA,NA,NA
"ELF5","ELF5","MA0136.2","4.06002",2.42021e-05,0.887991,0.864397,0.0444377,60,"False",0.00101846777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E2F1","E2F1","MA0024.3","4.05053",2.51618e-05,0.794164,0.7698,0.0489531,60,"False",0.00101846777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"YY1","YY1","MA0095.2","4.0446",2.56541e-05,0.828023,0.796807,0.0742595,60,"False",0.00101846777,0.0206551446207388,0.776665678372549,NA,NA,NA,0.983717433019533,0.91535466752746,0.6233827343592,0.913749535334991,NA,0.979809304931412
"ETV5","ETV5","MA0765.2","4.00162",3.08254e-05,0.881558,0.853063,0.0674517,60,"False",0.00110031385714286,0.102893920707833,0.0675129145508298,0.96598216882539,0.966284832836899,0.335384574044893,0.242663142121239,0.298078682278319,NA,NA,NA,NA
"ARNT","ARNT::HIF1A","MA0259.1","3.99577",3.19447e-05,0.921554,0.890666,0.0493136,60,"False",0.00110031385714286,2.95551097055197e-07,0.0382372078805916,0.985874323315553,0.98515595291508,-0.0862730450314731,0.102813443067629,0.246957075473059,NA,NA,NA,NA
"HIF1A","ARNT::HIF1A","MA0259.1","3.99577",3.19447e-05,0.921554,0.890666,0.0493136,60,"False",0.00110031385714286,0.0669388218334705,0.683108857366748,NA,NA,NA,0.30120613264988,0.231622855553134,NA,NA,NA,NA
"Atf1","Atf1","MA0604.1","3.96366",3.63103e-05,0.868029,0.839285,0.0620414,60,"False",0.00110031385714286,0.000833619794195907,0.259999871120025,0.959150616877044,0.959033062310224,-0.281062858088319,0.279578058411772,0.499914671146669,NA,NA,NA,NA
"ZBTB7A","ZBTB7A","MA0750.2","3.96171",3.66201e-05,0.859648,0.829929,0.0635529,60,"False",0.00110031385714286,0.0120866724577519,0.68826935766484,0.78395881449763,0.781666935438898,-1.1869348765709,0.932894042928174,0.965884935746694,0.184114186503812,0.898898033394353,NA,0.787845757961382
"TFEC","TFEC","MA0871.2","3.96071",3.67828e-05,0.826076,0.79543,0.0650562,60,"False",0.00110031385714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ahr","Ahr::Arnt","MA0006.1","3.94967",3.8802e-05,0.946279,0.913397,0.0510685,60,"False",0.00110031385714286,0.0141126241793044,0.102068922770308,0.693585917914194,0.679310590456207,0.0867857807892031,0.95129793076741,NA,NA,NA,NA,NA
"Arnt","Ahr::Arnt","MA0006.1","3.94967",3.8802e-05,0.946279,0.913397,0.0510685,60,"False",0.00110031385714286,2.95551097055197e-07,0.0382372078805916,0.985874323315553,0.98515595291508,-0.0862730450314731,0.102813443067629,0.246957075473059,NA,NA,NA,NA
