TF_NAME,Pscan_TERM,MATRIX_ID,Z_SCORE,P_VALUE,SAMPLE_AVERAGE,BACKGROUND_AVERAGE,SAMPLE_DEVSTD,SAMPLE_SIZE,In_original_list,FDR
CREB3L4,CREB3L4,MA1474.1,4.04974,2.53652e-05,0.825587,0.795119,0.0511768,38.0,False,0.00961801975
IRF4,IRF4,MA1419.1,3.97496,3.47886e-05,0.730861,0.700638,0.0549773,38.0,False,0.00961801975
FEV,FEV,MA0156.2,3.87557,5.25155e-05,0.873534,0.840666,0.0658295,38.0,False,0.00961801975
FLI1,FLI1,MA0475.2,3.81062,6.8494e-05,0.862353,0.82927,0.0660622,38.0,False,0.00961801975
ETV6,ETV6,MA0645.1,3.80846,6.92128e-05,0.884454,0.851358,0.0611238,38.0,False,0.00961801975
ELK1,ELK1,MA0028.2,3.78679,7.52888e-05,0.842286,0.805366,0.0793595,38.0,False,0.00961801975
ERG,ERG,MA0474.2,3.72906,9.5025e-05,0.879215,0.84857,0.0621286,38.0,False,0.00961801975
ZBTB33,ZBTB33,MA0527.1,3.72418,9.6907e-05,0.805519,0.772676,0.0660125,38.0,False,0.00961801975
GMEB2,GMEB2,MA0862.1,3.65279,0.000128654,0.844114,0.813104,0.0555569,38.0,False,0.01027399909090909
IRF6,IRF6,MA1509.1,3.64168,0.000134521,0.82098,0.792275,0.0470363,38.0,False,0.01027399909090909
ELK4,ELK4,MA0076.2,3.62626,0.000142335,0.885296,0.852902,0.0656818,38.0,False,0.01027399909090909
ETS1,ETS1,MA0098.3,3.58443,0.000167231,0.876216,0.846278,0.0617658,38.0,False,0.01063862276923077
ELK3,ELK3,MA0759.1,3.57339,0.000174184,0.859477,0.827514,0.0712716,38.0,False,0.01063862276923077
ETV2,ETV2,MA0762.1,3.37629,0.000363967,0.832372,0.805106,0.0608617,38.0,False,0.01882405858823529
Gmeb1,Gmeb1,MA0615.1,3.36835,0.000376717,0.841112,0.817285,0.0331198,38.0,False,0.01882405858823529
Ahr,Ahr::Arnt,MA0006.1,3.34957,0.000403034,0.948432,0.913397,0.052306,38.0,False,0.01882405858823529
Arnt,Ahr::Arnt,MA0006.1,3.34957,0.000403034,0.948432,0.913397,0.052306,38.0,False,0.01882405858823529
YY1,YY1,MA0095.2,3.2879,0.0005004,0.828677,0.796807,0.0718487,38.0,False,0.0220732
E2F4,E2F4,MA0470.2,3.25381,0.000566089,0.771027,0.747338,0.0445325,38.0,False,0.023656561368421054
ERF,ERF,MA0760.1,3.16913,0.000757333,0.857108,0.83128,0.0657047,38.0,False,0.0300661201
ETV5,ETV5,MA0765.2,3.13756,0.000844,0.881128,0.853063,0.0720848,38.0,False,0.03078009572727273
YY2,YY2,MA0748.2,3.13545,0.000852849,0.853654,0.821895,0.0654204,38.0,False,0.03078009572727273
HINFP,HINFP,MA0131.2,3.08056,0.00102764,0.847631,0.819262,0.0567717,38.0,False,0.03547592
ETS2,ETS2,MA1484.1,2.98089,0.00142473,0.873503,0.848397,0.0688211,38.0,False,0.04441891214285714
CREB3,CREB3,MA0638.1,2.97482,0.0014557,0.78237,0.760337,0.0541989,38.0,False,0.04441891214285714
ELF2,ELF2,MA1483.1,2.96587,0.00149985,0.815195,0.790052,0.058788,38.0,False,0.04441891214285714
IRF8,IRF8,MA0652.1,2.95324,0.00156157,0.739335,0.716154,0.0576033,38.0,False,0.04441891214285714
ELF5,ELF5,MA0136.2,2.95294,0.00156641,0.885954,0.864397,0.0443674,38.0,False,0.04441891214285714
MLX,MLX,MA0663.1,2.91962,0.00174078,0.799774,0.77323,0.0660661,38.0,False,0.04766135586206897
ZBTB7A,ZBTB7A,MA0750.2,2.90059,0.00185079,0.857263,0.829929,0.0669475,38.0,False,0.048984242
IRF9,IRF9,MA0653.1,2.8739,0.00202005,0.712809,0.68948,0.0434363,38.0,False,0.051739345161290314
E2F2,E2F2,MA0864.2,2.86027,0.0021062,0.775964,0.755513,0.0452547,38.0,False,0.052260087499999996
Creb3l2,Creb3l2,MA0608.1,2.80616,0.00249306,0.855771,0.831136,0.0604053,38.0,False,0.058490009999999995
E2F1,E2F1,MA0024.3,2.8051,0.00250461,0.790993,0.7698,0.0451835,38.0,False,0.058490009999999995
ZSCAN29,ZSCAN29,MA1602.1,2.7395,0.00305202,0.804194,0.784442,0.0615387,38.0,False,0.06923725371428571
ELF4,ELF4,MA0641.1,2.69785,0.00347169,0.803124,0.779983,0.0589615,38.0,False,0.075071112
ATF6,ATF6,MA1466.1,2.69041,0.00355411,0.755423,0.735722,0.0442673,38.0,False,0.075071112
TFEC,TFEC,MA0871.2,2.6741,0.00372994,0.821419,0.79543,0.0627761,38.0,False,0.075071112
ARNT2,ARNT2,MA1464.1,2.672,0.00375664,0.830849,0.803892,0.0582274,38.0,False,0.075071112
CREB3L4,CREB3L4,MA1475.1,2.6693,0.00378192,0.803306,0.780213,0.0587426,38.0,False,0.075071112
BHLHE41,BHLHE41,MA0636.1,2.64932,0.00401502,0.800149,0.775543,0.0600642,38.0,False,0.07775428975609756
ETV3,ETV3,MA0763.1,2.60408,0.00457212,0.856225,0.835857,0.0671567,38.0,False,0.08643484
CREB3L1,CREB3L1,MA0839.1,2.5378,0.00555157,0.755124,0.73715,0.0493133,38.0,False,0.10251038558139533
Arnt,Arnt,MA0004.1,2.51562,0.00591882,0.888793,0.86117,0.0688622,38.0,False,0.10317460391304348
ARNT,ARNT::HIF1A,MA0259.1,2.51256,0.00597737,0.915067,0.890666,0.0504009,38.0,False,0.10317460391304348
HIF1A,ARNT::HIF1A,MA0259.1,2.51256,0.00597737,0.915067,0.890666,0.0504009,38.0,False,0.10317460391304348
FOSL1,FOSL1::JUND,MA1143.1,2.47975,0.00654669,0.83132,0.80978,0.057907,38.0,False,0.10829316375
JUND,FOSL1::JUND,MA1143.1,2.47975,0.00654669,0.83132,0.80978,0.057907,38.0,False,0.10829316375
ZFP57,ZFP57,MA1583.1,2.4459,0.0072061,0.844163,0.822293,0.0472813,38.0,False,0.11676823265306122
Arntl,Arntl,MA0603.1,2.38876,0.00841984,0.840455,0.817467,0.0643676,38.0,False,0.1337070592
HIF1A,HIF1A,MA1106.1,2.25357,0.0120807,0.855568,0.833935,0.0546255,38.0,False,0.18807991764705884
Atf1,Atf1,MA0604.1,2.23432,0.0126843,0.859638,0.839285,0.0630351,38.0,False,0.19367950384615387
ZFP42,ZFP42,MA1651.1,2.21258,0.013419,0.75176,0.732999,0.055962,38.0,False,0.20103181132075473
