pathway,pval,padj,log2err,ES,NES,size,leadingEdge
KEGG_RIBOSOME,2.74207233060829e-33,6.41644925362339e-31,1.50238688881415,0.865327857915152,2.10934385148722,85,RPS27A|RPL41|RPL9|RPL26|RPL10A|RPL7A|RPL13|RPS3A|RPL27A|RPS18|FAU|RPS12|RPL3|RPL15|RPS15A|RPL17|RPL7|RPS19|RPS28|RPL21|RPL6|RPL10|RPL35|RPL37A|RPL14|RPL8|RPL18|RPS2|RPS15|RPS10|RPL23A|RPS4X|RPL19|RPL34|RPS3|RPS5|RPSA|RPS7|RPL32|RPL27|RPLP1|RPS9|RPS6|RPS16|RPS21|RPL29|RPL24|RPS27|RPL35A|RPL18A|RPL4|RPS13|RPL38|RPL36|RPS23|RPLP0|RPL13A|RPL39|RPS8|RPS11|RPS26|RPL5|RPS29|RPL37|UBA52|RPLP2|RPL30|RPL22L1|RPS25
KEGG_OXIDATIVE_PHOSPHORYLATION,8.68375663860929e-06,0.00101599952671729,0.593325476396405,0.58643393258476,1.44031317129565,100,ATP6V0E2|COX8A|COX7A1|COX4I1|ATP6V1G2|NDUFS3|COX7A2|COX7A2L|NDUFA4|PPA2|UQCRFS1|COX6A1|ATP6V1E1|UQCRH|ATP5MC3|ATP6V1D|COX5B|NDUFS6|CYC1|ATP6V0C|ATP6AP1|NDUFA7|NDUFV2|NDUFA5|UQCR11|NDUFB7|UQCRQ|ATP5MC2|NDUFB8|NDUFA1|COX6C|NDUFA2|COX11|UQCR10|COX7B|ATP5MC1|ATP5MF|NDUFB9|NDUFB5|NDUFB3|NDUFS5|ATP6V1F|UQCRB|COX7C|COX6B1|LHPP|NDUFB2|ATP6V1B2|NDUFB10|NDUFA11
KEGG_PARKINSONS_DISEASE,3.95689387760141e-05,0.0030863772245291,0.557332238758646,0.57190152282944,1.40462079399921,100,SLC25A5|COX8A|COX7A1|COX4I1|NDUFS3|CASP3|COX7A2|COX7A2L|NDUFA4|UQCRFS1|COX6A1|CYCS|PRKN|UQCRH|ATP5MC3|COX5B|NDUFS6|CYC1|NDUFA7|NDUFV2|NDUFA5|UQCR11|NDUFB7|UQCRQ|ATP5MC2|NDUFB8|NDUFA1|COX6C|NDUFA2|SNCA|UQCR10|SNCAIP|COX7B|ATP5MC1|NDUFB9|NDUFB5|VDAC2|NDUFB3|UBE2G2|NDUFS5|UBB|UQCRB|COX7C|COX6B1|NDUFB2
KEGG_ALZHEIMERS_DISEASE,5.58452904027748e-05,0.00326694948856233,0.557332238758646,0.545851507944435,1.35653364889084,132,COX8A|COX7A1|COX4I1|APH1A|NDUFS3|CASP3|COX7A2|COX7A2L|NDUFA4|UQCRFS1|GRIN2C|COX6A1|CYCS|UQCRH|ATP5MC3|CALM2|COX5B|NDUFS6|CYC1|GAPDH|CALM3|CACNA1C|NDUFA7|NDUFV2|NDUFA5|ADAM10|UQCR11|NDUFB7|UQCRQ|ATP5MC2|NDUFB8|NDUFA1|COX6C|NDUFA2|SNCA|APOE|UQCR10|COX7B|TNFRSF1A|ATP5MC1|NDUFB9|NDUFB5|LRP1|ATF6|NDUFB3|PPP3CC|CACNA1D|IDE|NDUFS5|UQCRB|COX7C|COX6B1|CASP7|CALM1|NDUFB2|NDUFB10|RYR3|CAPN2|ATP5F1B|NDUFAB1|PPP3R1|NDUFV1|PSEN1
HALLMARK_MYOGENESIS,0.000544955479545218,0.0255039164427162,0.477270815362862,0.524211518271176,1.30275460142796,132,NOTCH1|KIFC3|EIF4A2|COX7A1|SH2B1|PYGM|RB1|GNAO1|CKB|ADCY9|SCD|PFKM|MRAS|DMD|IFRD1|TPD52L1|DTNA|ATP6AP1|ITGB1|ITGB5|EFS|PDE4DIP|CAMK2B|PPP1R3C|BAG1|CAV3|GABARAPL2|MYL6B|PKIA|FXYD1|ADAM12|ABLIM1|CNN3|FGF2|LARGE1|NCAM1|FDPS|SORBS1|HSPB8|SH3BGR|GSN|PVALB|RYR1|BHLHE40|NQO1|ACTN2|AGL|SVIL|DMPK|MYH9|ITGA7|FABP3|PC|CDKN1A|GADD45B|CRYAB|WWTR1|DENND2B|ITGB4
KEGG_ADHERENS_JUNCTION,0.000764765024259939,0.0288067488703119,0.477270815362862,0.584922077441581,1.40480252818909,61,PARD3|IGF1R|FER|CREBBP|ACTG1|FYN|TJP1|ACTB|CTNNB1|AFDN|TCF7L2|VCL|PTPRJ|TCF7L1|EP300|CTNNA1|SMAD3|INSR|PTPRM|SORBS1|CTNNA2|FGFR1|ACTN4|MAP3K7|SMAD2|ACTN2|ACTN1
KEGG_MELANOGENESIS,0.000874670144021558,0.0288067488703119,0.477270815362862,0.575917265208492,1.38882166329527,66,PRKX|ADCY2|WNT7B|CREBBP|GNAO1|ADCY9|WNT7A|GNAI1|CAMK2G|CTNNB1|CALM2|TCF7L2|CALM3|TCF7L1|EP300|CAMK2B|CAMK2D|PRKCA|PRKACA|HRAS|WNT2B|ADCY3|DVL3|MITF|EDNRB|CALM1|FZD4
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.000984846115224339,0.0288067488703119,0.45505986738723,0.53816603212151,1.32560362413105,106,RPS6KA2|IRS2|BEX3|GAB1|YWHAH|SH2B1|RAP1A|PIK3CA|YWHAG|SORT1|FOXO3|SOS1|BRAF|YWHAB|MAPK10|SOS2|CAMK2G|CALM2|MAP2K5|CALM3|CAMK2B|TRAF6|ABL1|CAMK4|CAMK2D|RPS6KA3|PIK3CD|HRAS|AKT3|NTRK2|MAP3K5|NTRK3|YWHAQ|RPS6KA5|IKBKB|RAP1B|FRS2|BCL2|CALM1|MAPK8|IRS1
KEGG_LONG_TERM_POTENTIATION,0.001224148231351,0.0299568380614607,0.45505986738723,0.577639090341716,1.38731103815095,61,RPS6KA2|PRKX|RAP1A|CREBBP|BRAF|GRIN2C|CAMK2G|CALM2|PPP1CB|CALM3|CACNA1C|EP300|RAPGEF3|CAMK2B|CAMK4|CAMK2D|RPS6KA3|PRKCA|PRKACA|GRIA2|HRAS|PPP3CC|GRM1|RAP1B
KEGG_WNT_SIGNALING_PATHWAY,0.00135300362750369,0.0299568380614607,0.45505986738723,0.531950660511754,1.31138183765112,108,PRKX|NFAT5|WNT7B|DAAM2|CREBBP|DAAM1|CTBP2|BTRC|PRICKLE2|WNT7A|MAPK10|CAMK2G|TBL1X|CTNNB1|TCF7L2|CCND3|TCF7L1|NFATC2|WIF1|EP300|CAMK2B|CAMK2D|SMAD3|SKP1|NFATC1|CTNNBIP1|PRKCA|ROCK1|PRKACA|LRP5|WNT2B|PPP3CC|NFATC4|DVL3|PPP2R5C|MAP3K7|SMAD2|FZD4|MAPK8|RBX1|PPP3R1|PSEN1|CCND2|FZD3|PPP2CA|PPP3CA|APC2|ROCK2
