Item ID	Item value	Change in Kuiper test statistic when item removed
CA1	13.8110141134088	3.3306690738754696E-16
CCND3	21.5590768862574	0.07024824014664621
DAAM1	18.1791076808447	3.3306690738754696E-16
P4HA2	18.555482846327	3.3306690738754696E-16
RNF19A	18.6570768317727	3.3306690738754696E-16
MOCOS	19.8731191227379	0.009805557825751765
TMCC2	16.7818590106194	3.3306690738754696E-16
GCLM	17.0933128944254	3.3306690738754696E-16
ELL2	15.5443942253503	3.3306690738754696E-16
RHD	13.1295277169758	0.02839526651804203
