Item ID	Item value	Change in Kuiper test statistic when item removed
SREBF1	2.25788937161575	-2.220446049250313E-16
SHC1	-1.01344287135259	-2.220446049250313E-16
IRS1	-1.19346627652421	-2.220446049250313E-16
RPS6	0.152934992109061	-2.220446049250313E-16
PIK3CD	-2.56623032232103	-2.220446049250313E-16
PYGM	0.833209812662399	-2.220446049250313E-16
PRKX	-0.693673016335871	-2.220446049250313E-16
IRS2	-0.286042165185511	-2.220446049250313E-16
PYGL	3.13972646457045	-2.220446049250313E-16
SLC2A4	1.40549601172431	-2.220446049250313E-16
GCK	-1.1461604079221	-2.220446049250313E-16
HK2	-1.80403217037452	-2.220446049250313E-16
SOCS3	0.171345603097304	-2.220446049250313E-16
PPP1R3C	-0.626741434356452	-2.220446049250313E-16
PRKAR2B	-1.88774679829395	-2.220446049250313E-16
FASN	0.807125611356401	-2.220446049250313E-16
TRIP10	-0.0651474523145356	-2.220446049250313E-16
CALM3	-1.20122211127135	-2.220446049250313E-16
