Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
HALLMARK_PROTEIN_SECRETION	2	NA	NA	NA	NA	NA	NA
HALLMARK_ANGIOGENESIS	3	NA	NA	NA	NA	NA	NA
HALLMARK_MYC_TARGETS_V2	3	NA	NA	NA	NA	NA	NA
HALLMARK_WNT_BETA_CATENIN_SIGNALING	3	NA	NA	NA	NA	NA	NA
HALLMARK_APICAL_SURFACE	4	NA	NA	NA	NA	NA	NA
HALLMARK_PANCREAS_BETA_CELLS	4	NA	NA	NA	NA	NA	NA
HALLMARK_SPERMATOGENESIS	5	0.7	0.83125	0.0	0.0	0.6532042291814051	0.2846878362814097
HALLMARK_TGF_BETA_SIGNALING	6	0.5	0.7307692307692307	0.0	0.0	0.9687167819747433	23.584799554016552
HALLMARK_HEDGEHOG_SIGNALING	6	0.1	0.23243333333333335	0.0	0.0	0.9887314894731444	0.002811727002943968
HALLMARK_NOTCH_SIGNALING	6	1.0	1.0	0.0	0.0	0.8947520954571068	0.4552901084239256
HALLMARK_PEROXISOME	8	0.5	0.7307692307692307	0.0	0.0	0.9765834056415366	23.86047733112094
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	10	0.6	0.7664599999999999	0.0	0.0	0.967527694725644	0.2175519796367145
HALLMARK_PI3K_AKT_MTOR_SIGNALING	10	0.4	0.6333333333333334	0.0	0.0	0.9681788479734817	0.5446680098473317
HALLMARK_MITOTIC_SPINDLE	11	0.2	0.38000000000000006	0.0	0.0	0.9666070241833183	23.916781027966174
HALLMARK_BILE_ACID_METABOLISM	11	0.2	0.38000000000000006	0.0	0.0	0.9558911777090747	23.338292002551476
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	11	0.5	0.7307692307692307	0.0	0.0	0.9616700535998352	23.769848354848364
HALLMARK_G2M_CHECKPOINT	11	0.2	0.38000000000000006	0.0	0.0	0.9573323567265298	23.004577492007964
HALLMARK_E2F_TARGETS	12	0.9	0.9500000000000001	0.0	0.0	0.917533124259269	0.20628275650451805
HALLMARK_DNA_REPAIR	12	0.1078	0.23243333333333335	0.0	0.0	0.9348977577881786	23.281202438425513
HALLMARK_HEME_METABOLISM	13	0.1	0.23243333333333335	0.0	0.0	0.9527359504631898	0.03698476073969137
HALLMARK_KRAS_SIGNALING_DN	14	0.5	0.7307692307692307	0.0	0.0	0.9051151171766237	23.1576840730733
HALLMARK_CHOLESTEROL_HOMEOSTASIS	14	0.2	0.38000000000000006	0.0	0.0	0.9790529026735652	23.84848552213918
HALLMARK_FATTY_ACID_METABOLISM	14	0.9	0.9500000000000001	0.0	0.0	0.8852549972523294	23.922281300383844
HALLMARK_OXIDATIVE_PHOSPHORYLATION	16	0.0175	0.08312500000000002	0.0	0.0	0.9769938397659211	0.6599366928786443
HALLMARK_UV_RESPONSE_UP	16	0.1101	0.23243333333333335	0.0	0.0	0.7853188256896371	0.6962178340176068
HALLMARK_UV_RESPONSE_DN	17	0.4	0.6333333333333334	0.0	0.0	0.951072588850619	23.3103326796177
HALLMARK_ANDROGEN_RESPONSE	17	0.9	0.9500000000000001	0.0	0.0	0.9329593157827017	0.12607288132315494
HALLMARK_IL6_JAK_STAT3_SIGNALING	18	0.3	0.5181818181818182	0.0	0.0	0.9199538457682472	0.7061914591708345
HALLMARK_MYC_TARGETS_V1	18	0.5	0.7307692307692307	0.0	0.0	0.8278248684058579	23.111984045429626
HALLMARK_COAGULATION	20	0.5	0.7307692307692307	0.0	0.0	0.8773515759388479	0.10406724732370351
HALLMARK_ADIPOGENESIS	20	0.1	0.23243333333333335	0.0	0.0	0.9692394621250328	0.3520201378128673
HALLMARK_APICAL_JUNCTION	21	0.2	0.38000000000000006	0.0	0.0	0.8943880073607544	23.99463646623757
HALLMARK_XENOBIOTIC_METABOLISM	22	0.3	0.5181818181818182	0.0	0.0	0.9236423048287715	0.1236791036367106
HALLMARK_MTORC1_SIGNALING	22	0.5	0.7307692307692307	0.0	0.0	0.9238742127344103	23.636551372305156
HALLMARK_GLYCOLYSIS	22	0.6	0.7664599999999999	0.0	0.0	0.9420011708107848	0.013238210482739727
HALLMARK_IL2_STAT5_SIGNALING	23	0.3	0.5181818181818182	0.0	0.0	0.9468078029694519	0.3721655039800895
HALLMARK_INTERFERON_ALPHA_RESPONSE	23	7.0E-4	0.0066500000000000005	0.0	0.0	0.8695544778820408	0.5109322423131313
HALLMARK_ALLOGRAFT_REJECTION	24	0.8	0.8941176470588236	0.0	0.0	0.9127112450035408	0.33786096739903054
HALLMARK_KRAS_SIGNALING_UP	25	0.4	0.6333333333333334	0.0	0.0	0.943562933112354	23.789138279564806
HALLMARK_COMPLEMENT	25	0.1	0.23243333333333335	0.0	0.0	0.9480686680389822	0.46539986807665157
HALLMARK_INFLAMMATORY_RESPONSE	25	0.9	0.9500000000000001	0.0	0.0	0.9383919776513305	23.650050315050965
HALLMARK_APOPTOSIS	27	0.0451	0.17138	0.0	0.0	0.9175680360094514	0.49706333152772547
HALLMARK_ESTROGEN_RESPONSE_LATE	27	0.6051	0.7664599999999999	0.0	0.0	0.9557510917096674	23.57460713528695
HALLMARK_ESTROGEN_RESPONSE_EARLY	30	1.0	1.0	0.0	0.0	0.9213479199880428	23.86625026427093
HALLMARK_MYOGENESIS	33	0.1	0.23243333333333335	0.0	0.0	0.9083898741676459	23.7395968468423
HALLMARK_P53_PATHWAY	37	1.0	1.0	0.0	0.0	0.9141790004629419	0.15611598821443287
HALLMARK_HYPOXIA	38	0.2	0.38000000000000006	0.0	0.0	0.949658951577897	23.938225472384843
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	39	0.8	0.8941176470588236	0.0	0.0	0.8955615328086116	23.922937668953494
HALLMARK_INTERFERON_GAMMA_RESPONSE	42	0.0012	0.0076	0.0	0.0	0.8750570259651141	0.6855304259039032
HALLMARK_TNFA_SIGNALING_VIA_NFKB	45	0.0581	0.18398333333333333	0.0	0.0	0.9614553265311625	23.868752813584123
