"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"STAT3",0.00519798760174544,1.96242821603776,10.3213592695456,"['IFNAR2', 'SMAD1', 'HSP90AA1', 'CEBPB', 'HSPB1', 'NMI', 'IL1RAP', 'PML', 'IGF1R', 'NFKB2', 'SOCS3', 'NR4A1', 'BHLHE40', 'NFKBIZ', 'TRIP10', 'HES1', 'EPHB1', 'CRYAB', 'FGFR3', 'CD44', 'HES5']",0.956429718721162,0,0,21,"STAT3",0.956429718721162,5.78344348564237e-05,0.036459560771767,0.973535436716491,0.974228511488656,-0.0453072132708192,0.851698669127096,0.917837559672277,0.485221182377541,0.760418850715161,NA,0.796954504789944
"NFKB1",0.0148330117896255,1.76027239873828,7.41233114209996,"['SERPINA3', 'HSP90AA1', 'CEBPB', 'DST', 'IL1R1', 'IL18', 'HMGA2', 'PML', 'NFKB2', 'DNAJA1', 'SOCS3', 'NR4A1', 'ZFP36', 'TNIP2', 'NFKBIZ', 'SERPING1', 'MYH9', 'TAB2', 'MAP3K14', 'BANP', 'HSPA1A']",0.999613690582935,0,0,21,"NFKB1",0.999613690582935,0.000262424786973808,0.641219076275528,0.624523522345437,NA,-1.82160422835697,0.101311380030031,0.192703029982988,0.651094097430347,0.876243297421722,NA,0.99089712194382
"PPARD",0.0206453859801531,3.07535282258065,11.9331790726141,"['HSP90AA1', 'BCL6', 'GADD45A', 'NEDD4', 'SMAD9', 'RXRG']",0.999613690582935,0,0,6,"PPARD",0.999613690582935,0.320193820698853,0.358870583552936,NA,NA,NA,0.22926620430898,0.118790161683466,NA,NA,NA,NA
"ZNF274",0.073975499086396,5.44964349376114,14.1909879206041,"['SERPING1', 'ZNF10']",0.999613690582935,0,0,2,"ZNF274",0.999613690582935,0.0851822677811137,0.440082532473834,NA,NA,NA,0.062047174898694,0.0414460270723224,NA,NA,NA,NA
"TCF4",0.0927609049999881,2.21258842735353,5.2609379041212,"['LGALS3', 'EGR1', 'NR4A1', 'ID2', 'PML']",0.999613690582935,0,0,5,"TCF4",0.999613690582935,9.71091294363113e-07,0.00605929346799432,0.884863596749327,0.884858316503494,-0.308521065497622,0.149572171150135,0.39942784291388,0.409478561787312,0.797043480075974,NA,0.365408443106749
"EGR1",0.101096261554907,2.42438685334128,5.55592403124732,"['CEBPB', 'NFATC2', 'NFATC1', 'CDK5R1']",0.999613690582935,0,0,4,"EGR1",0.999613690582935,0.0274539476758059,0.0165449094112012,0.888093318540908,0.888858527454618,0.370266560093255,0.98090533740229,0.769086273909613,NA,NA,NA,NA
"NR2C2",0.101096261554907,2.42438685334128,5.55592403124732,"['CEBPB', 'HSP90AA1', 'TAB2', 'FKBP5']",0.999613690582935,0,0,4,"NR2C2",0.999613690582935,0.0790258699746131,0.826476116563213,NA,NA,NA,0.022752213748642,0.140795181937803,0.928475964820423,0.808627534012811,NA,0.362579127636926
"DMRT1",0.112185693210199,16.3337783711616,35.7317703881496,"['TRIM29']",0.999613690582935,0,0,1,"DMRT1",0.999613690582935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HSF1",0.112546311675043,1.65755356411773,3.62074423004478,"['HSP90AA1', 'CEBPB', 'HSPB2', 'HSPB1', 'PRKCQ', 'FILIP1', 'HSPA1B', 'FKBP5', 'HSPA1A']",0.999613690582935,0,0,9,"HSF1",0.999613690582935,0.0134215664356736,0.00553463727568931,0.995409864737248,0.995342345245483,-0.065698663569118,0.0550042104004025,0.0338602872401226,NA,NA,NA,NA
"MYCN",0.130963996683346,2.58211794546607,5.24901412539701,"['HES6', 'GRK5', 'NMI']",0.999613690582935,0,0,3,"MYCN",0.999613690582935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
