Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932,0.00043302676447239314,2.258433283358321,17.490913137915708,"['PFKFB2', 'PFKFB1', 'LAMA5', 'CRTC2', 'CSF1', 'CAB39L', 'IRS1', 'TNC', 'PIK3CD', 'IRS2', 'SLC2A4', 'PIK3C2A', 'IGF1R', 'CREB3L4', 'TNR', 'IFNAR2', 'HSP90AA1', 'EGF', 'HGF', 'OSMR', 'VEGFA', 'EFNA1', 'COL5A1', 'FGFR3', 'EPHA2']",0.08051001158029973,0,0,25
2,Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706,0.0005583249126112472,2.815467563337005,21.08945541418615,"['EGR1', 'SNAP25', 'CEBPB', 'CHRNA4', 'BDNF', 'GCK', 'NFKB2', 'VEGFA', 'ADCYAP1', 'PRKAR2B', 'PAH', 'BHLHE40', 'HES1', 'YWHAG', 'HES5', 'YWHAH']",0.08051001158029973,0,0,16
3,Nuclear Receptors Meta-Pathway WP2882,0.0005742303520164375,2.252042769762338,16.805823975390737,"['EGR1', 'NQO1', 'HSP90AA1', 'SRXN1', 'HGF', 'AMIGO2', 'SLC39A11', 'IRS2', 'DBI', 'NRG1', 'SLC2A4', 'SLC5A3', 'SLC39A14', 'NFKB2', 'CYP3A7', 'FASN', 'ENC1', 'BHLHE40', 'HMOX1', 'HES1', 'EPHA2', 'SLC19A2', 'HSPA1A', 'FKBP5']",0.08051001158029973,0,0,24
4,IL-18 signaling pathway WP4754,0.0008120049453965381,2.2806490384615383,16.229107970914573,"['CEBPB', 'NRN1', 'HSPB8', 'IL18', 'PLOD3', 'HSPB1', 'TNFRSF11B', 'KLF2', 'VEGFA', 'NFKB2', 'TNFRSF1A', 'ACTA2', 'SOCS3', 'NR4A1', 'CLDN4', 'NFKBIZ', 'HMOX1', 'FAS', 'CYCS', 'KIFC3', 'PTPN7', 'MYD88']",0.08051001158029973,0,0,22
5,Differentiation Pathway WP2848,0.0009338729999551639,6.56989247311828,45.832687453079295,"['NT5E', 'CSF1', 'EGF', 'HGF', 'WNT7B', 'VEGFA']",0.08051001158029973,0,0,6
6,Vitamin D Receptor Pathway WP2877,0.0014506243220492189,3.044402751719825,19.89748952886722,"['SERPINB1', 'CEACAM1', 'BCL6', 'GADD45A', 'S100A6', 'NFATC2', 'CD9', 'PRKCQ', 'TNFRSF11B', 'SLC2A4', 'ATP2C2', 'ZNF257']",0.08051001158029973,0,0,12
7,Complement system WP2806,0.0014843681042211606,4.244500478219285,27.64343889529042,"['LAMA5', 'C1R', 'PROS1', 'CFI', 'F11', 'SERPING1', 'CD59', 'KLKB1']",0.08051001158029973,0,0,8
8,Complement and Coagulation Cascades WP558,0.0015735006286937444,5.7960151802656545,37.41010433360576,"['C1R', 'PROS1', 'CFI', 'SERPING1', 'F3', 'KLKB1']",0.08051001158029973,0,0,6
9,MAPK Signaling Pathway WP382,0.002003931695116617,2.1069999364797054,13.090040893923751,"['IL1R1', 'GADD45A', 'BDNF', 'EGF', 'HSPB1', 'NFATC1', 'HSPA2', 'NFKB2', 'TNFRSF1A', 'NR4A1', 'MRAS', 'FLNA', 'FAS', 'TAB2', 'PTPN7', 'MAP3K6', 'CACNG2', 'FGFR3', 'MAP3K14', 'HSPA1B', 'HSPA1A', 'MAP2K6']",0.08051001158029973,0,0,22
10,Globo Sphingolipid Metabolism WP1424,0.0021917341122076844,6.836129753914989,41.858047802803185,"['ST6GAL1', 'ST6GAL2', 'ST8SIA1', 'FUT2', 'A4GALT']",0.08051001158029973,0,0,5
11,Osteoblast differentiation WP4787,0.002261650703849498,2.8669730175562624,17.464625805041965,"['FZD1', 'HES6', 'NOTCH3', 'SMAD1', 'FZD5', 'WNT7B', 'FZD9', 'SMAD9', 'PIK3CD', 'PRKCQ', 'PIK3C2A', 'FGFR3']",0.08051001158029973,0,0,12
12,NRF2 pathway WP2884,0.0023327286764187397,2.714185115847689,16.449906762269368,"['EGR1', 'NQO1', 'HSP90AA1', 'SRXN1', 'HGF', 'SLC39A11', 'NRG1', 'SLC2A4', 'SLC5A3', 'SLC39A14', 'HMOX1', 'EPHA2', 'HSPA1A']",0.08051001158029973,0,0,13
13,Signal transduction through IL1R WP4496,0.002500898660832503,5.185059422750425,31.06423619704283,"['IRAK2', 'IL1R1', 'IL1RAP', 'MAP3K14', 'MYD88', 'MAP2K6']",0.08051001158029973,0,0,6
14,Adipogenesis WP236,0.002572223842635359,2.6800373134328357,15.98102081421744,"['FZD1', 'CEBPB', 'IRS1', 'GADD45A', 'EBF1', 'IRS2', 'SLC2A4', 'SOCS3', 'KLF6', 'BMP1', 'PNPLA3', 'FAS', 'RXRG']",0.08051001158029973,0,0,13
15,EGFR Tyrosine Kinase Inhibitor Resistance WP4806,0.0026541762059439475,2.9706515228820516,17.620778816244496,"['MRAS', 'SHC1', 'EGF', 'HGF', 'GAB1', 'PLCG2', 'PIK3CD', 'NRG1', 'FGFR3', 'IGF1R', 'VEGFA']",0.08051001158029973,0,0,11
16,Vitamin A and carotenoid metabolism WP716,0.003094796590459131,4.925403225806452,28.459142854728466,"['RBP4', 'RBP2', 'RBP1', 'BCO2', 'BCO1', 'RXRG']",0.08800827804118154,0,0,6
17,Blood Clotting Cascade WP272,0.0033646441043157335,16.37483266398929,93.24538889014518,"['F11', 'F3', 'KLKB1']",0.09005370985080347,0,0,3
18,Structural Pathway of Interleukin 1 (IL-1) WP2637,0.005051191473114574,3.3716220886032207,17.829579719448102,"['IL1R1', 'IRAK2', 'IRF7', 'TAB2', 'IL1RAP', 'MAP3K14', 'MYD88', 'MAP2K6']",0.12211989298779703,0,0,8
19,Hypertrophy Model WP516,0.0051884507290455096,7.283884420613643,38.322847778838714,"['IL1R1', 'IFRD1', 'IL18', 'VEGFA']",0.12211989298779703,0,0,4
20,Breast cancer pathway WP4262,0.00549293252435357,2.331796223100571,12.135350781433424,"['FZD1', 'NOTCH3', 'FZD5', 'SHC1', 'GADD45A', 'EGF', 'WNT7B', 'FZD9', 'PIK3CD', 'IGF1R', 'NFKB2', 'FRAT2', 'HES1', 'HES5']",0.12211989298779703,0,0,14
21,Gene regulatory network modelling somitogenesis  WP2854,0.00563630275328294,12.28012048192771,63.59293509369632,"['LFNG', 'HES1', 'TBX6']",0.12211989298779703,0,0,3
