"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor_BHQ","edgeR_DE_BHQ","cycling_PRTN_CTL_BHQ","cycling_PRTN_AD_BHQ","DR_PRTN_BHQ","DM_PRTN_BHQ"
"ESR1",0.0138229127993286,1.37773622452481,5.89867805687316,"['EIF4A1', 'PYGB', 'THRB', 'IRS1', 'CHD9', 'RPLP0', 'FHL1', 'HMGB2', 'NAT10', 'IRS2', 'RPL10A', 'RPS6KA3', 'PSMD6', 'XPO1', 'MED13', 'RPL36AL', 'SNRPD1', 'RPS6KA2', 'TRIM25', 'EP300', 'SEC61B', 'RPS12', 'VAV3', 'NCOA1', 'DDX17', 'SMARCC2', 'RPS8', 'MRPS6', 'MED6', 'PIAS1', 'DDB1', 'RPL37A', 'DNAJB11', 'LCOR', 'MCM5', 'RPL29', 'STAU1', 'SHC1', 'IQGAP1', 'NR2C2', 'NR2C1', 'RAP1A', 'RPS15A', 'RPL13', 'FLNA', 'RBBP6', 'SEC11A', 'SMAD2', 'NPM1', 'GSN', 'NR2F1', 'RPL23A', 'DEK', 'PRDX6', 'ASXL1', 'VAPA', 'SP3', 'RPS20', 'VPS45', 'EIF4G3', 'PFKP', 'RPS24', 'FERMT2']",0.857779650279431,0,0,63,"ESR1",0.857779650279431,0.0116637185989631,0.951546776661054,0.702472769364355,0.697705594737467,-1.36563731217018,0.485299216456854,0.473649972004574,NA,NA,NA,NA
"CRX",0.0149882304740482,7.59987515605493,31.923199753327,"['ATXN7', 'SP3', 'EP300']",0.857779650279431,0,0,3,"CRX",0.857779650279431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPARGC1A",0.019146383875472,2.5946755051855,10.2636058809713,"['NCOA1', 'THRB', 'FBXW7', 'EP300', 'NRF1', 'IQGAP1', 'LRPPRC', 'PIAS1']",0.857779650279431,0,0,8,"PPARGC1A",0.857779650279431,0.0022247293330648,0.0622771115844711,0.770856498124662,0.768032104125749,-0.0992400969716937,0.717381657174421,0.94554197577012,NA,NA,NA,NA
"E2F2",0.0232568754833485,3.45858459437934,13.0082709103132,"['HEPH', 'TFDP2', 'ARID3A', 'RPS24', 'MCPH1']",0.857779650279431,0,0,5,"E2F2",0.857779650279431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SOX2",0.0281282416233502,2.39038328899399,8.53601370781763,"['XPO1', 'SMARCC2', 'NFIB', 'DOCK7', 'RFX3', 'SOX8', 'TEAD1', 'RAD23B']",0.857779650279431,0,0,8,"SOX2",0.857779650279431,9.41142784417294e-05,0.248403302747741,0.557410493085122,0.537806899177004,-0.135885380346308,0.823451082469588,0.598284546673004,0.458185531872514,0.702032181770732,NA,0.0758987072643977
"EZH2",0.0283388758323569,2.04670439516501,7.29347350489954,"['KLHDC2', 'DDB1', 'ASXL1', 'UHRF1', 'DNAJB11', 'ATRX', 'EPC1', 'RORA', 'WDR61', 'PIN4', 'ZMYND11']",0.857779650279431,0,0,11,"EZH2",0.857779650279431,0.166274016028819,0.276484176555898,NA,NA,NA,0.279735581717628,0.29063993710049,NA,NA,NA,NA
"HOXB4",0.0337772907722559,10.1230257689111,34.2964729221083,"['DDB1', 'EP300']",0.857779650279431,0,0,2,"HOXB4",0.857779650279431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RAD21",0.0347363253865852,1.6677307425399,5.60352409305434,"['EIF4A1', 'CBR1', 'RPL23', 'RPL23A', 'AMPD3', 'PDS5B', 'DEK', 'PPM1D', 'LRPPRC', 'DDB1', 'STAG1', 'RPS15A', 'PDZD2', 'RPL13', 'RPS20', 'PIN4', 'NAA15', 'EIF3D']",0.857779650279431,0,0,18,"RAD21",0.857779650279431,0.00316230452556618,0.00274715839522509,0.84185484739671,0.839700967829945,0.403228350544324,0.431360240963557,0.424762024825303,0.22153079400454,0.862931513462543,NA,0.337153317938522
"MYB",0.0384226293995288,2.11018867924528,6.87733425295698,"['DDB1', 'MAF', 'KIF2A', 'FBXW7', 'EP300', 'FLNA', 'ZMYND11', 'PCDH17', 'PIAS1']",0.857779650279431,0,0,9,"MYB",0.857779650279431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AHR",0.0389899841036105,2.60923737916219,8.46554147688998,"['NCOA1', 'DDB1', 'XPO1', 'MAF', 'NR2F1', 'EP300']",0.857779650279431,0,0,6,"AHR",0.857779650279431,0.0173467733818829,0.492854762818923,0.802603402240297,0.801795794372567,-0.881281664776541,0.346777936320149,0.862689665853513,NA,NA,NA,NA
"TCF12",0.0437381189909316,3.37861111111111,10.5734826323926,"['SMAD2', 'EP300', 'SOX8', 'PRSS23']",0.874762379818632,0,0,4,"TCF12",0.874762379818632,4.45218751838807e-08,0.00468438332090443,NA,NA,NA,0.107351422924484,0.196108307957053,NA,NA,NA,NA
"STAT4",0.0576804276231813,3.04025,8.6733388211843,"['FHL1', 'EP300', 'JAK1', 'PIAS1']",0.955353327605135,0,0,4,"STAT4",0.955353327605135,0.0780928991648199,0.478628888678073,NA,NA,NA,0.714797422257029,0.632226903464928,0.659515293335617,0.792858882133107,NA,0.122488862615361
"LMO4",0.0737130727759206,2.76340909090909,7.20579678432401,"['DDB1', 'TSEN15', 'DEAF1', 'SSBP2']",0.955353327605135,0,0,4,"LMO4",0.955353327605135,6.74364989530301e-06,0.0262895146737136,0.924995720520794,0.928516202400913,-0.22318094581721,0.962531866733657,0.92255539693312,NA,NA,NA,NA
