Item ID	Item value	Change in Kuiper test statistic when item removed
COX6A1	12.3128092819879	-0.0013675573322132761
CREB3L2	0.421427083154445	0.008941721018302151
AP2M1	11.729864214337	-0.0013675573322132761
COX6B1	12.0609641581608	-0.0013675573322132761
VDAC3	13.0276618000242	0.0034161674939159337
UQCRC1	12.2202668593844	-0.0013675573322132761
VDAC2	11.5675999369428	-0.0013675573322132761
VDAC1	11.2464175844764	-0.0013675573322132761
UQCRB	11.7875851761326	-0.0013675573322132761
NDUFB10	11.3541988267716	-0.0013675573322132761
ATP5MC2	11.8469730580696	-0.0013675573322132761
ATP5MC3	11.9170571128036	-0.0013675573322132761
COX7A2	11.4425245475421	-0.0013675573322132761
NRF1	23.399063189722	0.008941721018302151
COX7A1	11.7183854320844	-0.0013675573322132761
UQCRH	11.8856482428745	-0.0013675573322132761
ATP5MC1	11.0558577423296	-0.0013675573322132761
CYC1	11.729244368778	-0.0013675573322132761
NDUFV1	11.2328802425058	-0.0013675573322132761
BDNF	5.66279124048814	0.008941721018302151
UQCRQ	10.8169798056528	0.0013807247123753807
DLG4	12.2858294343278	-0.0013675573322132761
CYCS	11.4217176498672	-0.0013675573322132761
DNAL4	9.60975514203037	0.008941721018302151
COX7B	11.8572929533972	-0.0013675573322132761
HIP1	0.86534861453663	0.008941721018302151
COX4I1	11.4947811993769	-0.0013675573322132761
CLTC	11.797756118503	-0.0013675573322132761
CLTB	12.9128524041971	8.830940714210644E-5
CLTA	11.303667334808	-0.0013675573322132761
COX7C	11.710528783952	-0.0013675573322132761
DNALI1	12.7452983178673	-0.0013675573322132761
BBC3	12.1200202871514	-0.0013675573322132761
GRM5	23.0969622224807	0.008941721018302151
CASP8	8.96549675267341	0.008941721018302151
UQCRFS1	11.0508426753201	-0.0013675573322132761
COX8A	11.413229705892	-0.0013675573322132761
NDUFC2	11.700857845251	-0.0013675573322132761
NDUFC1	12.2542857240801	-0.0013675573322132761
CREB3	11.560050451366	-0.0013675573322132761
PLCB4	22.4169909840025	0.008941721018302151
NDUFS8	12.6549856469632	-0.0013675573322132761
NDUFS6	10.6763454359623	0.00449220807155748
NDUFS5	11.2197437778546	-0.0013675573322132761
NDUFS3	12.2457492589735	-0.0013675573322132761
NDUFS2	12.0173816615219	-0.0013675573322132761
PPARG	22.5452805753879	0.008941721018302151
HAP1	16.6709282892653	0.008941721018302151
SLC25A5	11.7227395280257	-0.0013675573322132761
PLCB1	0.7606677890792	0.008941721018302151
SLC25A4	12.0032706639633	-0.0013675573322132761
PLCB2	12.1176100595522	-0.0013675573322132761
SLC25A6	12.2318352189447	-0.0013675573322132761
NDUFB9	11.9165903183323	-0.0013675573322132761
NDUFB8	11.2513201827247	-0.0013675573322132761
NDUFB7	11.1264036855382	-0.0013675573322132761
DCTN2	10.9897268854448	-0.0013675573322132761
DCTN1	11.8771302818462	-0.0013675573322132761
NDUFB5	11.8387259068234	-0.0013675573322132761
NDUFB4	12.5661510229735	-0.0013675573322132761
NDUFB3	11.7575312025164	-0.0013675573322132761
NDUFB2	11.2911459266304	-0.0013675573322132761
NDUFB1	9.95063919522582	0.008941721018302151
UQCR11	11.6039046968443	-0.0013675573322132761
UQCR10	11.7795276590828	-0.0013675573322132761
COX5B	11.7212349403017	-0.0013675573322132761
COX5A	12.2400385372866	-0.0013675573322132761
ATP5F1A	12.405691892212	-0.0013675573322132761
ATP5F1B	11.5389290435937	-0.0013675573322132761
POLR2C	11.7459369661085	-0.0013675573322132761
POLR2D	11.9433106980525	-0.0013675573322132761
POLR2E	11.5450517922724	-0.0013675573322132761
AP2S1	11.8161062796041	-0.0013675573322132761
POLR2G	10.9983376877394	-0.0013675573322132761
POLR2I	11.333318989375	-0.0013675573322132761
POLR2J	12.2241771388653	-0.0013675573322132761
DNAI1	23.6202598987708	0.008941721018302151
POLR2K	11.6977604911939	-0.0013675573322132761
POLR2L	11.2712719252555	-0.0013675573322132761
ATP5PF	11.1126156841154	-0.0013675573322132761
NDUFA8	11.7734132319574	-0.0013675573322132761
NDUFA7	11.0181540937992	-0.0013675573322132761
ATP5PD	11.2300023790398	-0.0013675573322132761
NDUFA6	11.6346400919479	-0.0013675573322132761
NDUFA5	11.0743230735281	-0.0013675573322132761
NDUFA4	12.0707239522172	-0.0013675573322132761
ATP5PB	11.3314845550675	-0.0013675573322132761
NDUFA3	12.2577279524725	-0.0013675573322132761
NDUFA2	11.1739938344765	-0.0013675573322132761
NDUFA1	11.4467425212504	-0.0013675573322132761
COX6C	11.7914620227093	-0.0013675573322132761
SOD2	12.2802254973065	-0.0013675573322132761
ATP5F1D	12.3365506986021	-0.0013675573322132761
ATP5F1E	11.413793481345	-0.0013675573322132761
SOD1	12.2096835374068	-0.0013675573322132761
NDUFAB1	11.1259427093298	-0.0013675573322132761
ATP5PO	12.2509574618449	-0.0013675573322132761
BAX	11.1477810318398	-0.0013675573322132761
