Item ID	Item value	Change in Kuiper test statistic when item removed
CD74	0.447303799826359	0.046819751222850314
HSPA8	11.4005448871016	0.007788193993201742
CIITA	10.0680785655728	0.046783625730994816
HSP90AA1	12.1708530947668	-0.008735804332705266
HSP90AB1	12.7139536930711	-0.008735804332705266
HSPA1L	12.4604715300757	-0.008735804332705266
HSPA5	12.529144815357	-0.008735804332705266
HLA-C	12.3882906880126	-0.008735804332705266
TAP1	14.6343166753934	-0.0017499374867511186
HLA-F	14.4666558710905	-0.008735804332705266
RFX5	12.1467202973229	-0.008735804332705266
CANX	12.2076431345271	-0.008735804332705266
PSME1	12.8650687515816	-0.008735804332705266
KLRD1	19.5638865930939	0.0468197512228502
CALR	12.1807224783878	-0.008735804332705266
HSPA1B	13.6815530454751	-0.008735804332705266
HSPA1A	14.1041894198568	-0.008735804332705266
CTSB	11.7979878587279	-0.008735804332705266
HLA-DQB1	12.3078624427939	-0.008735804332705266
