Item ID	Item value	Change in Kuiper test statistic when item removed
EIF4A2	12.2075438915026	-5.807200929155432E-4
CEBPB	12.0843408297178	-5.807200929155432E-4
DCTN1	12.0449503000262	-5.807200929155432E-4
POP4	11.8636200318199	-5.807200929155432E-4
EIF4A3	11.9067313569601	-5.807200929155432E-4
NOLC1	11.6009826476832	-5.807200929155432E-4
IFIT1	13.5188839767389	0.023809523809523503
HERPUD1	12.6617659641133	-5.807200929155432E-4
HSP90B1	11.9809608967997	-5.807200929155432E-4
RRP9	11.0713360189558	-5.807200929155432E-4
CKS1B	11.8969017937429	-5.807200929155432E-4
RPS14	11.3175344064329	-5.807200929155432E-4
EXOSC5	11.3489665721987	-5.807200929155432E-4
EXOSC4	12.5466441622623	-5.807200929155432E-4
DNAJB9	11.7116368956642	-5.807200929155432E-4
BANF1	12.0925879485002	-5.807200929155432E-4
CHAC1	12.6138361299731	-5.807200929155432E-4
XBP1	11.7263671498591	-5.807200929155432E-4
NPM1	11.430679751242	-5.807200929155432E-4
HSPA5	12.529144815357	-5.807200929155432E-4
WFS1	12.1900051451446	-5.807200929155432E-4
IMP3	12.4357604925083	-5.807200929155432E-4
EEF2	12.4992828219616	-5.807200929155432E-4
LSM4	11.0198007906521	-5.807200929155432E-4
YWHAZ	10.7056969769306	-5.807200929155432E-4
YIF1A	11.5190233078435	-5.807200929155432E-4
SLC7A5	10.4546380548799	-5.807200929155432E-4
SPCS3	12.138910209499	-5.807200929155432E-4
SPCS1	11.4250808750298	-5.807200929155432E-4
TUBB2A	11.1204383170139	-5.807200929155432E-4
DNAJA4	11.6191682498826	-5.807200929155432E-4
DDIT4	12.7473823238626	0.002986628229971977
NHP2	11.4552849977168	-5.807200929155432E-4
SRPRA	11.9162995767826	-5.807200929155432E-4
GEMIN4	10.9317646391271	-5.807200929155432E-4
SRPRB	11.7092122482056	-5.807200929155432E-4
HYOU1	11.9815893139417	-5.807200929155432E-4
PREB	12.0082135633723	-5.807200929155432E-4
CALR	12.1807224783878	-5.807200929155432E-4
ATP6V0D1	11.443355041098	-5.807200929155432E-4
ATF4	10.2723570659907	0.007014321110801136
EIF4G1	11.6494730571559	-5.807200929155432E-4
