Item ID	Item value	Change in Kuiper test statistic when item removed
COX7B	10.8579101794548	-8.281573498962747E-4
COX4I1	10.7621251189872	-8.281573498962747E-4
ATP2A2	11.8191427792322	-8.281573498962747E-4
COX6A1	11.0554809061454	-8.281573498962747E-4
COX7C	11.1296345265041	-8.281573498962747E-4
UQCRFS1	10.7687645175854	-8.281573498962747E-4
CHP1	9.84808790385799	-8.281573498962747E-4
PSENEN	11.3813666411308	-8.281573498962747E-4
COX8A	10.2505184891549	-8.281573498962747E-4
NDUFC2	11.2920568158415	-8.281573498962747E-4
NDUFC1	11.1193947908494	-8.281573498962747E-4
COX6B1	11.066238989422	-8.281573498962747E-4
BACE2	21.0036016966274	0.013664596273292084
NDUFS6	9.91919461974761	-8.281573498962747E-4
NDUFS5	10.9315334123054	-8.281573498962747E-4
NDUFS3	11.4531586776608	-8.281573498962747E-4
NDUFS2	11.6687091847668	-8.281573498962747E-4
GAPDH	11.4358275587908	-8.281573498962747E-4
PLCB2	13.0332443540885	0.013664596273292084
NDUFB9	10.8928736960223	-8.281573498962747E-4
NDUFB8	10.8155324232684	-8.281573498962747E-4
NDUFB7	10.5609978301716	-8.281573498962747E-4
UQCRB	10.8377776096736	-8.281573498962747E-4
NDUFB10	10.7988582789816	-8.281573498962747E-4
NDUFB5	11.4527809656331	-8.281573498962747E-4
NDUFB4	11.7469165654844	-8.281573498962747E-4
NDUFB3	10.6964913409797	-8.281573498962747E-4
ATP5MC2	11.7894504527268	-8.281573498962747E-4
NDUFB2	10.2443509653734	-8.281573498962747E-4
LPL	9.81147104305129	6.975451837163416E-4
ATP5MC3	11.3827974404288	-8.281573498962747E-4
NDUFB1	10.1931286992837	-8.281573498962747E-4
ITPR2	22.053492564128	0.013664596273292084
COX7A2	10.7331777749017	-8.281573498962747E-4
UQCR11	10.6970083588046	-8.281573498962747E-4
UQCR10	11.0127671689928	-8.281573498962747E-4
CACNA1C	23.6358551054661	0.013664596273292084
COX5B	10.8435440176665	-8.281573498962747E-4
COX5A	11.169609505951	-8.281573498962747E-4
COX7A1	10.6100015797468	-8.281573498962747E-4
UQCRH	11.0980956953879	-8.281573498962747E-4
ATP5MC1	10.7284022175929	-8.281573498962747E-4
ATP5F1B	10.962689286378	-8.281573498962747E-4
FADD	12.0238036620613	-8.281573498962747E-4
CYC1	10.8699798027849	-8.281573498962747E-4
MAPK3	12.4353448035031	0.005585639998828773
ATP5PF	10.7982667445857	-8.281573498962747E-4
NDUFA8	11.1759173725599	-8.281573498962747E-4
NDUFA7	10.800062171237	-8.281573498962747E-4
ATP5PD	10.4746120556589	-8.281573498962747E-4
NDUFA6	10.9830395462453	-8.281573498962747E-4
NDUFA5	10.7595088117268	-8.281573498962747E-4
NDUFA4	11.4102170282047	-8.281573498962747E-4
ATP5PB	11.4467145422514	-8.281573498962747E-4
BAD	10.7859476644708	-8.281573498962747E-4
NDUFA3	10.8814312230461	-8.281573498962747E-4
NDUFA2	10.1462605184112	-8.281573498962747E-4
NDUFA1	10.8490251004088	-8.281573498962747E-4
COX6C	10.8155456431374	-8.281573498962747E-4
ATP5F1D	10.6766640515554	-8.281573498962747E-4
ATP5F1E	10.6271524064557	-8.281573498962747E-4
CDK5	10.8871788386376	-8.281573498962747E-4
UQCRQ	10.1434084230681	-8.281573498962747E-4
NDUFAB1	10.5574899586926	-8.281573498962747E-4
ATP5PO	10.8941532807889	-8.281573498962747E-4
CYCS	10.8693995287807	-8.281573498962747E-4
CALM3	11.2026820122719	-8.281573498962747E-4
CALM1	12.2814136671337	-8.281573498962747E-4
CALM2	11.1935637309014	-8.281573498962747E-4
CDK5R1	12.2061751339234	-8.281573498962747E-4
