Item ID	Item value	Change in Kuiper test statistic when item removed
LAMA2	23.2114921352047	0.06043956043956056
HLA-C	12.4215451457554	-0.016483516483516314
ACTB	11.8165533230731	-0.016483516483516314
ACTG1	11.3570597544416	-0.016483516483516314
SGCD	23.0444647380726	0.06043956043956056
ABL1	0.342833333238414	0.06043956043956056
RAC3	11.1287171587479	-0.016483516483516314
CYCS	10.8693995287807	-0.005678615234883
RAC1	11.5016012044857	-0.016483516483516314
EIF4G2	11.3000265264845	-0.016483516483516314
SGCG	14.0430945465838	-0.016483516483516314
EIF4G1	11.7383497142058	-0.016483516483516314
HLA-DQB1	12.8950457296342	-0.016483516483516314
MYH7	14.3301368928753	-0.004523418721370409
