Item ID	Item value	Change in Kuiper test statistic when item removed
YWHAE	11.0587023936296	-2.801120448181482E-4
HDDC2	11.0403783360687	-2.801120448181482E-4
SLC25A3	11.127625385152	-2.801120448181482E-4
RPL34	10.8132273371001	-2.801120448181482E-4
RPLP0	11.8857118953827	-2.801120448181482E-4
PHB2	11.7704878101364	-2.801120448181482E-4
RPL6	11.2401512398144	-2.801120448181482E-4
RRP9	10.4252771826387	-2.801120448181482E-4
PSMD8	11.4209797524492	-2.801120448181482E-4
EEF1B2	10.3896309549817	-2.801120448181482E-4
FBL	11.1262572262566	-2.801120448181482E-4
PSMD7	11.0683462518223	-2.801120448181482E-4
YWHAQ	11.2909756162461	-2.801120448181482E-4
SNRPD1	10.2133966107603	0.006682319629723654
PSMD3	11.4749298387359	-2.801120448181482E-4
RACK1	12.0314843981014	-2.801120448181482E-4
MRPL9	11.1295058267978	-2.801120448181482E-4
ACP1	11.4369843627183	-2.801120448181482E-4
RPS10	10.6026025284292	-2.801120448181482E-4
VBP1	11.1014282654487	-2.801120448181482E-4
EIF1AX	12.3581109659552	-2.801120448181482E-4
NCBP2	11.8112401431418	-2.801120448181482E-4
RPS5	11.5021852680889	-2.801120448181482E-4
RPL22	10.929801909449	-2.801120448181482E-4
RPS6	11.1221266126	-2.801120448181482E-4
MRPS18B	11.3192301818788	-2.801120448181482E-4
ILF2	11.4525505958314	-2.801120448181482E-4
NME1	10.3804949709493	-2.801120448181482E-4
TUFM	11.524216665553	-2.801120448181482E-4
GNL3	11.4225626218088	-2.801120448181482E-4
CANX	11.783034321421	-2.801120448181482E-4
TCP1	11.9713729950748	-2.801120448181482E-4
SNRPG	10.5576964827426	-2.801120448181482E-4
NHP2	10.6688340930986	-2.801120448181482E-4
SRSF3	11.1900690913075	-2.801120448181482E-4
MCM4	12.0316847713733	-2.801120448181482E-4
VDAC1	11.0124554104373	-2.801120448181482E-4
ERH	11.0780742406956	-2.801120448181482E-4
MCM6	14.0018685788685	0.011624649859943714
PCNA	12.8519474901421	0.011624649859943714
SET	11.1739134739114	-2.801120448181482E-4
ODC1	10.8959417955621	-2.801120448181482E-4
NOLC1	11.4669326954181	-2.801120448181482E-4
COX5A	11.169609505951	-2.801120448181482E-4
PSMA7	11.2531296306081	-2.801120448181482E-4
SRM	11.2485101787323	-2.801120448181482E-4
PRDX3	11.4932108397582	-2.801120448181482E-4
LDHA	10.7630134495215	-2.801120448181482E-4
PCBP1	11.5837391500445	-2.801120448181482E-4
POLD2	11.2119284863791	-2.801120448181482E-4
PGK1	11.1389952079612	-2.801120448181482E-4
RPS3	11.469951939707	-2.801120448181482E-4
EIF4H	11.4371465813063	-2.801120448181482E-4
USP1	11.9138508508052	-2.801120448181482E-4
RPL14	11.2716473253555	-2.801120448181482E-4
SNRPB2	11.7688504282207	-2.801120448181482E-4
RPS2	11.5832875493155	-2.801120448181482E-4
CYC1	10.8699798027849	-2.801120448181482E-4
RPL18	11.7380158133222	-2.801120448181482E-4
HNRNPA1	11.1721033503965	-2.801120448181482E-4
CCT7	11.8245101454147	-2.801120448181482E-4
CCT4	12.0971934694935	-2.801120448181482E-4
RANBP1	10.9207825207479	-2.801120448181482E-4
NPM1	11.6110642307315	-2.801120448181482E-4
SF3A1	11.4915638735992	-2.801120448181482E-4
XRCC6	11.2728558302639	-2.801120448181482E-4
SSB	11.7902453821677	-2.801120448181482E-4
NOP16	10.5447795178163	-2.801120448181482E-4
GOT2	11.3842834052216	-2.801120448181482E-4
DEK	12.3705634948687	2.3874332657758401E-4
PA2G4	10.6669238844042	-2.801120448181482E-4
HSPE1	11.2677087970161	-2.801120448181482E-4
LSM2	10.6861022854758	-2.801120448181482E-4
RSL1D1	11.3063494201703	-2.801120448181482E-4
AIMP2	10.4474616624573	-2.801120448181482E-4
LSM7	10.7293067545991	-2.801120448181482E-4
APEX1	10.5859791101562	-2.801120448181482E-4
IMPDH2	11.1976389988915	-2.801120448181482E-4
SERBP1	11.3874440738818	-2.801120448181482E-4
NDUFAB1	10.5574899586926	-2.801120448181482E-4
POLE3	11.4160036309532	-2.801120448181482E-4
EIF3D	11.4694499032927	-2.801120448181482E-4
RAN	11.3544447823365	-2.801120448181482E-4
EIF4G2	11.3000265264845	-2.801120448181482E-4
MAD2L1	11.923328402913	-2.801120448181482E-4
