Item ID	Item value	Change in Kuiper test statistic when item removed
TPO	-2.37073491116657	3.3306690738754696E-16
HLA-B	-9.97050690816834	0.0013774104683199617
HLA-DPB1	-1.79164560964456	3.3306690738754696E-16
HLA-C	-0.176385181224438	0.055249464340369925
FAS	-7.77404572715278	3.3306690738754696E-16
HLA-A	-0.373743649529069	0.010254055708587728
HLA-F	-3.40549762190314	3.3306690738754696E-16
TSHR	-0.323033287640463	0.010254055708587728
HLA-DRB1	-2.39471297100217	3.3306690738754696E-16
HLA-DQB1	-1.63909975457431	3.3306690738754696E-16
