Item ID	Item value	Change in Kuiper test statistic when item removed
OAT	0.521019002881652	8.881784197001252E-16
GOT1	0.356988206988977	8.881784197001252E-16
ARG1	-0.831910826145781	8.881784197001252E-16
GOT2	0.117048464207407	8.881784197001252E-16
AMD1	0.0967429153235098	8.881784197001252E-16
ODC1	0.0414904481383797	8.881784197001252E-16
SAT2	-0.402774966781196	8.881784197001252E-16
PYCR2	-0.153264155235853	8.881784197001252E-16
PYCR3	-0.492841377564135	8.881784197001252E-16
SRM	-0.167923971488649	8.881784197001252E-16
GATM	-1.63375947354679	8.881784197001252E-16
DAO	-0.145783754838308	8.881784197001252E-16
P4HA1	-0.347856517255487	8.881784197001252E-16
CPS1	-22.3590144942354	8.881784197001252E-16
ALDH1B1	0.562846141697618	8.881784197001252E-16
P4HA2	-1.08968149967185	8.881784197001252E-16
P4HA3	-1.23216934846579	8.881784197001252E-16
CKB	0.930311976970985	8.881784197001252E-16
NOS1	0.593763033172132	8.881784197001252E-16
