Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-7150,4.283115035036098e-05,2.1322387893002737,21.446579945500936,"['MIDN', 'ERCC6L', 'BTG2', 'GABRB1', 'SYNM', 'PPP1R11', 'JADE2', 'TOMM20', 'CAPN15', 'DHTKD1', 'ALKBH5', 'MAP1LC3B', 'SUMO1', 'ZXDB', 'CFL1', 'PIM1', 'ARL6IP4', 'TMEM109', 'SH3BGRL3', 'CAPN1', 'RAC1', 'EPHB2', 'IFNAR2', 'TPI1', 'NAV1', 'GNL1', 'DYNLL2', 'RNF40', 'ETV5', 'MLF2', 'EEF1A1', 'HIC2', 'DPM2', 'DDX19B', 'CDCP1', 'TBC1D4', 'RPL37A', 'AKT1S1', 'FSCN1', 'SLC18B1', 'PPP1R15B', 'AMER2', 'ZNF471', 'NDUFB11', 'FUT10', 'DCUN1D3', 'PPM1H', 'ASB16', 'TGOLN2', 'RAI1', 'LDHA', 'SYNGR2', 'DPH2', 'ARSK', 'GPR156', 'MCL1', 'HNRNPA0', 'MOAP1', 'ACER2', 'BMP3', 'TBL3', 'NECAP1', 'PDE3A', 'NF2', 'ESYT1', 'TNRC6A', 'PHF19', 'CC2D1B']",0.1384302779323667,0,0,68
2,hsa-miR-877-5p,0.0005674152416220731,1.6172245891661594,12.08781447749609,"['ZNF174', 'DGKD', 'TMEM167A', 'MPI', 'NUCKS1', 'ETS2', 'TXN2', 'ACTG1', 'FAM122B', 'TMEM147', 'CCND2', 'ARHGDIA', 'LEPR', 'RPL35', 'DNAH10OS', 'SLC39A1', 'EIF1AX', 'NSMCE2', 'USP2', 'SHISA5', 'YOD1', 'TMEM170B', 'WBP11', 'RNF41', 'EEF1A1', 'RNF126', 'C1ORF115', 'ERF', 'SRSF3', 'VDAC1', 'PHPT1', 'PI4K2A', 'ARL9', 'TEX264', 'NDUFB11', 'PLD3', 'FAM171A1', 'UBC', 'THEM6', 'SERF2', 'HSPA8', 'RAB4A', 'SURF4', 'HMGA1', 'TBCC', 'RPS27', 'AGO3', 'NACA', 'UBE2N', 'AMOTL2', 'RPS24', 'BCL2L2', 'RTL8C', 'BTG2', 'SLC25A3', 'CDKN1B', 'THRA', 'RPLP1', 'OTUD7B', 'HMGB3', 'AFF1', 'TTC28', 'AFF2', 'UBL5', 'UCHL1', 'TUBA1B', 'RACK1', 'CHAMP1', 'EIF5A', 'BRD2', 'NCBP2', 'TUBB', 'SIGMAR1', 'TET1', 'GNL1', 'RNF167', 'PTP4A2', 'MRPL51', 'GORASP2', 'TMEM106B', 'SLC25A5', 'ARHGEF6', 'CSTB', 'COLEC10', 'RNASEK', 'PCNA', 'STOML1', 'RAB1B', 'CECR2', 'PGRMC1', 'DNAJB4', 'SAP18', 'DNAJB9', 'MEF2D', 'HNRNPA0', 'TMEM30A', 'NDE1', 'RPL23A', 'PNRC2', 'MARCKS', 'KRAS', 'CYB561']",0.9169430304612701,0,0,102
3,hsa-miR-4488,0.0021169187130282083,1.8957888837543138,11.673876816122045,"['CCDC71L', 'MIDN', 'CDKN1A', 'GDE1', 'STMN3', 'CLU', 'HS6ST1', 'SBF1', 'ATP6AP1', 'MAP1S', 'ENTPD5', 'H2AFX', 'SARS', 'MAPK8IP2', 'MRPL44', 'SLC7A5', 'ARGFX', 'VGF', 'RPL28', 'CTXN1', 'STX1A', 'CERS1', 'ELOF1', 'ARHGAP18', 'SPATA2', 'NDRG1', 'THSD4', 'CBARP', 'GNAI2', 'RXRB', 'RASD1', 'COX10', 'CBX6', 'SLC10A7', 'SLC12A5', 'FEM1A', 'SLC10A3', 'EIF1', 'G6PC3', 'PCDHB2', 'FAM151B', 'GNB2', 'FXYD1', 'TACC3', 'CALM3', 'HDGF', 'NF2', 'CALR', 'FARSA']",0.999993407740605,0,0,49
4,hsa-miR-423-5p,0.0021234791975568005,1.4235365698131655,8.761439678597055,"['MIDN', 'TLNRD1', 'CCNI', 'ARL6IP1', 'CD81', 'CLSTN1', 'GDE1', 'MSANTD3', 'CAPN15', 'ACTG1', 'RPS6KA4', 'ZNF609', 'CCND2', 'RPL18A', 'PTTG1', 'ARHGDIA', 'FAM3A', 'PMPCA', 'ATP6V1E1', 'RPS10', 'RPS9', 'TSPYL1', 'ATG9A', 'MUL1', 'KCTD2', 'GTF2F1', 'GTPBP1', 'RUNX1', 'C12ORF10', 'CTDNEP1', 'RPL7L1', 'GPRIN1', 'NPTXR', 'FKBP4', 'PPIB', 'PPIA', 'C22ORF39', 'KCTD15', 'ARL8A', 'EPB41', 'NOLC1', 'SPATA2', 'COPS7A', 'UBFD1', 'NDRG1', 'ZFP36L1', 'SYNGR1', 'SYNGR2', 'TMEM127', 'PCBP1', 'ABL1', 'CLSPN', 'SNX8', 'PPARGC1B', 'BANP', 'CBX6', 'C20ORF27', 'PA2G4', 'PNMA8B', 'EIF1', 'DRAP1', 'SLC6A6', 'TMEM11', 'UST', 'CALM3', 'NF2', 'CDK15', 'RAD18', 'RTL8C', 'RNF187', 'SLC48A1', 'YWHAE', 'PPP1R11', 'SPEF1', 'BICDL1', 'MRPL34', 'EPM2AIP1', 'PEA15', 'EFHD2', 'TIMP3', 'KIF1A', 'PHACTR4', 'RPS6KL1', 'GRID1', 'PDPK1', 'TUBB', 'PGAM1', 'NME2', 'SLC39A11', 'DDX54', 'NAV1', 'YWHAZ', 'COPZ1', 'EPN1', 'MLF2', 'TRAF7', 'PKM', 'IGDCC4', 'CSDE1', 'ALDOC', 'TMBIM6', 'ARHGEF2', 'PLCB1', 'PTMA', 'GAPDH', 'CSTB', 'CEBPB', 'RPL10', 'DDX24', 'WBP2', 'ZBTB46', 'DDX21', 'CCDC106', 'RGPD2', 'SRM', 'RPS15A', 'MCRIP1', 'AP2S1', 'RPS2', 'RABAC1', 'WASF2', 'HES4', 'GDF11', 'TRIM41', 'RRM2', 'CDKN2A', 'NDE1', 'SPRY4', 'RPL23A', 'PNRC1', 'NECAP1', 'SBK1', 'APEX1', 'HDGF', 'POLR3H', 'FAM98A', 'KCNK3', 'NECTIN1']",0.999993407740605,0,0,138
5,hsa-miR-99b-5p,0.0027211615319944356,2.4184855185095997,14.285259841081857,"['CNTNAP2', 'OAT', 'EIF4A3', 'ENO2', 'IFIT3', 'ACTG1', 'IGF1R', 'PPP1CB', 'FAM171A2', 'ACTR1B', 'ALDH1B1', 'TMEM127', 'MFN2', 'PIP4K2B', 'RPS2', 'RPS10', 'UBL7', 'NPDC1', 'TMEM30A', 'H2AFZ', 'AHSA1', 'EDF1', 'ARID3A', 'EEF2', 'ETV6', 'MCM3', 'NOX4', 'FAM8A1']",0.999993407740605,0,0,28
6,hsa-miR-4697-5p,0.0030004260275226626,1.856752452666968,10.785876837996586,"['CCDC71L', 'MIDN', 'CDKN1A', 'ELOF1', 'GDE1', 'STMN3', 'ARHGAP18', 'SPATA2', 'CLU', 'HS6ST1', 'NDRG1', 'THSD4', 'CBARP', 'GNAI2', 'RXRB', 'RASD1', 'SBF1', 'COX10', 'CBX6', 'SLC10A7', 'SLC12A5', 'ATP6AP1', 'FEM1A', 'MAP1S', 'ENTPD5', 'SLC10A3', 'H2AFX', 'SARS', 'MAPK8IP2', 'EIF1', 'MRPL44', 'SLC7A5', 'ARGFX', 'G6PC3', 'PCDHB2', 'FAM151B', 'VGF', 'GNB2', 'FXYD1', 'TACC3', 'CALM3', 'HDGF', 'CALR', 'FARSA', 'RPL28', 'CTXN1', 'STX1A', 'CERS1']",0.999993407740605,0,0,48
7,hsa-miR-1237-5p,0.003959798981470461,1.8005417522884364,9.95980836744791,"['CCDC71L', 'MIDN', 'CDKN1A', 'GDE1', 'STMN3', 'CLU', 'HS6ST1', 'NRGN', 'SBF1', 'ATP6AP1', 'MAP1S', 'ENTPD5', 'H2AFX', 'SARS', 'MAPK8IP2', 'MRPL44', 'SLC7A5', 'ARGFX', 'VGF', 'RPL28', 'CTXN1', 'STX1A', 'CERS1', 'ELOF1', 'ARHGAP18', 'SPATA2', 'NDRG1', 'THSD4', 'CBARP', 'GNAI2', 'RXRB', 'RASD1', 'COX10', 'CBX6', 'SLC10A7', 'SLC12A5', 'FEM1A', 'SLC10A3', 'EIF1', 'G6PC3', 'PCDHB2', 'FAM151B', 'GNB2', 'FXYD1', 'TACC3', 'CALM3', 'HDGF', 'CALR', 'FARSA']",0.999993407740605,0,0,49
8,hsa-miR-6798-5p,0.004144695227419773,1.7153011597456043,9.410015265862839,"['COL18A1', 'TOR2A', 'CRTC2', 'MIDN', 'BTG2', 'CDKN1A', 'HSP90AB1', 'BICDL1', 'OLFML2A', 'ADO', 'SPRED3', 'SALL2', 'TMEM109', 'ATXN7L3', 'VAV3', 'G6PD', 'GABARAPL1', 'NAA30', 'FBXO2', 'SARS', 'SSTR3', 'KIF6', 'KLF16', 'ADCY9', 'LY6E', 'OTUB1', 'ZBTB8A', 'ELOF1', 'NLGN2', 'NDUFB11', 'ZBTB46', 'NDRG1', 'PHF21B', 'BLOC1S4', 'TGFBR3L', 'DPH2', 'NCR3LG1', 'E2F1', 'POC1A', 'SAP18', 'E2F4', 'BCL2L2-PABPN1', 'CBX6', 'SYT13', 'EEF2', 'GFER', 'PNMA8B', 'SBK1', 'DLG5', 'TACC3', 'HYOU1', 'NFE2L1', 'RNF187', 'EIF4G1', 'ITM2C', 'CC2D1B']",0.999993407740605,0,0,56
9,hsa-miR-663a,0.004147873375459631,1.6545233189735906,9.075324327064974,"['CDKN1A', 'STMN3', 'JADE2', 'IDE', 'CDH7', 'DUSP14', 'DHTKD1', 'NRGN', 'RGS5', 'NKRF', 'ARHGDIA', 'SBF1', 'JUNB', 'HRAS', 'VAV3', 'VPS18', 'H2AFX', 'NAV2', 'POU3F1', 'RHOB', 'PDRG1', 'MRPL44', 'CTDNEP1', 'SLC7A5', 'VGF', 'C12ORF49', 'EEF1A2', 'AKT1S1', 'ZNF516', 'MYADM', 'FSCN1', 'TRIM59', 'RPL28', 'ARL8A', 'OTUB1', 'RTN4R', 'CEBPB', 'SLC47A1', 'TOMM40', 'WBP2', 'AFG1L', 'SEMA3F', 'THSD4', 'GNAI2', 'CYTH2', 'SYNGR1', 'GMDS', 'C10ORF95', 'TCEAL1', 'ABL1', 'PACSIN1', 'TGFB1', 'JUND', 'SLC10A7', 'SPRY4', 'MICAL2', 'SBK1', 'ASB6', 'TACC3', 'FOSB', 'MAFK', 'CALR', 'ZCCHC3']",0.999993407740605,0,0,63
10,hsa-miR-4259,0.004264167204333828,2.3316771545827635,12.725147610271769,"['COL18A1', 'GTF3C4', 'SETD7', 'PHAX', 'CLU', 'NDRG1', 'LIMA1', 'UBB', 'STK38', 'TMED2', 'SIRPA', 'CLSPN', 'MEF2D', 'VAT1', 'TSPYL1', 'SLC10A7', 'CBX4', 'H3F3B', 'SSR3', 'SPRY4', 'UBALD1', 'HSD11B1L', 'KCTD10', 'FKBP8', 'RTL8A', 'B4GALT7', 'TNRC6A']",0.999993407740605,0,0,27
