Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Electron Transport Chain (OXPHOS system in mitochondria) WP111,5.058630930677325e-12,34.779411764705884,904.6098997624531,"['NDUFA5', 'UQCRQ', 'NDUFA1', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1', 'ATP5MG']",1.1634851140557847e-10,0,0,10
2,Nonalcoholic fatty liver disease WP4396,4.15017366209581e-09,20.337254901960783,392.51137175965533,"['NDUFA5', 'UQCRQ', 'NDUFA1', 'NDUFB2', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1']",4.7726997114101813e-08,0,0,9
3,Cytoplasmic Ribosomal Proteins WP477,4.388730491859702e-06,16.44778481012658,202.90761299699474,"['RPL41', 'RPS27', 'RPS15A', 'RPL29', 'RPS27A', 'RPS10']",3.364693377092438e-05,0,0,6
4,Mitochondrial complex III assembly WP4921,3.518058908787959e-05,61.55294117647059,631.2264011562028,"['UQCRQ', 'UQCR11', 'UQCR10']",0.00020228838725530764,0,0,3
5,Mitochondrial CIV Assembly WP4922,0.0004695421384596448,22.760348583877995,174.42967862380524,"['COX7A2', 'COX5B', 'PET117']",0.002159893836914366,0,0,3
6,Mitochondrial complex I assembly model OXPHOS system WP4324,0.0011847071661452468,16.154798761609907,108.8552286833212,"['NDUFA5', 'NDUFA1', 'NDUFB2']",0.004541377470223446,0,0,3
7,Oxidative phosphorylation WP623,0.0017634013422400962,13.943850267379679,88.41113257451758,"['NDUFA5', 'NDUFB2', 'ATP5MG']",0.00579403298164603,0,0,3
8,Eukaryotic Transcription Initiation WP405,0.01160730985850798,13.38974358974359,59.666307139104745,"['POLR2I', 'POLR2K']",0.03337101584321044,0,0,2
9,Macrophage markers WP4146,0.015310063862329977,98.79245283018868,412.8778544553323,['CD74'],0.03912571875928771,0,0,1
10,Pyrimidine metabolism WP4022,0.04014534098472637,6.675641025641026,21.46384736804773,"['POLR2I', 'POLR2K']",0.09233428426487064,0,0,2
11,Endothelin Pathways WP2197,0.10706834830313891,9.39173405211141,20.983837557849192,['RIIAD1'],0.22387018281565407,0,0,1
12,Copper homeostasis WP3286,0.12076776655792776,8.215408805031446,17.366436525292755,['ATOX1'],0.23147155256936155,0,0,1
13,Amyotrophic lateral sclerosis (ALS) WP2447,0.134260841684379,7.300489168413697,14.659169013313578,['NEFH'],0.2351636610080685,0,0,1
14,Cytosolic DNA-sensing pathway WP4655,0.14314309800491126,6.795705920624593,13.210243847500184,['POLR2K'],0.2351636610080685,0,0,1
15,Selenium Micronutrient Network WP15,0.18623005138843876,5.048379293662313,8.485177258496924,['SELENOH'],0.2677056988708807,0,0,1
16,Genotoxicity pathway WP4286,0.18623005138843876,5.048379293662313,8.485177258496924,['RPS27'],0.2677056988708807,0,0,1
17,Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680,0.20286296032776835,4.577007459412023,7.301354894467112,['NEFH'],0.2744616522081572,0,0,1
18,7q11.23 copy number variation syndrome WP4932,0.3209381199222814,2.6517083120856704,3.0136849188003407,['VPS37B'],0.41008759767847064,0,0,1
19,Circadian rhythm related genes WP3594,0.41576184152731205,1.899798497893387,1.667344243228618,['RPS27A'],0.503290650269904,0,0,1
20,EGF/EGFR signaling pathway WP437,0.4679467059123201,1.6143770466240448,1.2259593269413882,['NEDD8'],0.5381387117991681,0,0,1
21,IL-18 signaling pathway WP4754,0.5205728110059371,1.382711093269102,0.9026690802480838,['NRN1'],0.5442352115062069,0,0,1
22,Ciliary landscape WP4352,0.5205728110059371,1.382711093269102,0.9026690802480838,['NDUFA5'],0.5442352115062069,0,0,1
23,VEGFA-VEGFR2 Signaling Pathway WP3888,0.7841880704733799,0.6556120806233499,0.15938349376048613,['TMSB10'],0.7841880704733799,0,0,1
