Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,hsa-miR-4285,0.09857585267688294,2.1159275867796046,4.902453880271502,"['TMEM185B', 'RPL41', 'CHCHD10', 'VPS37B', 'KCNAB3']",0.9999958565997066,0,0,5
2,hsa-miR-369-5p,0.13810305792621613,1.886187599599748,3.7341894745429522,"['PPP1R26', 'CNNM1', 'LPL', 'OSGIN2', 'CYB5D1']",0.9999958565997066,0,0,5
3,hsa-miR-551a,0.18268168241312738,1.6104928457869634,2.7378540733597734,"['UQCRQ', 'NRIP2', 'KCNAB3', 'TMEM141', 'SLC5A3', 'RPS24']",0.9999958565997066,0,0,6
4,hsa-miR-551b,0.18268168241312738,1.6104928457869634,2.7378540733597734,"['UQCRQ', 'NRIP2', 'KCNAB3', 'TMEM141', 'SLC5A3', 'RPS24']",0.9999958565997066,0,0,6
5,hsa-miR-671-3p,0.28474147351732426,1.3718592964824121,1.7232934597627334,"['TMEM185B', 'RPS19BP1', 'C19ORF53', 'NRIP2', 'RPS24', 'RPL26L1']",0.9999958565997066,0,0,6
6,hsa-miR-523,0.2950514403205548,1.890117994100295,2.3070885399804126,"['RNASEK', 'HINT3']",0.9999958565997066,0,0,2
7,mmu-miR-1901,0.3152443783808604,1.5472727272727274,1.7861826785582129,"['NRN1', 'RPS19BP1', 'COG3']",0.9999958565997066,0,0,3
8,hsa-miR-4636,0.322616966960775,1.304926936505884,1.4762501679627786,"['TMEM201', 'GAN', 'VPS37B', 'RNF150', 'PET117', 'TMEM220']",0.9999958565997066,0,0,6
9,mmu-miR-5109,0.35506136371735836,1.3445767195767195,1.3922616608592042,"['SUMO1', 'ARL3', 'ZFP36L1', 'TMEM220']",0.9999958565997066,0,0,4
10,hsa-miR-521,0.3756371496406065,1.1994365235208742,1.174406237256278,"['GOLGA7B', 'TMEM201', 'HINT3', 'PPIE', 'LPL', 'CHCHD1', 'CYB5D1']",0.9999958565997066,0,0,7
11,mmu-miR-5111,0.4790992658322607,1.1041233730722957,0.812466387864686,"['GOLGA7B', 'GLRX5', 'COX6C', 'PCDHA9', 'SLC5A3']",0.9999958565997066,0,0,5
12,mmu-miR-99a,0.518472450033168,1.0704775993237532,0.7031628936670825,"['BAG1', 'RNF150', 'EVI2B', 'SLC5A3']",0.9999958565997066,0,0,4
13,mmu-miR-99b,0.518472450033168,1.0704775993237532,0.7031628936670825,"['BAG1', 'RNF150', 'EVI2B', 'SLC5A3']",0.9999958565997066,0,0,4
14,mmu-miR-100,0.518472450033168,1.0704775993237532,0.7031628936670825,"['BAG1', 'RNF150', 'EVI2B', 'SLC5A3']",0.9999958565997066,0,0,4
15,hsa-miR-887,0.5218122856767585,1.0395567981774878,0.6761769767705359,"['CHIT1', 'GLRX5', 'SELENOW', 'AP1S2', 'RNF150', 'PDZRN4']",0.9999958565997066,0,0,6
16,hsa-miR-4787-3p,0.5481999822967356,1.0178564214438655,0.6118488924581535,"['CNNM1', 'HINT3', 'COG3', 'RPL35', 'RNF4']",0.9999958565997066,0,0,5
17,hsa-miR-4785,0.5508716550064631,1.0078368331156435,0.6009261665943656,"['TMEM201', 'CNNM1', 'RPS19BP1', 'URM1', 'ARL3', 'FAM229B']",0.9999958565997066,0,0,6
18,mmu-miR-5126,0.5529982484188575,1.043076923076923,0.6179192332758627,"['TMEM201', 'GTF2E1', 'COPS9']",0.9999958565997066,0,0,3
19,hsa-miR-4664-3p,0.5544492032307119,1.004004004004004,0.5921415664487155,"['TMEM185B', 'TMEM201', 'NRN1', 'RPS19BP1', 'MFAP1', 'C19ORF53']",0.9999958565997066,0,0,6
20,mmu-miR-451,0.5560486494889273,1.0085682254964765,0.5919281766481909,"['AP1S2', 'WDR64', 'PDGFA', 'OSGIN2', 'SLC5A3']",0.9999958565997066,0,0,5
21,hsa-miR-4497,0.5954044374438973,0.9597678916827853,0.4976534509480578,"['TMEM201', 'NRN1', 'MFAP1', 'SELENOW', 'MFGE8', 'NEFH', 'MRPL54', 'ZFP36L1']",0.9999958565997066,0,0,8
22,mmu-miR-1963,0.6081201688429634,0.9480385362738304,0.47153803363878727,"['CD74', 'SMDT1', 'RNASEK', 'UQCRB', 'ARL3', 'UQCR10', 'RAD23B']",0.9999958565997066,0,0,7
23,hsa-miR-3683,0.6372066499450659,0.9157904278462654,0.4127112725078347,"['CSRNP2', 'TMEM201', 'RIIAD1', 'ZNF598']",0.9999958565997066,0,0,4
24,mmu-miR-466h-3p,0.6372066499450659,0.9157904278462654,0.4127112725078347,"['TMEM201', 'TDG', 'SLC5A3', 'PET117']",0.9999958565997066,0,0,4
25,mmu-miR-191,0.6442507298087305,0.916678232708767,0.403033440469926,"['TMEM201', 'WDR64', 'CYCS', 'NEDD8', 'CTXN2', 'SLC5A3', 'RPS24', 'GZF1']",0.9999958565997066,0,0,8
26,mmu-miR-423-3p,0.644507575383415,0.9139615712505738,0.4014747137939542,"['TMEM185B', 'CSRNP2', 'TMEM201', 'SACM1L', 'ARL3', 'GLRX5', 'TMPRSS11F']",0.9999958565997066,0,0,7
27,hsa-miR-4442,0.6480042199746456,0.9050551983719632,0.39266550192093264,"['TMEM201', 'PDGFA', 'MYL6B', 'VPS37B', 'MFGE8']",0.9999958565997066,0,0,5
28,hsa-miR-3687,0.6480042199746456,0.9050551983719632,0.39266550192093264,"['TMEM201', 'PDGFA', 'MYL6B', 'VPS37B', 'MFGE8']",0.9999958565997066,0,0,5
29,mmu-miR-1946a,0.6619526923416204,0.8977968570728752,0.37039613732457494,"['CHIT1', 'RPL41', 'TMEM201', 'DDT', 'VPS37B', 'ATOX1', 'PET117']",0.9999958565997066,0,0,7
30,hsa-miR-450a,0.674735320438758,0.8706866804692892,0.34255842508383283,"['TMEM185B', 'CNNM1', 'RIIAD1', 'ABCE1']",0.9999958565997066,0,0,4
31,mmu-miR-673-3p,0.7006040004899133,0.862145912105622,0.3067622562649528,"['GOLGA7B', 'FIS1', 'ARL3', 'GLRX5', 'VPS37B', 'PHPT1', 'COX6B1']",0.9999958565997066,0,0,7
32,hsa-miR-517c,0.7027770616154293,0.8376245847176079,0.2954432259496885,"['CSRNP2', 'AP1S2', 'LPL', 'TOMM5']",0.9999958565997066,0,0,4
33,hsa-miR-517a,0.7027770616154293,0.8376245847176079,0.2954432259496885,"['CSRNP2', 'AP1S2', 'LPL', 'TOMM5']",0.9999958565997066,0,0,4
34,mmu-miR-3066,0.7168431398244303,0.8887417218543047,0.29586055077660994,"['PPP1R26', 'TMEM185B', 'RPL41', 'UQCRB', 'H2AFZ', 'RNF4', 'KCNAB3', 'RAD23B', 'SLC5A3', 'GTF2E1', 'TMEM220', 'ZFP36L1', 'UQCRQ', 'NRIP2', 'BAG1', 'ABCE1', 'NOP10', 'COPS9']",0.9999958565997066,0,0,18
35,hsa-miR-4321,0.7289958330202175,0.7769301190112908,0.2455777148694506,"['RPL41', 'TET1']",0.9999958565997066,0,0,2
36,hsa-miR-4800-3p,0.7455114729167276,0.7714285714285715,0.22655681125927757,"['NDUFA5', 'RNF150', 'RNF4']",0.9999958565997066,0,0,3
37,hsa-miR-4671-5p,0.7455903871735655,0.8114620644741126,0.23822814712324825,"['CSRNP2', 'TMEM201', 'MRPL51', 'SACM1L', 'POLR2K', 'NOP10']",0.9999958565997066,0,0,6
38,mmu-miR-5099,0.7582344802220571,0.8168150755850072,0.22606386445743867,"['CHCHD2', 'MRPL40', 'SNPH', 'RNF150', 'TMEM141', 'SLC5A3', 'TMEM220', 'GZF1']",0.9999958565997066,0,0,8
39,hsa-miR-1181,0.7754440441456177,0.6728253008087317,0.17111256281604828,['SACM1L'],0.9999958565997066,0,0,1
40,hsa-miR-3940-3p,0.7812750369776816,0.795959595959596,0.1964651399166821,"['SNPH', 'GLRX5', 'COG3', 'VPS37B', 'RNF150', 'PCDHA9', 'ZNF598', 'GZF1']",0.9999958565997066,0,0,8
41,mmu-miR-700,0.7898116956619917,0.643801132787917,0.15191178002360087,['GZF1'],0.9999958565997066,0,0,1
42,mmu-miR-2137,0.7898116956619917,0.643801132787917,0.15191178002360087,['ARL3'],0.9999958565997066,0,0,1
43,mmu-miR-3960,0.7909545106209076,0.6816840976133012,0.15986502451539622,"['ARL3', 'PCDHA9']",0.9999958565997066,0,0,2
44,hsa-miR-1469,0.7943945184245623,0.634671464912825,0.14608554667126894,['TMSB10'],0.9999958565997066,0,0,1
