Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Cardiac muscle contraction,0.014245469033747094,106.37,452.2125239120567,['COX7A1'],0.07627386747139261,0,0,1
2,Oxidative phosphorylation,0.026702151424732538,55.747368421052634,201.97333676592206,['COX7A1'],0.07627386747139261,0,0,1
3,Non-alcoholic fatty liver disease,0.031929976593878404,46.37280701754386,159.71768590369615,['COX7A1'],0.07627386747139261,0,0,1
4,Diabetic cardiomyopathy,0.038506746238603944,38.221014492753625,124.48285631568612,['COX7A1'],0.07627386747139261,0,0,1
5,Thermogenesis,0.04532580460735804,32.282208588957054,99.87723981964217,['COX7A1'],0.07627386747139261,0,0,1
6,Parkinson disease,0.04994430076995433,29.18611111111111,87.46630599630984,['COX7A1'],0.07627386747139261,0,0,1
7,Prion disease,0.050215512171932486,29.022099447513813,86.81761646448567,['COX7A1'],0.07627386747139261,0,0,1
8,Huntington disease,0.058867049837016,24.586854460093896,69.64162035434163,['COX7A1'],0.07627386747139261,0,0,1
9,Alzheimer disease,0.06853704951759765,20.95983935742972,56.18035121657083,['COX7A1'],0.07627386747139261,0,0,1
10,Amyotrophic lateral sclerosis,0.06933987951944783,20.70436507936508,55.25446531899364,['COX7A1'],0.07627386747139261,0,0,1
11,Pathways of neurodegeneration,0.0884696757500347,15.992283950617283,38.782814765122446,['COX7A1'],0.0884696757500347,0,0,1
