"Term.name","P.value","Z.score","Combined.score","Overlapping.genes","Adjusted.p.value","Old.p.value","Old.adjusted.p.value","gene.count","TF_NAME","FDR","cycling_in_CTL_BHQ","cycling_in_AD_BHQ","DR_AR1_BHQ","DR_AR1_mthd2_BHQ","DR_logAmpRatio","diff_mesor","DEseq_DE_BHQ"
"Sox5 (mouse)",0.0193633435140702,11.408560311284,44.9996230776054,"['CD74', 'WDR64']",0.672211895375517,0,0,2,"Sox5",0.672211895375517,1.65537571369591e-24,8.47550472043032e-14,0.924188913801668,0.924413226991991,-0.0630093210867034,8.95035948355482e-05,0.0453822535799348
"JUN (mouse)",0.0210886683869394,6.63636363636364,25.6098561909431,"['TMEM185B', 'WDR64', 'CTXN2']",0.672211895375517,0,0,3,"JUN",0.672211895375517,1.508912433933e-17,2.46806570041244e-14,0.884159232342222,0.883946268755348,0.053288392672907,0.000533383968000846,0.112885154565561
"RBPJ (human)",0.0219374460843768,6.53141711229947,24.9471410832852,"['CD74', 'RRNAD1', 'ZNF267']",0.672211895375517,0,0,3,"RBPJ",0.672211895375517,1.04115446992256e-08,1.25854462262146e-07,0.981432193557065,0.981488350650513,0.0162469708064852,0.138497752700214,0.988364721688265
"FEV (human)",0.0615326277002647,17.8869863013699,49.8722754305872,"['CD74']",0.672211895375517,0,0,1,"FEV",0.672211895375517,NA,NA,NA,NA,NA,NA,NA
"SOX10 (human)",0.0623405661664779,17.6435810810811,48.9634591694957,"['RRNAD1']",0.672211895375517,0,0,1,"SOX10",0.672211895375517,0.0612133926082667,0.224521235598719,0.999770245887345,0.999770245887345,-0.0138016851320469,0.577381731884902,0.977350435805687
"POU3F1 (human)",0.0671752265433729,16.3109375,44.0468834385237,"['CTXN2']",0.672211895375517,0,0,1,"POU3F1",0.672211895375517,5.43036681078902e-21,3.84002134668774e-15,0.88381540922631,0.883601213438397,-0.00932589026257592,7.38752971719823e-09,0.000667447107499979
"RELB (human)",0.133382795683622,3.68446876769202,7.42248068394021,"['RRNAD1', 'WDR64']",0.672211895375517,0,0,2,"RELB",0.672211895375517,1.97906665792208e-11,0.00152073903529351,0.918712069480626,0.918588600978628,-0.176717848137531,0.978037986021225,0.7988081401279
"SND1 (human)",0.14311503316729,3.51862567811935,6.84058320797627,"['RRNAD1', 'WDR64']",0.672211895375517,0,0,2,"SND1",0.672211895375517,1.62973001618149e-25,7.77628284723922e-13,0.491103921930419,0.489136634532174,0.0511935733142487,0.000499742069428012,0.581760873666274
"SRY (human)",0.146786972318803,7.06010928961749,13.5467464547617,"['ZNF267']",0.672211895375517,0,0,1,"SRY",0.672211895375517,NA,NA,NA,NA,NA,NA,NA
"MYC (mouse)",0.154843113064461,3.33965190418749,6.22959579573632,"['TMEM185B', 'WDR64']",0.672211895375517,0,0,2,"MYC",0.672211895375517,NA,NA,NA,NA,NA,NA,0.0496718448560886
