Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,Electron Transport Chain (OXPHOS system in mitochondria) WP111,7.038855048022139e-13,43.80672268907563,1225.8067534654695,"['NDUFA5', 'UQCRQ', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'ATP5MG', 'COX7A1']",1.4077710096044278e-11,0,0,10
2,Nonalcoholic fatty liver disease WP4396,6.835314289316501e-10,25.725247524752476,542.8991533089751,"['NDUFA5', 'UQCRQ', 'NDUFB2', 'NDUFA1', 'COX7A2', 'UQCR11', 'UQCR10', 'COX5B', 'COX7A1']",6.835314289316501e-09,0,0,9
3,Cytoplasmic Ribosomal Proteins WP477,1.4578647669136393e-06,20.282375851996104,272.5654721500807,"['RPL41', 'RPS27', 'RPS15A', 'RPS27A', 'RPL29', 'RPS10']",9.71909844609093e-06,0,0,6
4,Mitochondrial complex III assembly WP4921,2.0193153101342403e-05,74.88571428571429,809.52707482629,"['UQCRQ', 'UQCR11', 'UQCR10']",0.00010096576550671201,0,0,3
5,Mitochondrial CIV Assembly WP4922,0.0002724695237647807,27.69047619047619,227.2829796952624,"['COX7A2', 'COX5B', 'PET117']",0.0010898780950591228,0,0,3
6,Mitochondrial complex I assembly model OXPHOS system WP4324,0.0006923188500964411,19.654135338345863,142.99295297380127,"['NDUFA5', 'NDUFB2', 'NDUFA1']",0.0023077295003214706,0,0,3
7,Oxidative phosphorylation WP623,0.0010344399523972833,16.964285714285715,116.61072057386255,"['NDUFA5', 'NDUFB2', 'ATP5MG']",0.002955542721135095,0,0,3
8,Eukaryotic Transcription Initiation WP405,0.008653848910524476,15.698424606151537,74.56360948246238,"['POLR2I', 'POLR2K']",0.02163462227631119,0,0,2
9,Pyrimidine metabolism WP4022,0.029527911394402515,7.955013343499809,28.020892644194806,"['POLR2I', 'POLR2K']",0.06561758087645003,0,0,2
10,Endothelin Pathways WP2197,0.08992813325848412,11.334415584415584,27.301710598820353,['RIIAD1'],0.17985626651696823,0,0,1
11,Copper homeostasis WP3286,0.1130490506119799,8.81060606060606,19.206535115111816,['ATOX1'],0.2010460369179953,0,0,1
12,Cytosolic DNA-sensing pathway WP4655,0.12062762215079717,8.20141065830721,17.3463688570714,['POLR2K'],0.2010460369179953,0,0,1
13,Genotoxicity pathway WP4286,0.15031377939702456,6.423218673218673,12.17219405511926,['RPS27'],0.2251154882472686,0,0,1
14,Selenium Micronutrient Network WP15,0.157580841773088,6.0926573426573425,11.258113810287677,['SELENOH'],0.2251154882472686,0,0,1
15,7q11.23 copy number variation syndrome WP4932,0.27534423366193145,3.2002457002457003,4.127463144858994,['VPS37B'],0.36712564488257526,0,0,1
16,Circadian rhythm related genes WP3594,0.3633467938286396,2.270541958041958,2.2986911061358453,['RPS27A'],0.4541834922857995,0,0,1
17,EGF/EGFR signaling pathway WP437,0.40591587140178753,1.9647727272727273,1.7714574696842345,['NEDD8'],0.47754808400210297,0,0,1
18,IL-18 signaling pathway WP4754,0.4552288296410345,1.6808441558441558,1.3227488205157654,['NRN1'],0.4816699590097975,0,0,1
19,Ciliary landscape WP4352,0.4575864610593076,1.668762088974855,1.3046205560042436,['NDUFA5'],0.4816699590097975,0,0,1
20,VEGFA-VEGFR2 Signaling Pathway WP3888,0.7195831454843161,0.7940535491905355,0.2613096823369888,['TMSB10'],0.7195831454843161,0,0,1
