Rank,Term name,P-value,Z-score,Combined score,Overlapping genes,Adjusted p-value,Old p-value,Old adjusted p-value,gene count
1,IRF8 mouse,0.06875734175946267,7.638680659670165,20.4500601373893,"['GAS2', 'ABL1']",0.84540774092887,0,0,2
2,MSX2 mouse,0.10593911740551208,5.091454272863568,11.429758417801443,"['TAGLN', 'NEUROD6']",0.84540774092887,0,0,2
3,MTA1 human,0.10593911740551208,5.091454272863568,11.429758417801443,"['RNF144A', 'BCAS3']",0.84540774092887,0,0,2
4,APEX1 human,0.11602471730305895,inf,inf,['NFKB1'],0.84540774092887,0,0,1
5,VDR mouse,0.11602471730305895,inf,inf,['IGFBP3'],0.84540774092887,0,0,1
6,NKX2-5 human,0.11602471730305895,inf,inf,['DACT3'],0.84540774092887,0,0,1
7,POU1F1 mouse,0.11602471730305895,inf,inf,['C1QTNF3'],0.84540774092887,0,0,1
8,HMGA2 mouse,0.11602471730305895,inf,inf,['NFKB1'],0.84540774092887,0,0,1
9,IRF7 human,0.11602471730305895,inf,inf,['ATF4'],0.84540774092887,0,0,1
10,KLF3 mouse,0.11602471730305895,inf,inf,['SIX4'],0.84540774092887,0,0,1
11,ESR2 human,0.1470352898999922,3.81784107946027,7.319116907894661,"['INSR', 'CTSD']",0.84540774092887,0,0,2
12,CEBPB human,0.18478005326863023,2.2914414414414415,3.8693029552815084,"['DDIT3', 'INSR', 'MAD1L1']",0.84540774092887,0,0,3
13,SMAD3 mouse,0.18478005326863023,2.2914414414414415,3.8693029552815084,"['TAGLN', 'PSME3', 'SSTR2']",0.84540774092887,0,0,3
14,MECP2 mouse,0.1906400515015555,3.0536731634182908,5.061060721079466,"['IGFBP3', 'AFF1']",0.84540774092887,0,0,2
15,POU5F1 mouse,0.1906400515015555,3.0536731634182908,5.061060721079466,"['MESP1', 'LEFTY1']",0.84540774092887,0,0,2
16,SPI1 mouse,0.1906400515015555,3.0536731634182908,5.061060721079466,"['TEC', 'NFKB1']",0.84540774092887,0,0,2
17,APEX1 mouse,0.21860557955779752,7.62874251497006,11.599397561077458,['NFKB1'],0.84540774092887,0,0,1
18,ARID3A human,0.21860557955779752,7.62874251497006,11.599397561077458,['RBL1'],0.84540774092887,0,0,1
19,NEUROD1 mouse,0.21860557955779752,7.62874251497006,11.599397561077458,['RND2'],0.84540774092887,0,0,1
20,DLX5 mouse,0.21860557955779752,7.62874251497006,11.599397561077458,['IGFBP3'],0.84540774092887,0,0,1
21,EOMES mouse,0.21860557955779752,7.62874251497006,11.599397561077458,['MESP1'],0.84540774092887,0,0,1
