GENE_SYMBOLS,refseq_ids
ETV5,NM_004454
PER2,NM_003894
PGAM1,NM_001317079
SULT4A1,NM_014351
RTN4,NM_001321859
MIEF1,NM_001304564
ATP6V0E2,NM_001100592
PRKAR1A,NM_001276289
LAMP1,NM_005561
BHLHE40,NM_003670
CD59,NM_000611
NECAP1,NM_015509
COPS7A,NM_001164093
STRAP,NM_007178
PEX11B,NM_001184795
FNDC4,NM_022823
PSAP,NM_001042465
RETREG2,NM_001321109
SELENOW,NM_003009
NAT8L,NM_178557
PNMA8A,NM_001103149
NRN1,NM_001278710
MCFD2,NM_001171506
NSG1,NM_001040101
SPRED3,NM_001039616
TM2D3,NM_001307960
SARAF,NM_001284239
TGOLN2,NM_001206840
ATP6AP2,NM_005765
PINK1,NM_032409
C1orf216,NM_001348691
PPT1,NM_000310
SPATA2L,NM_152339
MOAP1,NM_022151
VDAC1,NM_001401008
CYCS,NM_018947
CDIPT,NM_001286585
ARMCX3,NM_016607
OAZ1,NM_001301020
PNMA1,NM_006029
BCL2L2,NM_001199839
NORAD,NR_027451
PFN2,NM_002628
ARCN1,NM_001142281
ISCU,NM_001301140
TAF13,NM_005645
ENC1,NM_001256574
SPRED2,NM_001128210
ACTG1,NM_001199954
USP5,NM_001098536
SNN,NM_003498
ATP6V1D,NM_015994
MAL2,NM_052886
PLEKHJ1,NM_001300836
EIF4A2,NM_001967
C3orf18,NM_001171740
PNMA2,NM_007257
TMEM155,NA
MAP1LC3A,NM_032514
MFN2,NM_001127660
YWHAH,NM_003405
DNAJB9,NM_012328
ARPC5L,NM_030978
OTUB1,NM_017670
CCDC47,NM_020198
APEX1,NM_001244249
NEFL,NM_006158
AAMP,NM_001087
WSB2,NM_001278557
ATP6V1B2,NM_001693
C18orf32,NM_001035005
REEP5,NM_005669
SERINC1,NM_020755
UBFD1,NM_019116
DHCR24,NM_014762
RPL15,NM_001253379
CBLN4,NM_080617
NEIL2,NM_001135746
NEU1,NM_000434
TMEM160,NM_017854
GABARAPL1,NM_001363598
BRK1,NM_018462
MANEAL,NM_001031740
KBTBD11,NM_014867
OAZ2,NM_001301302
PLEKHB2,NM_001031706
SYNM,NM_015286
MRPL49,NM_004927
TIMM17A,NM_006335
GOT1,NM_002079
DUBR,NR_028301
TAF7,NM_005642
LGI3,NM_139278
DUSP6,NM_001946
ETV1,NM_001163147
RNF6,NM_005977
NPM1,NM_001037738
SKP1,NM_006930
PGK1,NM_000291
VBP1,NM_001303543
PJA2,NM_014819
FAAH2,NM_001353840
TMEM9B,NM_001286094
CLPTM1L,NM_030782
SYT4,NM_020783
FAM32A,NM_014077
SEPHS2,NM_012248
RGS4,NM_001102445
MYADM,NM_001020818
KBTBD4,NM_001318716
TMX4,NM_021156
FBXO2,NM_012168
TMEM167A,NM_174909
RAN,NM_001300796
SPRY4,NM_001127496
GLRX5,NM_016417
SET,NM_001122821
PIP4K2C,NM_001146258
HNRNPA0,NM_006805
ENO2,NM_001975
RPSA,NM_001304288
ACLY,NM_001096
TOMM20,NM_014765
COPS8,NM_006710
ATP2A2,NM_001135765
SPCS1,NM_014041
RRAGA,NM_006570
ATP6V1E1,NM_001039366
AP2M1,NM_001025205
ITM2C,NM_001012514
RFK,NM_018339
ACP2,NM_001131064
POLR2K,NM_005034
LAMTOR5,NM_001382293
PRPS1,NM_001204402
MLLT11,NM_006818
ARHGDIA,NM_001185077
ARL1,NM_001177
NAP1L5,NM_153757
ZXDB,NM_007157
TCEAL7,NM_001348258
GABBR1,NM_001319053
CCNI,NM_001348132
CNDP2,NM_001168499
RTL6,NM_032287
NSF,NM_006178
STMN3,NM_001276310
HEY1,NM_001040708
FAM222B,NM_001077498
PLA2R1,NM_001007267
CLCN4,NM_001256944
PITHD1,NM_020362
TMA7,NM_001329417
SUB1,NM_006713
SLU7,NM_001364517
FAM3C,NM_001040020
PDXP,NM_020315
NICN1,NM_032316
EGR3,NM_001199880
BEX4,NM_001080425
THY1,NM_001311160
TRIM23,NM_001656
OPRL1,NM_000913
TMEM208,NM_001318217
KLHDC3,NM_001242872
PCYOX1,NM_016297
FEN1,NM_004111
SCOC,NM_001153446
SERINC3,NM_006811
NDUFB5,NM_001199957
TMEM141,NM_032928
EMC10,NM_175063
FAM241B,NM_145306
B3GALNT1,NM_001038628
TMED2,NM_001321445
NUDT16,NM_001171905
GRINA,NM_000837
ATP6AP1,NM_001183
SRP9,NM_001130440
BHLHE41,NM_030762
EIF5,NM_001969
RPL3,NM_000967
CHGB,NM_001819
TPRG1L,NM_182752
CCDC180,NM_001348010
SNRNP25,NM_024571
ADO,NM_032804
YWHAG,NM_012479
TM2D2,NM_001024380
IGIP,NM_001007189
L1CAM,NM_000425
FARSA,NM_004461
DCAF11,NM_001163484
SLC25A5,NM_001152
LRRC47,NM_020710
MAGEF1,NM_022149
PSMD8,NM_002812
ABCF2,NM_007189
EIF1B,NM_005875
SRXN1,NM_080725
PTGES2,NM_001256335
PLK2,NM_001252226
RAD9A,NM_001243224
TTPAL,NM_001039199
CDV3,NM_001134422
SSR2,NM_003145
PEX19,NM_001131039
CALM3,NM_001329921
ATP6V1G1,NM_004888
SLC39A7,NM_001077516
GUK1,NM_000858
TMEM130,NM_001134450
COA3,NM_001040431
GABRD,NM_000815
CDK5R1,NM_003885
RSL24D1,NM_016304
VSTM2L,NM_080607
SNAPC5,NM_001329613
RAB1B,NM_030981
KIF13B,NM_015254
ARF6,NM_001663
SLC2A3,NM_006931
KDELR2,NM_001100603
PRAF2,NM_007213
NSG2,NM_015980
RNASEK,NM_001004333
TMEM246,NA
SDHAF1,NM_001042631
CCDC115,NM_001321118
FKBP4,NM_002014
NARS,NA
PIGS,NM_033198
TMEM203,NM_053045
UBE2S,NM_014501
MAT2B,NM_013283
MZT1,NM_001071775
DBNDD2,NM_001048221
CALM2,NM_001305624
C2CD2L,NM_001290474
GHITM,NM_014394
FHIT,NM_001166243
RAB6B,NM_001363953
NAPB,NM_001283018
HINT3,NM_138571
SLC25A6,NM_001636
HERPUD1,NM_001010989
SLC9A9,NM_173653
ATP6V0D1,NM_004691
RAB5IF,NM_001199534
PKM,NM_001206796
TPI1,NM_000365
BAIAP2-DT,NM_001004336
RPS28,NM_001031
GID8,NM_017896
SPRYD3,NM_032840
SLC48A1,NM_017842
B4GAT1,NM_006876
POLE3,NM_001278255
RIMS3,NM_014747
TSPYL5,NM_033512
MAP6D1,NM_024871
LARP6,NM_001286679
PARD6A,NM_001037281
MRPS17,NM_015969
SELENOH,NM_001321335
MEF2D,NM_001271629
DAZAP2,NM_001136264
C16orf91,NA
HAX1,NM_001018837
LRRC4C,NM_001258419
EIF4H,NM_022170
SMIM29,NM_001008703
TUSC2,NM_007275
AP1S1,NM_001283
CCDC85B,NM_006848
POLR2E,NM_001316323
CCNQ,NM_001130997
LAMTOR1,NM_017907
DBNDD1,NM_001042610
TINF2,NM_001099274
MRFAP1,NM_001272053
BOD1,NM_001159651
DYNLL2,NM_080677
ARL6IP5,NM_006407
PPP1R11,NM_021959
NFE2L1,NM_001330261
CD81,NM_001297649
WDR1,NM_005112
BTF3,NM_001037637
CGGBP1,NM_001008390
CREBL2,NM_001310
ATP6V1G2,NM_001204078
SLBP,NM_001306074
HSDL1,NM_001146051
C3orf80,NM_001168214
STUB1,NM_001293197
TBCC,NM_003192
PSMD3,NM_002809
LY6E,NM_001127213
FUT1,NM_000148
PDP1,NM_001161778
EIF1,NM_005801
TIMM13,NM_012458
CSMD2,NM_001281956
CRADD,NM_001320099
FAM131B,NM_001031690
DCTN1,NM_001135040
KCNS2,NM_020697
UBL4A,NM_014235
FN3KRP,NM_024619
SHISA4,NM_198149
ALDOC,NM_005165
EEF1G,NM_001404
C11orf87,NM_207645
TRIB2,NM_021643
TOR1A,NM_000113
SLC12A5,NM_001134771
BCL7B,NM_001197244
C4orf3,NM_001001701
UBE2V2,NM_003350
LDHA,NM_001135239
NCOA4,NM_001145260
TMEM271,NM_001362796
WBP2,NM_001330499
ATG101,NM_001098673
DUSP3,NM_004090
TMEM30A,NM_001143958
BPGM,NM_001293085
IDH3B,NM_001258384
GNAZ,NM_002073
TMEM33,NM_018126
MIPOL1,NM_001195296
VPS25,NM_032353
AGPAT1,NM_001371437
FAM131A,NM_001171093
PEG13,NR_144431
B4GALT7,NM_007255
RNF141,NM_016422
SMKR1,NM_001195243
LAMP5,NM_001199897
TOMM5,NM_001001790
FRMD6,NM_001042481
NCBP2AS2,NM_001355243
DYNLT3,NM_006520
PGM2L1,NM_173582
FJX1,NM_014344
ATP1A1,NM_000701
MAMDC2,NM_001347990
DRAP1,NM_006442
JAKMIP1,NM_001099433
SYT13,NM_001247987
PIP4P1,NM_001100814
FAM89B,NM_001098784
DSTN,NM_001011546
C12orf49,NA
THEM6,NM_001363000
PELI3,NM_001098510
FTH1,NM_002032
ZNF428,NM_182498
SCN2B,NM_004588
TMED9,NM_017510
EIF6,NM_001267810
EIF4G2,NM_001042559
RBMS3,NM_001003792
RPL7A,NM_000972
TMEM250,NM_001256526
HRAS,NM_001130442
GNG10,NM_001017998
ICMT,NM_012405
DUSP2,NM_004418
SYT11,NM_152280
LAMA3,NM_000227
STOML2,NM_001287031
NOP9,NM_001286367
JPT1,NM_001002032
B3GALT1,NM_020981
ARPP19,NM_001306191
HSBP1,NM_001537
NPM3,NM_006993
MANBAL,NM_001003897
CDK5R2,NM_003936
VPS35,NM_018206
VKORC1,NM_001311311
LRTM2,NM_001039029
ANAPC15,NM_001278485
MAGEH1,NM_014061
RPL41,NM_001035267
DEXI,NM_014015
PSMG3,NM_001134340
IDS,NM_000202
TCEAL8,NM_001006684
L3MBTL2,NM_001003689
SURF2,NM_001278928
ODC1,NM_001287188
GPR27,NM_018971
AKAP5,NM_004857
B3GNT2,NM_001319075
